"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","stateProvince","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","previousCatalogNumber","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:25:20-03","UNESC","CRI","11593","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée","A. L. de Gasper","2010","03","23","J.L. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","1375","2010","02","17","Brasil","Brasil","Fazenda Mirador.","-49.59","-27.09","49º35'24''W","27º5'24''S","787","787","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista","CRI008322","CRI008322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02478926","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée",NA,NA,NA,NA,"P. H. Labiak E.","5477","2013","03","01","Brazil","Piraí do Sul",NA,"-50.058","-24.436",NA,NA,"1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690313' target='other'> <mi>dwc_moreinfo</mi></a>","NY02478926","NY02478926_01","Pteridophyta","Hymenophyllales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-05-17 10:21:00-03","NY","NYBG","02687339","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum",NA,NA,NA,NA,NA,"R. Engelmann","RE840","2010","07","19","Brazil","Teresópolis","Trilha do Papudo, próximo à trilha da Pedra do Sino. Parque Nacional da Serra dos Órgãos","-43.023611","-22.456667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962817' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687339","NY02687339_01","Pteridophyta","Hymenophyllales","South America","Rio de Janeiro","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","807977","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum pseudocarpa","Fée & Rosenst.","A. Sehnem",NA,NA,NA,"G. G. Hatschbach","24721","1970","09","18","Brazil","Balsa Nova","Serra S. Imis.","-49.6356","-25.5842",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807977","NY00807977_01","Pteridophyta","Hymenophyllales","South America","Paraná","sheet","pseudocarpa",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","807975","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée","A. C. Brade",NA,NA,NA,"A. C. Brade","15553","1937","03",NA,"Brazil","Itatiaia",NA,"-44.5631","-22.4961",NA,NA,"2100","2100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807975","NY00807975_01","Pteridophyta","Hymenophyllales","South America","Rio de Janeiro","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2063336","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée",NA,NA,NA,NA,"J. B. S. Pereira","95","2007","12","17","Brazil","Campina Grande do Sul","Parque Estadual Pico Paraná. Pico Caratuva.","-48.83","-25.23",NA,NA,"1700",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463543' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063336","NY02063336_01","Pteridophyta","Hymenophyllales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2063360","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée",NA,NA,NA,NA,"J. B. S. Pereira","221","2008","02","26","Brazil","Campina Grande do Sul","Parque Estadual Pico Paraná.","-48.83","-25.23",NA,NA,"1550",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463795' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063360","NY02063360_01","Pteridophyta","Hymenophyllales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","807973","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée","C. V. Morton",NA,NA,NA,"J. N. Rose","20580","1915","07","26","Brazil","Itatiaia","Vicinity of Itatiaya.","-44.5631","-22.4961",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807973","NY00807973_01","Pteridophyta","Hymenophyllales","South America","Rio de Janeiro","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","807976","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée",NA,NA,NA,NA,"A. C. Brade","9510","1929","09","30","Brazil",NA,"Pedra Assú.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807976","NY00807976_01","Pteridophyta","Hymenophyllales","South America","Rio de Janeiro","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02705432","PreservedSpecimen","Plantae","Hymenophyllaceae","Hymenophyllum","rufum","Hymenophyllum rufum","Fée",NA,NA,NA,NA,"R. Engelmann","RE741","2010","07","09","Brazil","Teresópolis","Caminho das Orquídeas. Parque Nacional da Serra dos Órgãos","-43.021389","-22.461667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997485' target='other'> <mi>dwc_moreinfo</mi></a>","NY02705432","NY02705432_01","Pteridophyta","Hymenophyllales","South America","Rio de Janeiro","sheet",NA,NA,NA,NA,NA,NA,NA,NA
