"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2019-10-09 11:26:11-03","UFBA","ALCB","74122","PreservedSpecimen","Plantae","Fern","Pteridaceae","Doryopteris","trilobata","Doryopteris trilobata","J. Prado","Guedes, ML","2006","10","Santos, JS; Sousa, DC de; Nogueira, T; Guedes, ML; Valadão, RM; Carvalho, G","155","2006","08","02","Southern America","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Sete Passagens. Ponto 197","-40.516667","-11.333333","-40.516667","-11.333333","rupícola, de ca 15cm. Frondes heteromorfas, lâminas cartáceas, discolores. A lâmina fértil lobada, aparelho esporífero contínuos na margem.","ALCB001235","ALCB001235",NA,NA,NA,NA
"2","2021-03-12 16:33:20-03","USP","SPF","62147","PreservedSpecimen","Plantae",NA,"Pteridaceae","Doryopteris","trilobata","Doryopteris trilobata","J.Prado",NA,"1993",NA,"Harley, RM; Prado, J","25574","1988","12","14",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas, Vertente leste. Afloramento rochoso na base do Pico das Almas. Campo rupestre. Crescendo sob rocha, à sombra, em solo arenoso.","-41.966667","-13.533333","-41.966667","-13.533333",NA,"SPF00062147","SPF00062147","holotype","1500","1500",NA
"3","2020-07-23 12:19:39-03","CEPLAC","CEPEC","49323","PreservedSpecimen","Plantae",NA,"Pteridaceae","Doryopteris","trilobata","Doryopteris trilobata",NA,"J. Prado",NA,NA,"R. M. Harley","25574","1988","12","14",NA,"Brasil","Bahia","RIO DE CONTAS","Vertente leste. Base do Pico das Almas.","-41.966667","-13.533333","41W58'","13S32'",NA,NA,NA,"Fototipo",NA,NA,"30/12/1992"
