"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","locality","imagecode","class","month","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber"
"1","2020-09-23 10:35:53-03","E","E","394846","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","unspecified kind of","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:443364","<a href=http://data.rbge.org.uk/herb/E00394846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","324510","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana","isotype","F. Sellow","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00324510","Magnoliophyta","Caryophyllales","Mart.","17","1815","Brasilia","NY00324510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696384","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Sellow F","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696384 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696384",NA,"Caryophyllales","Mart.",NA,"1833","Brasilia meridion.","NL-L1696384","Magnoliopsidae","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696386","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Unreadable","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696386 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696386",NA,"Caryophyllales","Mart.",NA,"1834",NA,"NL-L1696386","Magnoliopsidae","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:28:30-03","IAP","PACA-AGP","45239","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Rambo, B.",NA,"Brasil",NA,NA,"EM PERIGO Habitat: in arenosis siccis dumetosis Fenofase: flor e fruto","PACA045239","Magnoliophyta","Caryophyllales","Mart.",NA,"1950","Faz. do Arroio",NA,"Magnoliatae","01","04","Emrich-Rambo","1954","05","01","RS","Osório","-50.2696990966797","-29.8866996765137","27350","auto",NA,NA,NA,NA,NA
"6","2019-10-18 16:49:47-03","IAP","PACA-AGP","118027","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Gonzatti, F.",NA,"Brasil",NA,NA,"erva ereta, ramosa, inflorecesncias paleáceas. Xilopodífera Habitat: em solo arenoso, em meio as guaritas, ao sol","PACA118027","Magnoliophyta","Caryophyllales","Mart.","2865","2016","Parque Estadual de Vila Velha",NA,"Magnoliatae","11","13","Marchioretto, M.S.","2017","11",NA,"PR","Ponta Grossa","-49.9575","-25.189167",NA,NA,"49º57'27w","25º11'21s","870","870",NA
"7","2019-08-27 13:28:30-03","IAP","PACA-AGP","35181","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Rambo, B.",NA,"Brasil",NA,NA,"EM PERIGO Habitat: in siccis graminosis gregaria Fenofase: flor","PACA035181","Magnoliophyta","Caryophyllales","Mart.",NA,"1947",NA,NA,"Magnoliatae","01","18","Emrich-Rambo","1954","05","01","RS","Vacaria","-50.9338989257812","-28.5121994018555","63451","auto",NA,NA,NA,NA,NA
"8","2021-03-16 17:51:28-03","UCS","HUCS","46344","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Gonzatti, F.",NA,"Brasil",NA,NA,"erva ereta, ramosa, inflorescências paleáceas, em solo arenoso, em meio às guaritas, ao sol. Xilopodífera.","HUCS006587","Angiospermae","Caryophyllales","Mart.","2865","2016","Parque Estadual de Vila Velha",NA,NA,"11","13","Mart","2017","11",NA,"Paraná","Ponta Grossa","-49.9575","-25.189167",NA,NA,"-49.9575","-25.189167","870","870",NA
"9","2019-11-25 12:11:21-03","UFSM","SMDB","374","S","Plantae","Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Rau, G",NA,"Brasil",NA,NA,NA,"SMDB000374",NA,NA,"Mart.","s.n.","1939","Campos de Guilherme Ritzel.","SMDB000374",NA,"12","23","Rambo, B","1958",NA,NA,"Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,NA,NA,NA
"10","2015-09-04 17:10:25-03","MNHN","RECOLNAT_MNHN_P","P04925383","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,"Balansa, B.",NA,"Paraguay","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925383' target='other'> <mi>dwc_moreinfo</mi></a>","P04925383",NA,NA,"Mart.",NA,"1874","Caaguazu, dans les Campos","P04925383_01",NA,"11","1",NA,NA,NA,NA,"Caaguazú",NA,"-56.01535","-25.46982",NA,NA,NA,NA,NA,NA,NA
"11","2015-09-04 17:10:25-03","MNHN","RECOLNAT_MNHN_P","P04925380","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","schlechtendaliana","Gomphrena schlechtendaliana",NA,NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925380' target='other'> <mi>dwc_moreinfo</mi></a>","P04925380",NA,NA,"Mart.",NA,NA,NA,"P04925380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
