"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","class","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","individualCount","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","247035","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","calatheoides","Aechmea calatheoides","L.B.Sm.","holotype","H. S. Irwin","47527","1960","08","14","South America","Brazil","Amapá","Rio Oiapoque. Immediately E of Colonia Agricola do Oiapoque. About 4 km N of mouth of Cricú River.","-51.92","3.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247035","NY00247035_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02171526","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Disteganthus","basi-lateralis","Disteganthus basi-lateralis","Lem.",NA,"G. T. Prance","16484","1971","11","28","South America","Brazil","Amazonas","Rio Cunhuá at Deni Indian village","-66.78","-6.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320194' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171526","NY02171526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02171525","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Disteganthus","basi-lateralis","Disteganthus basi-lateralis","Lem.",NA,"S. A. Mori","17257","1984","12","07","South America","Brazil","Amapá","BR156, road between Calçoene and Oiapoque, 87 km NW of Calçoene","-51.38","2.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320193' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171525","NY02171525_01","Calçoene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:12:11-03","NBC","NL-BOTANY","WAG.1456182","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Disteganthus","basilateralis","Disteganthus basilateralis","Lem.",NA,"Feuillet CPGA",NA,"1988","06","12","Southern America","French Guiana",NA,"Regina Region: Eastern plateau of Montague Tortue, 11 km WNW of Approvague river.","-52.366667","4.3",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1456182 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1456182","NL-WAG1456182",NA,"Magnoliopsidae","-52.366667","4.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-03 21:01:58-03","MNHN","RECOLNAT_MNHN_P","P01761379","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","basi-lateralis","Aechmea basi-lateralis","(Lem.) L.B.Sm.",NA,"Sastre, C.",NA,"1977","8","10",NA,"Guyane française",NA,"Guyane Française. Fleuve Approuague, Rivière Arataye, Saut Pararé. Guiana Francesa",NA,NA,"hb","Mission pluridisciplinaire du Muséum National d'histoire Naturalle en Guyane Française. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01761379' target='other'> <mi>dwc_moreinfo</mi></a>","P01761379","P01761379_01",NA,NA,NA,NA,"5579","800",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 21:01:57-03","MNHN","RECOLNAT_MNHN_P","P01761378","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","basi-lateralis","Aechmea basi-lateralis","(Lem.) L.B.Sm.",NA,"Granville, J.J.",NA,"1973","2","15",NA,"Guyane française",NA,"Guyane. Crique Roche Fendé (affluent de la Comté) à 5km de son embouchure. Guiana Francesa",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01761378' target='other'> <mi>dwc_moreinfo</mi></a>","P01761378","P01761378_01",NA,NA,NA,NA,"B 4725",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 21:17:10-03","MNHN","RECOLNAT_MNHN_P","P02176214","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","basi-lateralis","Aechmea basi-lateralis","(Lem.) L.B.Sm.",NA,"Granville, J.J.",NA,"1987","11","22",NA,"Guyane française",NA,"Route forestière de Belizon. Guiana Francesa",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176214' target='other'> <mi>dwc_moreinfo</mi></a>","P02176214","P02176214_01",NA,NA,NA,NA,"10182",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-03 21:18:22-03","MNHN","RECOLNAT_MNHN_P","P02176453","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","basi-lateralis","Aechmea basi-lateralis","(Lem.) L.B.Sm.",NA,"Cremers, G.",NA,"1982","2","22",NA,"Guiana",NA,"Montagne de Kaw, environ du Camp Caiman. Guiana , América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176453' target='other'> <mi>dwc_moreinfo</mi></a>","P02176453","P02176453_01",NA,NA,NA,NA,"7690",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-03 21:18:22-03","MNHN","RECOLNAT_MNHN_P","P02176454","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","basi-lateralis","Aechmea basi-lateralis","(Lem.) L.B.Sm.",NA,"Cremers, G.",NA,"1983","12","3",NA,"Guyane française",NA,"Guyane. Sommet de l´ inselberg. ENE du Grand Croissant, Haute Crique Nouciri affluent de l´ Oyapock, N de Camopi. Guiana Francesa",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176454' target='other'> <mi>dwc_moreinfo</mi></a>","P02176454","P02176454_01",NA,NA,NA,NA,"8272","200","260",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-03 21:18:22-03","MNHN","RECOLNAT_MNHN_P","P02176455","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","basi-lateralis","Aechmea basi-lateralis","(Lem.) L.B.Sm.",NA,"Cremers, G.",NA,"1989","11","19",NA,"Guyane française",NA,"Station des Nouragues, bassin de l´ Approuague, Arataye, sur un gros bloc de rocher granitique plat sous forêt. Guiana Francesa","-52.7","-4.05","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176455' target='other'> <mi>dwc_moreinfo</mi></a>","P02176455","P02176455_01",NA,NA,NA,NA,"10854","100",NA,NA,NA,NA,NA,NA,NA,NA
