"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:34:14-03","UNESC","CRI","5193","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","Marcos Sobral","V. C. Zanette; A. Gozçe e V. Boff","2344","1996","09","19","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI007576","CRI007576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","8045","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","Rafal Martins","Beatriz Wessler; Bruna Alberton",NA,"2008","04","25","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007573","CRI007573","2008","04","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:11-03","UNESC","CRI","8941","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","Ronaldo dos Santos Junior","Ronaldo dos Santos Junior",NA,"2011","07","22","Brasil",NA,"Brasil","-50.071111","-29.585833","50º4'16''W","29º35'9''S","CRI007575","CRI007575","2011","07","22","Interior da mata, Norte da Lagoa dos Quadros.","4","4","Floresta Paludosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:14-03","UNESC","CRI","3776","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","Valdemar P. Boff Marcos Sobral","Valdemar P. Boff","56","1995","08","04","Brasil","Santa Catarina","Nova Veneza","-49.500833","-28.636944","49º30'3''W","28º38'13''S","CRI007572","CRI007572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:11-03","UNESC","CRI","3416","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","Daniel de Barcellos Falkenberg","Robson dos Santos","105","1994","09","17","Brasil","Santa Catarina","Forquilhinha","-49.466667","-28.733333","49º28'W","28º44'S","CRI007574","CRI007574",NA,NA,NA,"Horto Florestal de Forquilhinha.","42","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:11-03","UNESC","CRI","9228","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling",NA,"Birgit Harter Marques; Ricardo Vicente",NA,"2006","11","05","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI007571","CRI007571",NA,NA,NA,"Malha II.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1182293","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","beta","Daphnopsis beta","Taub.","O. Handro","O. Handro","1071","1963","09","04","Brazil","São Paulo","São Paulo","-46.618358","-23.646109",NA,NA,"NY01182293","NY01182293_01",NA,NA,NA,"Nativa, no Jardim Botânico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399609' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1182292","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","beta","Daphnopsis beta","Taub.","O. Handro","O. Handro","1071","1963","09","04","Brazil","São Paulo","São Paulo","-46.618358","-23.646109",NA,NA,"NY01182292","NY01182292_01",NA,NA,NA,"Nativa, no Jardim Botânico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399607' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1182349","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","F. C. Hoehne","s.n.","1935","12","19","Brazil","São Paulo","São Paulo","-46.621883","-23.654505",NA,NA,"NY01182349","NY01182349_01",NA,NA,NA,"Nativa no Parque do Estado e Jardim Botanico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401117' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1182413","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","J. C. Lindeman","J. C. Lindeman","2367","1966","08","17","Brazil","Paraná",NA,NA,NA,NA,NA,"NY01182413","NY01182413_01",NA,NA,NA,"Ca. 45 km N of Curitiba.","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402473' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01022631","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","M. C. Dias","E. M. Francisco","s.n.","1998","07","05","Brazil","Paraná","Ventania","-50.2428","-24.2458",NA,NA,"NY01022631","NY01022631_01",NA,NA,NA,"Ventania",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145649' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01022630","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","E. P. dos Santos","E. P. dos Santos","536","1998","09","11","Brazil","Paraná","Guaratuba","-48.58","-25.88",NA,NA,"NY01022630","NY01022630_01",NA,NA,NA,"Serra de Araçatuba, Morro dos Perdidos","1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145648' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1182418","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","J. C. Lindeman","J. C. Lindeman","5875","1967","09","02","Brazil","Paraná",NA,NA,NA,NA,NA,"NY01182418","NY01182418_01",NA,NA,NA,"Serra do Mar, estrada da Graciosa.","850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402481' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1182218","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. I. Nevling","A. C. Brade","17434","1945","02","12","Brazil","Rio de Janeiro","Itatiaia","-44.5633","-22.4961",NA,NA,"NY01182218","NY01182218_01",NA,NA,NA,"Picada 3 Picos.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399391' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1182419","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","J. C. Lindeman","J. C. Lindeman","5876","1967","09","02","Brazil","Paraná",NA,NA,NA,NA,NA,"NY01182419","NY01182419_01",NA,NA,NA,"Serra do Mar, estrada da Graciosa.","850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402482' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1182516","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","R. Reitz","1897","1954","06","21","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY01182516","NY01182516_01",NA,NA,NA,"Cunhas, Itajaí","10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406483' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1182315","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","G. G. Hatschbach","G. G. Hatschbach","22524","1969","10","20","Brazil","Paraná","Guarapuava","-51.4581","-25.3956",NA,NA,"NY01182315","NY01182315_01 NY01182315_02",NA,NA,NA,"Guara",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399680' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1182150","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","A. P. Duarte","5321","1960","07","25","Brazil","Paraná","Guaratuba","-48.5747","-25.8828",NA,NA,"NY01182150","NY01182150_01",NA,NA,NA,"Alto da Serra.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399174' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1182291","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","O. Handro","1070","1963","09","04","Brazil","São Paulo","São Paulo","-46.618358","-23.646109",NA,NA,"NY01182291","NY01182291_01",NA,NA,NA,"Nativa, no Jardim Botânico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399593' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1523002","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","P. Fiaschi","P. Fiaschi","3517","2011","01","22","Brazil","Espírito Santo","Santa Teresa","-40.54858","-19.96464",NA,NA,"NY01523002","NY01523002_01",NA,NA,NA,"ES-080, estrada não-pavimentada para Santa Leopoldina, ca. 1.5 km após o início do ramal.","644",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788555' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1182408","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","G. G. Hatschbach","R. Kummrow","1228","1978","02","14","Brazil","Paraná","Tijucas do Sul","-49.1989","-25.9283",NA,NA,"NY01182408","NY01182408_01",NA,NA,NA,"Campina",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402169' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1182548","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","A. F. Regnell","II127",NA,NA,NA,"Brazil","Minas Gerais","Caldas","-46.386100769043","-21.9235992431641",NA,NA,"NY01182548","NY01182548_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406787' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet","25710","auto",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1182305","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","G. G. Hatschbach","14060","1966","03","18","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY01182305","NY01182305_01",NA,NA,NA,"Entre Cabrestante e Pilao de Pedra",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399667' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1182517","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","R. Reitz","6950","1958","08","03","Brazil","Santa Catarina","Rio do Sul","-49.6431","-27.2144",NA,NA,"NY01182517","NY01182517_01",NA,NA,NA,"Salto do Pilao, Lontras, Rio do Sul","300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406485' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1182350","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","F. C. Hoehne","Planta viva no.448","1935","08","08","Brazil","São Paulo","São Paulo","-46.621883","-23.654505",NA,NA,"NY01182350","NY01182350_01",NA,NA,NA,"Nativa no Parque do Estado e Jardim Botanico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401118' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1182318","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","G. G. Hatschbach","G. G. Hatschbach","34412","1974","05","03","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY01182318","NY01182318_01",NA,NA,NA,"Rio Cachoeira",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399683' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1182314","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","G. G. Hatschbach","G. G. Hatschbach","22122","1969","08","27","Brazil","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,"NY01182314","NY01182314_01",NA,NA,NA,"Ipanema","3","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399679' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1182458","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","G. G. Hatschbach","P. I. Oliveira","567","1982","06","28","Brazil","Paraná","Quatro Barras","-49.0767","-25.3658",NA,NA,"NY01182458","NY01182458_01",NA,NA,NA,"Rio Taquari",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402619' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01022632","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","G. G. Hatschbach","G. G. Hatschbach","68815","1998","11","19","Brazil","Paraná","Quatro Barras","-49.0767","-25.3658",NA,NA,"NY01022632","NY01022632_01",NA,NA,NA,"Estrada da Graciosa, Rio do Corvo.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145650' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1182515","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","R. Reitz","2111","1954","09","24","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY01182515","NY01182515_01",NA,NA,NA,"Cunhas, Itajaí","10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406478' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1182348","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","fasciculata","Daphnopsis fasciculata","(Meisn.) Nevling","L. Rossi","F. C. Hoehne","Planta viva no.462","1935","12","19","Brazil","São Paulo","São Paulo","-46.621883","-23.654505",NA,NA,"NY01182348","NY01182348_01",NA,NA,NA,"Nativa no Parque do Estado e Jardim Botanico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401116' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
