"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","locality","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:34:08-03","UNESC","CRI","5278","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara","(L.) Sarg.","Valcedir de Faveri","Valcedir de Faveri","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI009760","CRI009760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 15:16:32-03","UNESC","CRI","14524","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara","(L.) Sarg.","Gasper, AL de","Verdi, M.; Hasckel, R.P. & Klemz, G.","Brasil","Santa Catarina","Caibi","-53.286111","-26.996667","53º17'10''W","26º59'48''S","430","430","CRI013581","CRI013581","2009","04","15","1764","2009","03","07","Linha Aparecida. Linha Aparecida.","Florística IFFSC 2406. Habitat: Floresta Estacional Decidual;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","14525","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara","(L.) Sarg.","Sobral, M","Verdi, M.; Dreveck, S.","Brasil","Santa Catarina","Salto Veloso","-51.388333","-26.907222","51º23'18''W","26º54'26''S","1089","1089","CRI013580","CRI013580","2008","04","01","216","2008","02","17","Próximo ao Centro. Próximo ao Centro.","IFFSC 668/N/11, 668/N/16, 668/L/02 e 668/L/29.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","11741","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara","(L.) Sarg.",NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","CRI009648","CRI009648",NA,NA,NA,NA,"2009","08","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:11-03","E","E","146783","PreservedSpecimen","Plantae","Rutaceae","Fagara","pterota","Fagara pterota",NA,NA,"Cervi, A.C.","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00146783",NA,NA,NA,NA,"3268","1991","08","21",NA,"<a href=http://data.rbge.org.uk/herb/E00146783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:171002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:11-03","E","E","87790","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","culantrillo","Zanthoxylum culantrillo",NA,NA,"Bridgewater, S., Pennington, R.T. & Daza, A.","PE",NA,NA,NA,NA,NA,NA,NA,NA,"E00087790",NA,NA,NA,NA,NA,"1998","03","06",NA,"<a href=http://data.rbge.org.uk/herb/E00087790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:97745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:11-03","E","E","188479","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara",NA,NA,"Fiebrig, K.","PY",NA,NA,NA,NA,NA,NA,NA,NA,"E00188479",NA,NA,NA,NA,"4328","1905","03","22",NA,"<a href=http://data.rbge.org.uk/herb/E00188479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:11-03","E","E","177913","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara",NA,NA,"Fiebrig, K.","PY",NA,NA,NA,NA,NA,NA,NA,NA,"E00177913",NA,NA,NA,NA,"152","1902","09","29","Cordillera de Altos","<a href=http://data.rbge.org.uk/herb/E00177913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:11-03","E","E","177942","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara",NA,NA,"Ratter, J.A.; Pott, A. & Pott, V.","BR","Mato Grosso do Sul",NA,NA,NA,NA,NA,NA,NA,"E00177942",NA,NA,NA,NA,NA,"1987","11","13",NA,"<a href=http://data.rbge.org.uk/herb/E00177942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:11-03","E","E","188480","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara",NA,NA,"Fiebrig, K.","PY",NA,NA,NA,NA,NA,NA,NA,NA,"E00188480",NA,NA,NA,NA,"4328","1905","03","22",NA,"<a href=http://data.rbge.org.uk/herb/E00188480 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
