"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","locality","infraspecificEpithet","decimalLongitude","decimalLatitude","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","569234","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Castela","tweedii","Castela tweedii","Planch.","J. R. Pirani","E. Hassler","11042","1912","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569234","NY00569234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","569235","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Castela","tweedii","Castela tweedii","Planch.","W. W. Thomas","Á. L. Cabrera","29446","1978","South America","Argentina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569235","NY00569235_01","08","24","Misiones","Concepción","Entre Azara y C. de la Sierra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","538434","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Castela","tweedii","Castela tweedii macrophylla","Chodat & Hassl.",NA,"G. G. Hatschbach","19859","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538434","NY00538434_01","09","26","Paraná","Guarapuava","Canta Galo","macrophylla","-52.1225","-25.37603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","538437","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Castela","tweedii","Castela tweedii tweedii","Planch.","L. B. Smith","G. G. Hatschbach","19288","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538437","NY00538437_01","06","08","Paraná","Laranjeiras do Sul","Rio Tapera","tweedii","-52.4158","-25.4081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","538436","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Castela","tweedii","Castela tweedii tweedii","Planch.","L. B. Smith","G. G. Hatschbach","19288","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538436","NY00538436_01","06","08","Paraná","Laranjeiras do Sul","Rio Tapera","tweedii","-52.4158","-25.4081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","538435","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Castela","tweedii","Castela tweedii tweedii","Planch.","G. G. Hatschbach","G. G. Hatschbach","37338","1975","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538435","NY00538435_01","10","24","Paraná","Laranjeiras do Sul","Faxinal Grande","tweedii","-52.4158","-25.4081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-24 17:11:04-03","UTFPR","DVPR","1686","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Simaroubaceae","Castela","tweedii","Castela tweedii","Planch.","Estevan, DA","Estevan, DA; et al.","2007","2014",NA,"Brasil",NA,"Árvore ca. 4 m, frutos vermelhos, com espinhos.; Ecótono entre Floresta Ombrófila Mista e Floresta Estacional Semidecidual.","DVPR001686","DVPR001686","10","20","Paraná","Dois Vizinhos","Parque Municipal Jirau Alto",NA,"-53.030293","-25.450837","2016","-53.030293","-25.450837","475","475",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:11:04-03","UTFPR","DVPR","1371","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Simaroubaceae","Castela","tweedii","Castela tweedii","Planch.","Estevan, DA","Moura, APC","104","2013",NA,"Brasil",NA,"Árvore.; Ecótono entre Floresta Estacional Semidecidual e Floresta Ombrófila Mista.","DVPR001371",NA,"09","28","Paraná","Dois Vizinhos","Mata Nativa, UTFPR - DV. Parcela 6, sub-parcela regeneração 4",NA,"-53.0604","-25.413","2013","-53.0604","-25.413",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-24 17:11:04-03","UTFPR","DVPR","4941","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Simaroubaceae","Castela","tweedii","Castela tweedii","Planch.","Caxambu, MG","Caxambu, MG; Siqueira, EL; Chagas, MP","6828","2015",NA,"Brasil",NA,"Arbustro ca. 2m, semi-ciófila. frutos imaturos verdes a avermelhados; Relevo: ondulado - Vegetãçao: Floresta Ombrofila Mista Montana","DVPR004941",NA,"08","27","Paraná","Mato Rico","Estaçao Ecológica Municipal Colombo",NA,"-52.14325","-24.44497","2015","-52.14325","-24.44497","731","731","10","08",NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:11:04-03","UTFPR","DVPR","801","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Simaroubaceae","Castela","tweedii","Castela tweedii","Planch.","Caxambu, MG","Silva, AR; Caxambu, MG","424","2007",NA,"Brasil",NA,"Arbusto ca. 2 m, com botões florais avermelhados e pétalas de coloração creme.; Ripário. Relevo ondulado.","DVPR000801","DVPR000801","08","03","Paraná","Campo Mourão","Parque Estadual Lago Azul (PELA)",NA,"-52.1952","-24.06133","2007","-52.1952","-24.06133","570","570","08","28",NA,NA,NA,NA,NA,NA
