"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","monthIdentified","dayIdentified","recordNumber","year","month","day","locality","barcode","imagecode","continentOcean","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","2549","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen","Eduardo G. Gonçalves","2011","Instituto Plantarum;","Brasil","Rio Grande do Sul","Canela","-50.815601348877","-29.3656005859375","16452","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:00:13-03","JBP","HPL","12250","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio",NA,"H. Lorenzi","2010","H. Lorenzi","Brasil","SP","Nova Odessa","-47.29","-22.77","8440",NA,NA,"auto","09","09","6913","2010","09","09","Coletado sob cultivo no Jardim Botânico Plantarum; originário do habitat natural no município de Pedras Altas, Rio Grande do Sul.",NA,NA,NA,NA,NA
"3","2019-08-20 09:59:00-03","UNICAMP","UEC","170465","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen",NA,NA,"Dutilh, JHA; Oliveira, RS","Brazil","Rio Grande do Sul","Barra do Ouro",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","2008","08","14","Estrada para Riozinho. Cultivada no IAC.","UEC010269","UEC010269",NA,NA,NA
"4","2019-08-20 09:59:00-03","UNICAMP","UEC","170466","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen",NA,NA,"Dutilh, JHA; Oliveira, RS","Brazil","Rio Grande do Sul","Barra do Ouro",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","2008","08","14","Estrada para Riozinho. Cultivada no IAC.","UEC010270","UEC010270",NA,NA,NA
"5","2021-03-01 16:18:54-03","UNICAMP","UEC","170600","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen",NA,NA,"Dutilh, JHA","Brazil","Rio Grande do Sul","Barra do Ouro",NA,NA,NA,NA,"Cultivada no IAC, registro 17635.",NA,NA,NA,"s.n.","2002","10","09","Estrada para Riozinho.","UEC010166","UEC010166",NA,NA,NA
"6","2019-08-20 09:59:00-03","UNICAMP","UEC","174096","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen","Oliveira, RS","2013","Meyer, F","Brazil","Rio Grande do Sul","Barra do Ouro",NA,NA,NA,NA,NA,NA,"02",NA,"s.n.","1995","09","26","Estrada para Riozinho. Cultivada no IAC, registro 17635","UEC089059","UEC089059",NA,NA,NA
"7","2014-12-27 14:20:00-02","MO","MOBOT","2452153","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Amaryllis","papilio","Amaryllis papilio","Ravenna",NA,NA,"Anonymous","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anonymous s.n.14",NA,NA,NA,"Pelotas. Pelotas",NA,NA,"South America",NA,NA
"8","2010-06-17 10:23:00-03","MO","MOBOT","2452137","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Amaryllis","papilio","Amaryllis papilio","Ravenna",NA,NA,"P. Ravenna","Brazil","Santa Catarina",NA,NA,NA,NA,"1",NA,NA,NA,NA,"Ravenna 1000","1967","11",NA,"Sin localidad",NA,NA,"South America",NA,NA
"9","2019-01-25 15:38:05-02","IAC","IAC","46818","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen","A.F.C. Tombolato & T.N. Lucon","2005","A.F.C. Tombolato & T.N. Lucon","Brasil","São Paulo","Holambra","-47.0556","-22.6331",NA,NA,NA,NA,"09","05","s/nº","2005","09","05",NA,NA,NA,NA,"-47.0556","-22.6331"
"10","2021-02-08 12:50:40-03","UFRGS","ICN","128900","S","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen","Lorenzi, H",NA,"Kinupp, VF; Lorenzi, H","Brasil","RS","Pedras Altas",NA,NA,NA,NA,"Planta rara e cobiçada por cultivadores.; Erva com bulbo tunicado; brácteas verde-amareladas; tépalas verde-claro e vinho com base interna verde-escuro; anteras cremes.; Cultivado no Castelo e em várias residências, escolas, hospital de Pedras Altas.",NA,NA,NA,"2698","2003","09","10",NA,NA,NA,"América do Sul",NA,NA
"11","2021-02-08 12:50:40-03","UFRGS","ICN","149428","S","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Hippeastrum","papilio","Hippeastrum papilio","(Ravenna) Van Scheepen","Eggers, L",NA,"de Andrade, JP","Brasil","RS","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662",NA,"Terreno em decline, drenado.","auto",NA,NA,"s.n.","2003","11","01",NA,NA,NA,"América do Sul",NA,NA
