"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","558035","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","E. M. Nic Lughadha","R. M. Harley","17947","1977","01","15","South America","Brazil","Bahia","On the coast road between Alcobaça and Prado, 10 km NW of Alcobaça and 4 km N along road from the Rio Itanhentinga","-39.22","-17.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558035","NY00558035_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","594995","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","E. M. Nic Lughadha","R. M. Harley","17947","1977","01","15","South America","Brazil","Bahia","On the coast road between Alcobaça and Prado, 10 km NW of Alcobaça and 4 km N along road from the Rio Itanhentinga","-39.22","-17.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594995","NY00594995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","594994","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","G. M. Barroso","W. W. Thomas","9932","1993","05","13","South America","Brazil","Bahia","Barrolândia, Estação Experimental Gregorio Bondar CEPLAC, 48 km east of BR 101 on road to Belmonte","-39.25","-16.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594994","NY00594994_01","Belmonte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","594991","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","M. L. Kawasaki","J. R. Pirani","3048","1994","02","19","South America","Brazil","Espírito Santo","Praia de Costa Dourada, a 51 km E de Pedro Canário (medidos a partir da Av. Aracruz)","-39.66983","-18.347296","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594991","NY00594991_01","Conceiçao da Barra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","594996","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","E. M. Nic Lughadha","J. L. Hage","892","1981","06","04","South America","Brazil","Bahia","Ramal a 21 km na Rod. Canaveiras/Una BA-001. Ramal da Fazenda Campo Lúcio","-38.94","-15.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594996","NY00594996_01","Canavieiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","594992","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","G. M. Barroso","A. M. V. de Carvalho","4248","1993","06","28","South America","Brazil","Bahia","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594992","NY00594992_01","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","594989","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","G. M. Barroso","L. A. Mattos Silva","2907","1993","02","05","South America","Brazil","Bahia","Fazenda Barra do maguinho. Ramal com entrada no km 10 da Rod. Pontal/Olivença. Coletas a 3 km a oeste da entrada","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594989","NY00594989_01","Ilhéus","20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","594993","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","G. M. Barroso","J. L. Hage","2356","1993","03","11","South America","Brazil","Bahia","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594993","NY00594993_01","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","594990","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","martiana","Gomidesia martiana","O.Berg","G. M. Barroso","A. M. Amorim","1239","1993","04","14","South America","Brazil","Bahia","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594990","NY00594990_01","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","887415","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vittoriana","Myrcia vittoriana","Kiaersk.",NA,"S. A. Mori","10144","1978","06","07","South America","Brazil","Bahia","Cerca de 1 km ao S de Itacaré, beira-mar. Folha SD-24. (14-39c).","-38.995183","-14.2890182","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887415","NY00887415_01","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
