"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","645321","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott","N. P. Taylor; D. C. Zappi","P. K. H. Dusén","8984","1909","11","19","South America","Brazil","Paraná","Caiguara","1100","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645321","NY00645321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645323","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","25389","1970","11","13","South America","Brazil","Paraná","Serra Marumbi, Pico Olimpo","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645323","NY00645323_01","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645324","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","17336","1967","10","04","South America","Brazil","Paraná","Pico Caratuva","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645324","NY00645324_01","Quatro Barras","-48.829656","-25.241299",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 16:20:00-03","NY","NYBG","777082","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","rosea","Hatiora rosea",NA,"E. P. dos Santos","E. P. dos Santos","547","1998","09","11","South America","Brazil","Paraná","Serra de Araçatuba, Morro dos Perdidos","1210","1210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777082","NY00777082_01","Guaratuba","-48.97","-25.87",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 16:20:00-03","NY","NYBG","645322","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","rosea","Hatiora rosea",NA,"N. P. Taylor; D. C. Zappi","R. Reitz","5238","1957","10","18","South America","Brazil","Santa Catarina","Morro do Iquererim, Campo Alegre","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645322","NY00645322_01","Campo Alegre","-49.2656","-26.1925",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","26490","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott","Santos, E.P.","Santos, E.P.","547","1998","09","11",NA,"Brasil","Paraná","Serra de Araçatuba, Morro dos Perdidos",NA,NA,NA,"Epífita, corola rósea","BOTU026490",NA,"Guaratuba",NA,NA,"1998","10","9999","9999",NA,NA,NA,NA,NA
"7","2019-12-04 15:24:59-03","PUCPR","HUCP","21092","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott.","Ariati, V","Ariati, V","2370","2008","08","30",NA,"Brasil","Paraná","Morro Caratuva",NA,NA,NA,NA,NA,NA,"Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"55154","auto",NA,NA,NA
"8","2019-12-04 15:24:59-03","PUCPR","HUCP","21090","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott.","Kersten, RA","Kersten, RA","1390","2009","10","30",NA,"Brasil","Paraná","Morro do Canal",NA,NA,NA,NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"12577","auto",NA,NA,NA
"9","2019-12-04 15:24:59-03","PUCPR","HUCP","19873","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott.","Kersten, RA","Kersten, RA","1344","2008","12","04",NA,"Brasil","Paraná","Morro do Canal",NA,NA,NA,NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"12577","auto",NA,NA,NA
"10","2019-12-04 15:24:59-03","PUCPR","HUCP","24725","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Schlumbergera","rosea","Schlumbergera rosea","(Lagerh.) Calvente & Zappi","Cardoso","Kersten, RA","1727","2017","11","10",NA,"Brasil","Paraná",NA,NA,NA,NA,"Epífita sobre Angico-vermelho. 950m s.n.m.","HUCP00024725","HUCP00024725","Curitiba","-49.2731018066406","-25.4277992248535","2019","08",NA,NA,"25180","auto","21",NA,NA
"11","2019-12-04 15:24:59-03","PUCPR","HUCP","8490","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Schlumbergera","rosea","Schlumbergera rosea","(Lagerh.) Calvente & Zappi","Cardoso","Neto, DN","013","1995","06","03",NA,"Brasil","Paraná","Mercês",NA,NA,NA,NA,"HUCP00009586","HUCP00009586","Curitiba","-49.2731018066406","-25.4277992248535","2019","08",NA,NA,"25180","auto","21",NA,NA
"12","2020-11-26 18:07:30-03","CPAN-UFMS","COR","6093","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott","G. Hatschbach","E. Barbosa.; O. S. Ribas & E. F. Costa","685","2001","10","23",NA,"Brasil","Paraná","Serra Capivari Grande.",NA,NA,NA,"Epífita com flor alvacenta Habito: Epífita",NA,NA,"Campina Grande do Sul","-49.0553016662598","-25.3055992126465","2001",NA,NA,NA,"55154","auto",NA,NA,NA
"13","2020-11-04 11:04:12-03","ESALQ","ESA","80874","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerheim) Barthlott","Hatschbach, G.","Barbosa, E. et al.","685.0","2001","10","23",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"ESA080874","ESA080874","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"55154","auto",NA,NA,NA
"14","2021-01-14 15:26:37-03","MN","R","160521","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","rosea","Hatiora rosea","(Lagerh.) Barthlott","Taylor, N.P. & Zappi, D.C.","Smith, L.B.; Reitz, R.","14234","1965","01","03",NA,"Brasil","Santa Catarina",NA,"1400","1400",NA,NA,"R010023335","R010023335","São Joaquim","-49.483333","-28.116667","1992",NA,"49°29'W","28°07'S",NA,NA,NA,NA,NA
