"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","infraspecificEpithet","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:36:01-03","E","E","281784","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.","251","1988","05","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293690","<a href=http://data.rbge.org.uk/herb/E00281784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1920832","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","D. C. Daly","12085","2003","10","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489444' target='other'> <mi>dwc_moreinfo</mi></a>","NY01920832","Magnoliophyta","Sapindales","Jacq.","J. D. Mitchell","Acre","Capixaba","Projeto de Assentamento Extrativista (PAE) Sao Luis do Remanso; Colocaçao Estrangeiro, 30 km W of Capixaba, then 15-21 km N on new unpaved accesss road.","-67.9008","-10.4928","NY01920832_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","437850","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","J. P. Lanna Sobrinho","1882","1970","09","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437850","Magnoliophyta","Sapindales","Jacq.","J. D. Mitchell","Rio de Janeiro","Rio de Janeiro","Guanabara, Estrada das Furnas, pr. Barreira.","-43.2075","-22.9031","NY00437850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","437851","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","D. S. D. de Araújo","6352","1984","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437851","Magnoliophyta","Sapindales","Jacq.","D. A. Santin","Rio de Janeiro","Maricá","Restinga da Barra.","-42.8183","-22.9194","NY00437851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1920831","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","D. C. Daly","12073","2003","10","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489447' target='other'> <mi>dwc_moreinfo</mi></a>","NY01920831","Magnoliophyta","Sapindales","Jacq.","J. D. Mitchell","Acre","Capixaba","Projeto de Assentamento Extrativista (PAE) Sao Luis do Remanso; Colocaçao Estrangeiro, 30 km W of Capixaba, then 15-21 km N on new unpaved accesss road.","-67.9008","-10.4928","NY01920831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 13:58:00-03","NY","NYBG","437855","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","O. Marulanda","2207","1990","09","02","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437855","Magnoliophyta","Sapindales",NA,"J. D. Mitchell","La Guajira","Riohacha","Corregimiento Tomarrazón, inspección de policía La Gloria.","-73.005","11.055",NA,"460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","437848","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","L. A. Mattos Silva","2364","1988","05","02","South America","Brazil","sheet",NA,"Coleta de folhas para análises. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437848","Magnoliophyta","Sapindales","Jacq.","J. D. Mitchell","Bahia","Jussari","Rodovia Juçarí/Palmira, km 4 próximo à sede da Fazenda Santa Luzia. Margem da rodovia.","-39.4953","-15.1917","NY00437848_01","180","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","867406","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","B. A. Krukoff","5398","1933","08","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867406","Magnoliophyta","Sapindales","Jacq.","D. A. Santin","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00867406_01 NY00867406_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","437856","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","R. B. Foster","11015","1985","12","17","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437856","Magnoliophyta","Sapindales","Jacq.","J. D. Mitchell","Madre de Dios","Manú","Cerro de Pantiacolla: Río Palotoa 10-15 km NNW of Shintuya, transect to ridgetop. Lower mountain slopes.",NA,NA,NA,"500","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02685227","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","D. C. Daly","11996","2003","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972869' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685227","Magnoliophyta","Sapindales","Jacq.",NA,"Acre","Brasiléia","Bom Futuro, Reserva Extrativista Chico Mendes, km 52 of Brasiléia-Assis Brasil road, then 18 km on Ramal (side road) Tocandeira","-69.0492","-10.7447","NY02685227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","540802","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","A. R. S. de Oliveira","304","1994","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540802","Magnoliophyta","Sapindales","Jacq.","J. D. Mitchell","Acre","Xapuri","Reserva Extravista Chico Mendes, Seringal Independência, colocaçao Nova Olinda.","-68.5042","-10.6519","NY00540802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1920830","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","graveolens","Astronium graveolens","D. C. Daly","12037","2003","09","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489446' target='other'> <mi>dwc_moreinfo</mi></a>","NY01920830","Magnoliophyta","Sapindales","Jacq.","J. D. Mitchell","Acre","Capixaba","Projeto de Assentamento Extrativista (PAE) Sao Luis do Remanso; Colocaçao Estrangeiro, 30 km W of Capixaba, then 15-21 km N on new unpaved accesss road.","-67.9008","-10.4928","NY01920830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
