"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","locality","coordinatePrecision","geoFlag","recordNumber","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","13416","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","Renato Colares","2018","05","30","Renato Colares; Filipe Patel","2017","01","15","Brasil","Santa Catarina","Treviso","-49.456389","-28.525278","49º27'23''W","28º31'31''S","303","303","Habitat: Terrestre Habito: Herbácea","CRI012023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","13619","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","Renato Colares","2018","05","29","Renato Colares; Thuany Machado","2018","03",NA,"Brasil","Santa Catarina","Treviso","-49.453889","-28.535556","49º27'14''W","28º32'8''S","139","139","Habitat: Terrestre Habito: Arbustivo","CRI012226","Campo Morozini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:08-03","UNESC","CRI","12696","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","Marco Pellegrini","2017","06","06","Alexandre Medeiros","2017","06","06","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 414. Habito: Herbácea","CRI010910","Estaleiro","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","732","PreservedSpecimen","Plantae","Commelinaceae","Commelina","nudiflora","Commelina nudiflora","L.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette; Clair Maria Martinello","1991","07","02","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI006708",NA,NA,NA,"1083","CRI006708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","15391","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua","Vahl","Alexandre Medeiros","2017","10","27","Alexandre Medeiros","2017","10","27","Brasil","Santa Catarina","Balneário Camboriú","-48.640278","-26.999167","48º38'25''W","26º59'57''S",NA,NA,NA,"CRI014808","Barra.",NA,NA,"606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:08-03","UNESC","CRI","13544","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua","Vahl","Renato Colares","2018","05","25","Renato Colares; Thuany Machado","2018","04",NA,"Brasil","Santa Catarina","Siderópolis","-49.455","-28.596389","49º27'18''W","28º35'47''S","96","96","Habito: Herbácea","CRI012151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","12421","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua","Vahl","Peterson T. Padilha & Renato Colares","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","-48.599444","-27.000556","48º35'58''W","27º0'2''S",NA,NA,"Habito: Herbácea","CRI010628","Laranjeiras.",NA,NA,NA,"CRI010628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:25-03","UNESC","CRI","1359","PreservedSpecimen","Plantae","Commelinaceae","Murdannia","nudiflora","Murdannia nudiflora","(L.) Brenan","Ana Maria Miranda",NA,NA,NA,"A. M. Miranda","1992","10","20","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI006665",NA,NA,NA,NA,"CRI006665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:37:17-03","E","E","373670","PreservedSpecimen","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa",NA,NA,NA,NA,NA,"Cruikshank","1905","01","03","PE","Lima",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00373670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373670","Ditches about Lima.",NA,NA,NA,NA,"unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:434368",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:37:17-03","E","E","165318","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua",NA,NA,NA,NA,NA,"Laessoe, T.; Sano, P T","1993","03","13","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00165318 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165318",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:203424",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:37:17-03","E","E","81793","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua",NA,NA,NA,NA,NA,"Sakuragi, C.M., Harley, R.M., Sano, P.T., Roque, N. & Souza, V.C.","1994","03","22","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00081793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00081793",NA,NA,NA,"15345",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90566",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:37:17-03","E","E","81791","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua",NA,NA,NA,NA,NA,"Sakuragi, C.M., Harley, R.M., Sano, P.T., Roque, N. & Souza, V.C.","1994","03","22","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00081791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00081791",NA,NA,NA,"15345",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90568",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:37:17-03","E","E","81783","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua",NA,NA,NA,NA,NA,"Souza, V.C., Sano, P.T., Roque, N., Harley, R. & Sakuragui, C.M.","1994","03","10","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00081783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00081783",NA,NA,NA,"5422",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90576",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:37:17-03","E","E","81774","PreservedSpecimen","Plantae","Commelinaceae","Commelina","obliqua","Commelina obliqua",NA,NA,NA,NA,NA,"Souza, V.C., Giulietti, A.M., Atkins, S., Harley, R.M. & Sakuragui, C.M.","1994","01","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00081774 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00081774",NA,NA,NA,"4994",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90585",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02852449","PreservedSpecimen","Plantae","Commelinaceae","Aneilema","nudiflorum","Aneilema nudiflorum","(L.) R.Br.",NA,NA,NA,NA,"N. L. Britton","1920","02","27","Trinidad and Tobago",NA,NA,"-61.337606","10.602264",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3211454' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852449","Piarco Savanna, south of Arouca",NA,NA,"75","NY02852449_01",NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA
