"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","basisOfRecord","typeStatus","coordinatePrecision","relatedCatalogItem","geoFlag","phylum","yearIdentified","monthIdentified","continentOcean"
"1","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","27521","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi","Profice","Sheila R. Profice/Agosto-2009","V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","3026","2006","11","13","Brasil","Espírito Santo","Governador Lindenberg","Morelo, prop.:Fernando Nicolli","-40.457778","-19.148611","40W27'28","19S8'55","110","110","Herbácea botões florais, flores brancas. Interior de mata alterada.","MBML027521","MBML027521",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","27688","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi","Profice","Sheila R. Profice/Agosto-2009","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","905","2006","04","19","Brasil","Espírito Santo","Marilândia","Alto Liberdade, propr.: Deuclecio Lorenzini.","-40.516944","-19.353611","40W31'1","19S21'13","300","300","Herbácea (rupícula). Flores brancas. Frutos verdes. Folha abaxial acinzentada. Mata a beira do corrego.","MBML027688","MBML027688",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","29591","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi","Profice","Sheila R. Profice/Agosto-2009","V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3418","2007","03","22","Brasil","Espírito Santo","Marilândia","Liberdade, propr.: Deoclécio Lorenccini","-40.514167","-19.351944","40W30'51","19S21'7","150","150","Herbácea botões florais e flores brancas. Interior de mata, fundo de vale.","MBML029591","MBML029591",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","32577","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi","Profice","Sheila R. Profice/Agosto-2009","V. Demuner; T. A. Cruz, M.Belizário.","4747","2007","12","11","Brasil","Espírito Santo","Marilândia","Liberdade, Prop.: Deoclécio. Lorenccini","-40.516","-19.354444","40W30'57,6","19S21'16","250","250","Herbácea botões florais, flores brancas, frutos verdes. Interior de mata alterada.","MBML032577","MBML032577",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-23 11:56:32-03","CEPLAC","CEPEC","1927","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi",NA,"In Bradea","R. P. Belém","2612","1966","09","22","Brasil","Bahia","EUNÁPOLIS","Rod. BR-5, 16Km ao S da cidade.","-39.5802993774414","-16.3775005340576",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen","Paratipo","37596","30/12/2000","auto",NA,NA,NA,NA
"6","2020-07-23 11:56:32-03","CEPLAC","CEPEC","6047","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi",NA,"In Bradea","T. S. dos Santos","1085","2001","08","05","Brasil","Bahia","ubaitaba","BR-101, próximo à Ubaitaba.","-39.323299407959","-14.3125",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen","Holótipo","27575","30/12/2000","auto",NA,NA,NA,NA
"7","2020-07-23 11:56:32-03","CEPLAC","CEPEC","5880","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi",NA,"In Bradea","T. S. dos Santos","873","2001","07","02","Brasil","Bahia","EUNÁPOLIS","Eunápolis, Itabela.","-39.5802993774414","-16.3775005340576",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen","Paratipo","37596","30/12/2000","auto",NA,NA,NA,NA
"8","2020-07-23 11:56:33-03","CEPLAC","CEPEC","8087","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi",NA,"In Bradea","T. S. dos Santos","2191","1971","11","18","Brasil","Bahia","ubaitaba","Km 5 a 15 da BR-101 ao S da cidade.","-39.323299407959","-14.3125",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen","Paratipo","27575","30/12/2000","auto",NA,NA,NA,NA
"9","2020-07-23 11:56:32-03","CEPLAC","CEPEC","7977","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi",NA,"In Bradea","L. E. de M. Filho","2999","1970","11","28","Brasil","Bahia","EUNÁPOLIS","Entre Eunápolis e Itabela, ou + ou - Km 15.","-39.5802993774414","-16.3775005340576",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen","Paratipo","37596","30/12/2000","auto",NA,NA,NA,NA
"10","2020-07-23 11:56:32-03","CEPLAC","CEPEC","6866","Plantae","Acanthaceae","Staurogyne","carvalhoi","Staurogyne carvalhoi",NA,"In Bradea","T. S. dos Santos","1662","1971","05","18","Brasil","Bahia","ITABELA","BR-101 a Eunápolis.","-39.5532989501953","-16.5750007629395",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen","Paratipo","33712","30/12/2000","auto",NA,NA,NA,NA
"11","2019-11-01 14:51:46-03","UnB","UB",NA,"Plantae","Acanthaceae","Staurogyne","nitida","Staurogyne nitida","(S.Moore) Braz & T.F. Daniel","Zanatta, MR","Belém, RP; Pinheiro, RS","2612","1966","09","22","Brasil","Bahia","Eunápolis","Rodovia, BR 5, 16km S, plantação de cacau","-39.5802993774414","-16.3775005340576",NA,NA,NA,NA,"Planta 20cm, flôres brancas, cálice rósio; Plantação de cacau","UB0041073","UB0041073","PreservedSpecimen",NA,"37596",NA,"auto","Dicotyledoneae","2019","09","Southern America"
