"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","557135","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.","T. G. Yuncker","G. G. Hatschbach","7332","1960","10","26","South America","Brazil","Paraná","Paranaguá","Rio Guaraguaçu","-48.5092","-25.5203","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557135","NY00557135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","557134","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.","T. G. Yuncker","R. Reitz","9164","1959","10","09","South America","Brazil","Santa Catarina","Itajaí","Cordeiros","-48.6617","-26.9081","5","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557134","NY00557134_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557149","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.","R. Callejas Posada","G. G. Hatschbach","25669","1970","01","28","South America","Brazil","Paraná","Paranaguá","Ilha do Mel","-48.326804","-25.522889",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557149","NY00557149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:11:47-03","NBC","NL-BOTANY","L.1547245","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.",NA,"Pedersen TM",NA,"1975","04","23","Southern America","Brazil",NA,NA,"Sao Paulo, mun. Guaruja: Bertioga.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1547245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1547245","NL-L1547245","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:11:47-03","NBC","NL-BOTANY","L.1547246","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.",NA,"Pedersen TM",NA,"1975","04","23","Southern America","Brazil",NA,NA,"Sao Paulo, mun. Guaruja: Bertioga.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1547246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1547246","NL-L1547246","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:11:47-03","NBC","NL-BOTANY","L.1547247","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.",NA,"Reitz R; Klein RM",NA,"1959","10","09","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina - Brasil. Cordeiros, Itajai. Mata, Arbusto.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1547247 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1547247","NL-L1547247","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-14 10:04:49-03","FURB","FURB","18093","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.","Guimarães, E","Stival-Santos, A.","1297","2009","11","23",NA,"Brasil","Santa Catarina","Indaial","Faxinal do Bepe, Parque Nacional da Serra do Itajaí.","-49.1797223","-27.1161111","780","780",NA,"Coleta Extra IFFSC (Arbusto) Habitat: Floresta Ombrófila Densa; beira da estrada Habito: arbustiva;","FURB03024","FURB03024",NA,"2010","08","18","-49.1797223","-27.1161111",NA,NA,NA
"8","2020-10-14 10:04:49-03","FURB","FURB","44645","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.","Guimarães, EF","Ribas, O.S.; Silva, G.R. da & Müller, M.","6706","2005","02","20",NA,"Brasil","Santa Catarina","São Francisco do Sul","Praia do Forte.","-48.6380996704102","-26.2432994842529","10","10",NA,NA,"FURB38166","FURB38166",NA,"2009",NA,NA,NA,NA,"23627","auto",NA
"9","2020-12-21 16:39:46-03","MBM","MBM","304884","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.","Guimarães, E.F.","Ribas, O.S.; Silva, G.R.; Müller, M.; Silva, G.R.; Müller, M.","6706","2005","02","20","Southern America","Brazil","Santa Catarina","São Francisco do Sul","Praia do Forte","-48.6380996704102","-26.2432994842529","10","10",NA,"Arbusto, 2,50 m, espiga creme. restinga arbórea.","MBM304884","MBM304884",NA,"2009",NA,NA,NA,NA,"23627","auto",NA
"10","2020-12-21 16:39:46-03","MBM","MBM","411532","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","piritubanum","Piper piritubanum","Yunck.","Guimarães, E.F.","Stival-Santos, A.","1297","2009","11","23","Southern America","Brazil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí, Faxinal do Bepe","-49.179722","-27.116111","780","780",NA,"Arbustiva; F.O.D.; Beira de estrada","MBM411532","MBM411532",NA,"2010","08","18","-49.179722","-27.116111",NA,NA,NA
