"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:26-03","UNESC","CRI","14803","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","Schwirkowski, P.","2019","02","08","Schwirkowski, P.","3350","2019","02","08","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho. Rio Vermelho. Ao longo do Rio Vermelho.","-49.283056","-26.256389","49º16'59''W","26º15'23''S","950","950","FOM. Cálice verde, corola lilás Habitat: Mata ciliar Habito: Herbácea","CRI014123","CRI014123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1019031","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","R. C. Forzza",NA,NA,NA,"R. C. Forzza","3599","2004","10","28","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, trilha do Monjolinho para o Piao.","-43.88","-21.7",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271534' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019031",NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400579","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","O. A. Guimarães; E. P. dos Santos",NA,NA,NA,"E. P. dos Santos","276","1996","11","23","Brazil","Paraná","Guaratuba","Serra de Araçatuba","-48.58","-25.88",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400579","NY00400579_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400676","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","P. G. Taylor",NA,NA,NA,"L. H. Bailey","1112","1924","03",NA,"Brazil","Minas Gerais",NA,"Saddleback journey to Araponga","-42.585921","-20.970257",NA,NA,"800","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400676","NY00400676_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400583","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","P. G. Taylor",NA,NA,NA,"G. G. Hatschbach","23403","1970","01","23","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Abrigo 1","-49.0553","-25.3058",NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400583","NY00400583_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","400581","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.",NA,NA,NA,NA,"P. von Luetzelburg","s.n.","1910",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400581","NY00400581_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1016183","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","M. D. Correa A.",NA,NA,NA,"A. Custodio Filho","2049","1983","12","09","Brazil","São Paulo","Biritiba-Mirim","Estação Biológica de Boracéia","-46.0299987792969","-23.5699996948242",NA,NA,"890","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142625' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016183","NY01016183_01","Magnoliophyta","Lamiales","South America","sheet","19656","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400582","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","L. B. Smith",NA,NA,NA,"L. B. Smith","10468","1957","01","26","Brazil","Santa Catarina","Bom Retiro","Morro da Bela Vista, Campo dos Padres","-49.4892","-27.7972",NA,NA,"1821","1821","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400582","NY00400582_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","400580","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.",NA,NA,NA,NA,"P. K. H. Dusén","8825","1909","10","26","Brazil","Paraná","Ipiranga","Serra do Mar: Desvio Ypiranga","-50.5842","-25.0242",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400580","NY00400580_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:31:04-03","UFRJ","RFA","4836","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","reniformis","Utricularia reniformis","A.St.-Hil.","F. Rivadaria-Lopes","2000","11","09","P. Occhioni","948","1947","03","12","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia, km 21","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"Flores roxas","RFA37018",NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
