"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","identifiedBy","class","county","sex","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","247391","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz. ex Mez","isotype","A. F. M. Glaziou","11684","1879","01","18","South America","Brazil","Rio de Janeiro","Grottao do Morro Quemado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247391","NY00247391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","58223","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz.",NA,"Glaziou, AFM","11684",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN058223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:37:51-02","BGBM","B","B 10 0243441","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz.","holotype","A. F. M. Glaziou","11684",NA,NA,NA,"Middle and South America","Brazil",NA,"Rio de Janeiro, bei Vista Chineza.",NA,"sheet 1 of 4 <a href=http://herbarium.bgbm.org/object/B100243441 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243441","B100243441",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:51-02","BGBM","B","B 10 0243442","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz.","holotype","A. F. M. Glaziou","11684",NA,NA,NA,"Middle and South America","Brazil",NA,"Rio de Janeiro.",NA,"Herb. A.W. Eichler; sheet 2 of 4 <a href=http://herbarium.bgbm.org/object/B100243442 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243442","B100243442",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:51-02","BGBM","B","B 10 0243443","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz.","holotype","A. F. M. Glaziou","11684",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"sheet 3 of 4 <a href=http://herbarium.bgbm.org/object/B100243443 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243443","B100243443",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:37:51-02","BGBM","B","B 10 0243444","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz.","holotype","A. F. M. Glaziou","11684",NA,NA,NA,"Middle and South America","Brazil",NA,"Rio de Janeiro.",NA,"sheet 4 of 4 <a href=http://herbarium.bgbm.org/object/B100243444 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243444","B100243444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-16 16:35:30-03","MNHN","RECOLNAT_MNHN_P","P00753329","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz. ex Mez","isotype","Glaziou, A.",NA,"1879","1","18",NA,"Brésil",NA,"Province de Rio de Janeiro : Grottao de Morro Queimado","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753329' target='other'> <mi>dwc_moreinfo</mi></a>","P00753329","P00753329_01","11684",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-09 15:11:54-03","MNHN","RECOLNAT_MNHN_P","P00753330","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz. ex Mez","isotype","Glaziou, A.",NA,"1879","1","18",NA,"Brésil",NA,"Province de Rio de Janeiro : Grottao de Morro Queimado","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753330' target='other'> <mi>dwc_moreinfo</mi></a>","P00753330","P00753330_01","11684",NA,NA,NA,NA,NA,NA,NA,NA
"9","2013-01-07 15:01:53-02","MNHN","RECOLNAT_MNHN_P","P00753331","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz. ex Mez","isotype","Glaziou, A.",NA,"1879","1","18",NA,"Brésil",NA,"Province de Rio de Janeiro : Grottao de Morro Queimado","hb","Reçu le 29 juin 1880 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753331' target='other'> <mi>dwc_moreinfo</mi></a>","P00753331","P00753331_01 P00753331_02","11684","Mez",NA,NA,NA,NA,NA,NA,NA
"10","2009-07-27 09:32:00-03","MO","MOBOT","3020080","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz. ex Mez",NA,"Auguste F.M. Glaziou","Glaziou 11684","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"Carl Mez",NA,NA,NA,NA,NA,NA,NA
"11","2019-09-04 17:44:17-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana",NA,"Isotype","A. Glaziou","11684","1879","1","18","South America","Brazil","Rio de Janeiro","Morro Queimado",NA,NA,NA,NA,NA,NA,"Monocotyledoneae","Guanabara",NA,NA,NA,NA,NA
"12","2019-07-09 12:56:32-03","F","FMNH-SEEDPLANTS","V0361431F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana",NA,"Isotype","A. Glaziou","11684","1879","1","18","South America","Brazil","Rio de Janeiro","Morro Queimado",NA,NA,"V0361431F","V0361431F_01",NA,NA,"Monocotyledoneae","Guanabara",NA,NA,NA,NA,NA
"13","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Glaz.",NA,"Glaziou, AFM","11684",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro prope urbem ad Vista Chineza",NA,"(V. s. in herb. Leod., Warming.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-05-28 11:38:45-03","GH","HU-HERB","GH 01117820","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Mez ex Glaziou","Type","A. F. M. Glaziou","11684","1879","1","19","South America","Brazil","Rio de Janeiro","Groltao[?] do Morro","Sheet",NA,NA,NA,"11684",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-05-28 16:42:01-03","GH","HU-HERB","GH 01117821","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Mez ex Glaziou",NA,NA,NA,"1885","8","4","South America","Brazil","Rio de Janeiro","Quinta","Sheet",NA,NA,NA,NA,NA,NA,NA,"undetermined",NA,NA,NA,NA
"16","2014-09-23 10:56:58-03","G","G","G00099615","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pastuchoffiana","Vriesea pastuchoffiana","Mez","ISOTYPUS of Vriesea pastuchoffiana Mez","Glaziou, A. F. M.","11684","1880",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=126178&base=img&lang=en","G00099615","G00099615",NA,"?",NA,NA,NA,"-42.9125","-22.48222222","-42.9125","-22.48222222"
