"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","871869","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) Roque","N. Roque","N. Roque","354","1997","09","24","South America","Brazil","Minas Gerais","Santana do Riacho","Santana do Riacho, Serra do Cipó.","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871869","NY00871869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-25 16:50:25-03","UFBA","ALCB","122485","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) N.Roque","Barres, L","Barres, L; Alves, M; Campos, L; Roque, N","198","2015","09","28","Southern America","Brasil","Minas Gerais","Santana do Riacho","próximo a bifurcaçao entre Morro do Pilar e Conceiçao do Mato Dentro.","-43.483333","-19.216667",NA,"ca. 60 cm alt. Folhas coriáceas e eretas pecioladas; pecílo hirsuto; capítulos em corimbo, radiados; flores do radio alvas, flores do disco vinaceas.; Solo arenoso pedregroso","ALCB007925",NA,"2015","09","-43.483333","-19.216667","1336","1336",NA,NA,NA,NA,NA,NA
"3","2019-11-25 16:50:25-03","UFBA","ALCB","120882","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) N.Roque","Roque, N","Roque, N; Alves, M; Campos, L; Barres, L","4708","2015","09","29","Southern America","Brasil","Minas Gerais","Santana do Riacho","Alto do Palácio, trilha para Vellozia gigantea, ca. 2 Km à direita após a casa do ICMBIO.","-43.519444","-19.247778",NA,"ca. 40 cm alt., folhas concolores. Brácteas involucrais verde-vináceas, corola alva.; graminoso","ALCB007980","ALCB007980","2015","09","-43.519444","-19.247778","1301","1301",NA,NA,NA,NA,NA,NA
"4","2019-11-25 16:50:25-03","UFBA","ALCB","122490","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) N.Roque","Barres, L","Barres, L; Alves, M; Campos, L; Roque, N","203","2015","09","29","Southern America","Brasil","Minas Gerais","Santana do Riacho","caminho para as Vellozia gigantes, 2 km após a casa do ICMbio.","-43.516667","-19.233333",NA,"ca. 60 cmalt. Folhas coriáceas e eretas pecioladas. Capítulos em corimbo, radiados; flores do raio alvas, flores do disco vinaceas.","ALCB007929",NA,"2015","09","-43.516667","-19.233333","1301","1301",NA,NA,NA,NA,NA,NA
"5","2019-11-25 16:50:25-03","UFBA","ALCB","122500","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) N.Roque","Barres, L","Barres, L; Alves, M; Campos, L; Roque, N","214","2015","09","30","Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra de Cipó, próximo ao Lanchonete do Juquinha.","-43.563056","-19.256667",NA,"ca. 60 cm alt. Folhas coriaceas e eretas , capítulos em corimbo, radiados, flores do raio alvas, flores do disco vinaceas.","ALCB007939",NA,"2015","09","-43.563056","-19.256667","1329","1329",NA,NA,NA,NA,NA,NA
"6","2019-11-25 16:50:25-03","UFBA","ALCB","81466","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) N.Roque","Roque, N","Roque, N; Sano, PT; Watanabe, MTC; Travó, MLO; Echternacht, L","1626","2007","09","19","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, entre a Sede do IBAMA e a entrada para Vellozia gigantea. Material para DNA","-43.528611","-19.251111",NA,"ca. 30cm alt. Brácteas involucrais verde-vináceas; flores radiais e do disco alvas.",NA,NA,"2007","09","-43.528611","-19.251111","1323","1323",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:25:10-03","UNICAMP","UEC","2772","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) Roque","Roque, N","Semir, J; Sazima, M","2581","1972","07","18",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 127 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Acaule.","UEC130839","UEC130839","1999",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"8","2021-03-01 16:25:10-03","UNICAMP","UEC","2773","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) Roque","Roque, N","Joly, AB; Semir, J","2959","1972","08","20",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 128 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Capítulo creme. Altura 45 cm.","UEC130841","UEC130841","1999",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"9","2021-03-01 16:25:10-03","UNICAMP","UEC","2767","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) Roque","Roque, N","Joly, AB; Semir, J; Joly, AM; Martins, F","2451","1972","05","29",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 128 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Escapo 40 a 50 cm. Capítulos esbranquiçados.","UEC130842","UEC130842","1999",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"10","2021-03-01 16:25:10-03","UNICAMP","UEC","2766","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","stenophylla","Richterago stenophylla","(Cabrera) Roque","Roque, N","Joly, AB; Semir, J; Joly, AM; Martins, F","2170","1972","05","27",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 139 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Erva, flores amareladas, até 30 cm.","UEC130837","UEC130837","1999",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
