"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","infraspecificEpithet","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:19-03","UNESC","CRI","6337","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","J. Silvano","J. Silvano; et al.","1998","07","22","Brasil","Santa Catarina","Criciúma","Bairro Mina União.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58","Habitat: beira da mata Habito: árvore","CRI001109","CRI001109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:59-03","UNESC","CRI","1281","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Renato Colares","J. J. Zocche","1992","07","15","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S",NA,NA,NA,"CRI001472","CRI001472","2020","01","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:59-03","UNESC","CRI","8369","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Vanilde Citadini- Zanette","Aline Costa Brum Figueiró Leandro",NA,NA,NA,"Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S",NA,NA,NA,"CRI001107","CRI001107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:59-03","UNESC","CRI","11043","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","A. L. de Gasper","M. Verdi; D.h. klettenberg e G. Klemz","2009","10","13","Brasil","Santa Catarina","Jacinto Machado","Morro São Cristovão.","-49.763889","-28.998056","49º45'50''W","28º59'53''S","380","380","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI001112","CRI001112","2010","03","23","2087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:59-03","UNESC","CRI","14226","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Korte, A","Korte, A.; Kniess, A.","2010","05","21","Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí. Parque Nacional da Serra do Itajaí.","-49.230833","-27.09","49º13'51''W","27º5'24''S","601","601","Florística IFFSC 577 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea; flor botão floral","CRI013354","CRI013354","2010","05","21","3360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:59-03","UNESC","CRI","5496","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Renato Colares","Vanilde Citadini Zanette; V. Boff","1996","09","11","Brasil","Santa Catarina","Siderópolis","Alto Rio FIorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,"Habito: árvore","CRI001462","CRI001462","2020","01","09","2428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:19-03","UNESC","CRI","7587","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Marcelo R. Pasetto","Marcelo Romagna Pasetto","2008","05","18","Brasil","Santa Catarina","Siderópolis","Jordão/São Pedro.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habitat: interior da mata","CRI001101","CRI001101","2008","05","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:19-03","UNESC","CRI","8815","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Robson dos Santos","Jacira; Robson dos Santos","1998","10","15","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI001480","CRI001480","1998","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:59-03","UNESC","CRI","1176","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001105","CRI001105",NA,NA,NA,"1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:19-03","UNESC","CRI","4864","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","A. A. Schneider","C. M. Martinello","1995","09","02","Brasil","Santa Catarina","Criciúma","Mina Brasil.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","Habitat: beira da mata Habito: árvore","CRI001113","CRI001113","1995","09","02","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:24:59-03","UNESC","CRI","1178","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Ricardo Ribeiro Rodrigues","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001474","CRI001474",NA,NA,NA,"1427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:24:59-03","UNESC","CRI","1174","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker",NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","08","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001475","CRI001475",NA,NA,NA,"1423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:19-03","UNESC","CRI","8300","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Renato Colares","Tanise Boeira Pelegrine Bertolin","2006",NA,NA,"Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI000814","CRI000814","2018","12","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:24:59-03","UNESC","CRI","1023","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001108","CRI001108",NA,NA,NA,"1301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:24:59-03","UNESC","CRI","3147","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Marcos Sobral","Vanilde Citadini-Zanette","1993","08","01","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001104","CRI001104",NA,NA,NA,"1617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:24:59-03","UNESC","CRI","14166","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Lucas Oliveira","Robson dos Santos & Vanilde Citadini","2001","08","09","Brasil","Santa Catarina","Praia Grande",NA,"-49.950278","-29.198611","49º57'1''W","29º11'55''S",NA,NA,"Habitat: Terrestre Habito: Arbórea","CRI012818",NA,"2018","12","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:33:19-03","UNESC","CRI","3292","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker",NA,"Vanilde Citadini Zanette","1993","08","01","Brasil","Santa Catarina","Criciúma","Sítio Sr. Antônio Rocha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI001481","CRI001481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:24:59-03","UNESC","CRI","13795","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Bianca Schindler","Alexandre Medeiros","2018","09","09","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Brava","-48.586111","-26.996389","48º35'10''W","26º59'47''S",NA,NA,"Flores brancas amareladas Habitat: Terrestre Habito: Arbórea","CRI012407",NA,"2018","09","09","1035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:24:59-03","UNESC","CRI","12978","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Seubert, RC","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","2014","10","06","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.211944","-27.121111","49º12'43''W","27º7'16''S","676","676","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arbórea;","CRI011607",NA,"2014","10","06","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:24:59-03","UNESC","CRI","1180","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","Daniel de Barcellos Falkenberg","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001476","CRI001476",NA,NA,NA,"1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:24:59-03","UNESC","CRI","5047","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","axillaris","Piptocarpha axillaris","(Less.) Baker","A.A. Schneider","Vanilde Citadini Zanette","1996","11","04","Brasil","Santa Catarina","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"Habito: árvore","CRI001102","CRI001102",NA,NA,NA,"2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
