"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","typeStatus","individualCount","infraspecificEpithet"
"1","2021-04-05 14:25:39-03","UNESC","CRI","1080","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1358","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005217","CRI005217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:39-03","UNESC","CRI","13037","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","Seubert, RC","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","49","2014","08","22","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.209167","-27.113889","49º12'33''W","27º6'50''S","644","644","CRI011630",NA,"2014","08","22","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615680","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","L. R. Landrum","C. Koczicki","74","1968","02","22","Brazil","Paraná","Sao José dos Pinhais","Col. Roseira","-49.2064","-25.5347",NA,NA,NA,NA,"NY00615680","NY00615680_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758457' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615678","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","L. R. Landrum","L. R. Landrum","4120","1982","01","13","Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, near chapel","-43.278116","-22.956929",NA,NA,NA,NA,"NY00615678","NY00615678_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758456' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615686","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand",NA,"M. Sobral","1588","1983","03",NA,"Brazil","Rio Grande do Sul","Sao Francisco de Paula","Contendas, Sao Francisco de Paula","-50.5833","-29.4483",NA,NA,NA,NA,"NY00615686","NY00615686_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758461' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615690","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","S. F. Smith","R. A. Wasum","HUCS12108","1996","01","10","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Sao Francisco de Paula - Floresta Nacional I","-50.395632","-29.433343",NA,NA,"800","800","NY00615690","NY00615690_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758449' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615684","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand",NA,"J. A. Jarenkow","s.n.","1983","02","07","Brazil","Rio Grande do Sul",NA,"Itaimbezinho, Cambará do Sul","-50.63711","-28.650038",NA,NA,NA,NA,"NY00615684","NY00615684_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758459' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615687","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","M. Sobral","M. Sobral","3773","1985","02","02","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Contendas, Sao Francisco de Paula","-50.5833","-29.4483",NA,NA,NA,NA,"NY00615687","NY00615687_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758446' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615681","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","L. R. Landrum","R. Kummrow","2168","1983","01","11","Brazil","Paraná","Tijucas do Sul","Rio Araçatuba","-49.1989","-25.9283",NA,NA,NA,NA,"NY00615681","NY00615681_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758458' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615688","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","cucullata","Myrceugenia cucullata","D.Legrand","S. F. Smith","R. A. Wasum","10339","1994","12","16","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Sao Francisco de Paula - Floresta Nacional I","-50.395632","-29.433343",NA,NA,"850","850","NY00615688","NY00615688_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758447' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
