"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"52","2015-03-07 08:27:03-03","F","FMNH-SEEDPLANTS","V0124869F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0124869F","V0124869F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"53","2020-11-04 17:30:55-03","UEM","HUEM","16086","S","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Ma.C.Souza","1546",NA,"Brasil","Paraná","rio Paraná, remanescente entre a base e a cidade, Solo seco.",NA,"Porte arbóreo; flor branca perfumada; rara.",NA,NA,"Stehmann, JR","1994","01","16","Porto Rico","-53.2668991088867","-22.7721996307373",NA,NA,"2009","18063","auto",NA,NA,NA,"07","15",NA,NA,NA
"54","2016-08-23 11:01:02-03","NHMLondon","NHM-LONDON-BOT","BM000992164","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","Type","Gardner","1370",NA,"Brasil",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/c865e85bdba63a47c2190e2dfaa3f0982d780c30/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1838","02",NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"Magnoliopsida","-53.08982","-10.773109",NA,NA,NA,NA,"NHMUK:ecatalogue:471438"
"55","2016-08-23 11:01:02-03","NHMLondon","NHM-LONDON-BOT","BM000992165","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","Type","Gardner","1370",NA,"Brasil",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/b1be1663027abd333d7054188b9f09b0623169ce/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1838","02",NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"Magnoliopsida","-53.08982","-10.773109",NA,NA,NA,NA,"NHMUK:ecatalogue:471442"
"56","2016-08-23 11:01:02-03","NHMLondon","NHM-LONDON-BOT","BM000992166","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","Type","Gardner","1370",NA,"Brasil",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/5c6558736e1c835299fc6abd772f6367b035e0f7/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1838","02",NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"Magnoliopsida","-53.08982","-10.773109",NA,NA,NA,NA,"NHMUK:ecatalogue:471443"
"57","2020-11-12 17:03:35-03","UEL","FUEL","10150","PreservedSpecimen","Plantae","Tracheophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Vieira, AOS; et al.","427",NA,"Brasil","Paraná","Ilha Mutum, Próximo a base do NUPELIA da UEM",NA,NA,"FUEL018218",NA,"Stehmann, JR","1989","03","31","Porto Rico","-53.2668991088867","-22.7721996307373",NA,NA,"2009","18063","auto",NA,NA,NA,"07","15",NA,NA,NA
"58","2019-11-01 15:10:59-03","UnB","UB","214811","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Ducke, A","994","Southern America","Brasil","Ceará","Rio Banabuiú",NA,"Árvore; flor esbranquiçada",NA,NA,NA,"1908","07","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2021-03-04 15:46:44-03","IF","SPSF","53940","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"A.O.S.Vieira","427","América do Sul","Brasil","PR","Ilha Mutum",NA,"COLETA: Arvoreta de 4 m de altura. Flores esbranquiçadas. Frutos arroxeados. Melífera.; GEOGRAFIA: Próximo a base do NUPELIA da UEM.;",NA,NA,"J.R.Stehmann","1989","03","31","Porto Rico","-53.2668991088867","-22.7721996307373",NA,NA,"2009","18063","auto","Magnoliopsida",NA,NA,"07","15",NA,NA,NA
"60","2017-09-11 17:14:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Gardner, G","1370","Southern America","Brazil",NA,"in Alagoa",NA,NA,NA,NA,NA,"1838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2021-02-08 12:45:36-03","UFRGS","ICN","201184","S","Plantae","Dicotyledon",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Vieira, AOS; et al.","427","América do Sul","Brasil","PR","Ilha Mutum - próximo a base do Nupella da UEM",NA,"Doação FUEL 10150; Arvoreta 4m; flores esbranquiçadas; frutos arroxeados; melífera","ICN00043093",NA,"Stehmann, JR","1989","03","31","Porto Rico","-53.2668991088867","-22.7721996307373",NA,NA,"2009","18063","auto",NA,NA,NA,"07","15",NA,NA,NA
"62","2008-02-22 16:26:28-03","UM","RECOLNAT_UM_MPU","MPU023413","PreservedSpecimen",NA,NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","isotype","Gardner, G.",NA,NA,"Brésil",NA,"Prov. d'Alagoas","hb","Se trouve sur la même planche que MPU023412 <a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu023413' target='other'> <mi>dwc_moreinfo</mi></a>","MPU023413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1370",NA,NA
"63","2015-11-03 03:56:57-02","UM","RECOLNAT_UM_MPU","MPU023412","PreservedSpecimen",NA,NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","isotype","Gardner, G.",NA,NA,"Brésil",NA,"Prov. d'Alagoas","hb","Se trouve sur la même planche que MPU023413 <a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu023412' target='other'> <mi>dwc_moreinfo</mi></a>","MPU023412",NA,NA,"1838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1370",NA,NA
