"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"25","2015-04-21 05:44:00-03","MO","MOBOT","100661496","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Michael H. Nee|Ivan Linneo","Nee 54139","South America","Bolivia","Tarija","10.8 km N of Villa Montes on highway to Camiri, then ca. 6 km SE on dirt roads, and E of railroad from Argentina to Santa Cruz de la Sierra.",NA,NA,NA,NA,"M. Nee","2006","2","12","Gran Chaco","-63.3913889","-21.2130556","420.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"26","2011-06-21 11:38:00-03","MO","MOBOT","1396456","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"C. Antezana Valera","Antezana Valera 590","South America","Bolivia","Cochabamba","Camino a Saipina. Cono aluvial, pedregoso, borde de rio.",NA,NA,NA,NA,"M. Nee","1993","1","24","Campero",NA,NA,"1750.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2014-04-08 13:02:00-03","MO","MOBOT","1535933","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Michael H. Nee","Nee 47681","South America","Bolivia","Santa Cruz","Northern outskirts of Mairana. Flat agricultutral area and remnant and highly grazed and disturbed shrubland with Acacia aroma.",NA,NA,NA,NA,"M. Nee (NY)","1997","12","31","Florida","-63.9666667","-18.1166667","1325.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28","2014-01-31 08:32:00-02","MO","MOBOT","1536683","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Michael H. Nee","Nee 47728","South America","Bolivia","Santa Cruz","Within the Flora de la Region del Parque Nacional Amboro, but above the 700 m contour ** Pampa Grande",NA,NA,NA,NA,"M. Nee","1998",NA,NA,"Florida","-64.1166667","-18.0833333","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2014-01-31 08:33:00-02","MO","MOBOT","1763263","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"G. Navarro","Navarro Sánchez 1623","South America","Bolivia","Santa Cruz","Estancia Cachari, Baniados de Izogog",NA,NA,NA,NA,"M. Nee","1993","1","5","Cordillera","-62.4333333","-18.8666667","400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"30","2009-10-18 08:03:00-02","MO","MOBOT","2439402","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"F. M. Rodríguez","Rodríguez 762","South America","Argentina","Misiones","Santa Ana",NA,NA,NA,NA,"G. Bernardello","1913","2","10","Candelaria","-55.58333","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-04-30 04:37:00-03","MO","MOBOT","2439418","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"RODRÍGUEZ","RODRÍGUEZ 762","South America","Argentina","Misiones","Santa Ana",NA,NA,NA,NA,"Bernardello, G.","1913","2","10","Candelaria","-55.58333","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2011-03-25 21:02:00-03","MO","MOBOT","2443612","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Luis M. Bernardello|L. Galetto","Bernardello 809","South America","Argentina","Misiones","Loreto, cerca de las Ruinas Jesuíticas",NA,NA,NA,NA,"Bernardello, G.","1992","1","31","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2009-07-09 17:05:00-03","MO","MOBOT","2483611","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Gert G. Hatschbach","Hatschbach 39852","South America","Brazil","Paraná","Santa Helena. Porto Verde",NA,NA,NA,NA,"Bernardello, G.","1977","3","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2011-12-22 05:01:00-02","MO","MOBOT","2516509","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Teodoro Rojas","Rojas 8176","South America","Paraguay","Alto Paraná","Puerto Bertoni. Barranca alta del Río Paraná",NA,NA,NA,NA,"Bernardello, G.","1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-11-15 05:15:00-02","MO","MOBOT","2516522","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Antonio C. Krapovickas|Carmen L. Cristóbal|Victor Maruñak","Krapovickas 15742","South America","Paraguay","Alto Paraná","Puerto Gibajas (4 km al sur de Puerto Iguazú)",NA,NA,NA,NA,"Bernardello, G.","1970","3","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2011-12-22 05:01:00-02","MO","MOBOT","2516536","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Teodoro Rojas","Rojas 2425","South America","Paraguay","Boquerón","Puerto Casado, Chaco Paraguayo",NA,NA,NA,NA,"Bernardello, G.","1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2011-12-22 05:01:00-02","MO","MOBOT","2516550","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Teodoro Rojas","Rojas 14270","South America","Paraguay","Central","Santisima Trinidad",NA,NA,NA,NA,"Bernardello, G.","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2011-12-22 05:01:00-02","MO","MOBOT","2516564","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Teodoro Rojas","Rojas 9318a","South America","Paraguay","Central","Santisima Trinidad",NA,NA,NA,NA,NA,"1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-04-30 04:37:00-03","MO","MOBOT","2940958","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"RODRÍGUEZ","RODRÍGUEZ 166","South America","Argentina","Misiones","Posadas.",NA,NA,NA,NA,NA,"1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","3359065","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"R.E. Fries","Fries 1385","South America","Bolivia","Tarija","Tatarenda",NA,NA,NA,NA,"Foster's catalog note file","1902","10","17","Gran Chaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
