"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","year","locality","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","566471","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","E. Hassler","5981","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","566461","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","G. Gardner","1558","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566461","1836","Brasilia","NY00566461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","566462","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","H. C. de Lima","2964","South America","Brazil","sheet","Estudo de Areas Remanescentes de 'Pau Brasil' Expediçao I <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566462","1987","Itaúnas, após a ponte para a cidade velha","NY00566462_01","05","14","Espírito Santo","Conceiçao da Barra","-39.7319","-18.5933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","566469","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","R. M. Harley","16686","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566469","1974","Serra do Curral Feio. 16 km NW of Laginha (5.5 km SW of Delfino) on side road to Minas do Mimoso","NY00566469_01","03","04","Bahia",NA,"-41.33","-10.37","J. S. Page; G. P. Lewis","950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","566466","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","A. P. Duarte","8886","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566466","1965","Serra de Cima","NY00566466_01","08","17","Espírito Santo","Nova Venécia","-40.4006","-18.7108","V. Perazzo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","566463","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","A. P. Duarte","5965","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566463","1961","Porto Seguro","NY00566463_01","08","22","Bahia","Porto Seguro","-39.0644","-16.4497","Graziela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","6385","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","J. S. Blanchet","3712","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006385",NA,NA,"NY00006385_01",NA,NA,"Bahia",NA,"-39.039072","-15.159747",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","566460","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","R. M. Harley","21303","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566460","1980","Serra Geral de Caitité. 9.5 km S of Caitité on road to Brejinhos das Ametistas","NY00566460_01","04","13","Bahia",NA,"-42.5","-14.12","G. P. Lewis","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","777332","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","W. Ganev","1552","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777332","1992","Estrada Catolés-Abaíra, ca. 5 km de Catolés","NY00777332_01","11","24","Bahia","Abaíra","-41.82","-13.32","G. P. Lewis","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","566468","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","arenarium","Centrosema arenarium","Benth.","R. M. Harley","16035","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566468","1974","Serra do Sincoá. 9 km SW of Mucugé, on road from Cascavel","NY00566468_01","02","05","Bahia",NA,"-41.42","-13.03","G. P. Lewis; M. P. Lima","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
