"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","fieldNumber","infraspecificEpithet","class","individualCount","relatedCatalogItem","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","14975","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins","Oliveira, AA de","2011","01","26","Uller, H.F.; Uller, G.R.","159","2009","05","16","Brasil","Santa Catarina","Indaial","Morro do Barão. Morro do Barão.","-49.235833","-26.899722","49º14'9''W","26º53'59''S","Habitat: beira da estrada Habito: arvoreta; Fruto roxo;","CRI014312","CRI014312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:40-03","E","E","161306","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna",NA,NA,NA,NA,NA,"Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","24","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161306 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161306",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:168688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01080908","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins","G. G. Hatschbach",NA,NA,NA,"G. L. Esteves","CFCR15463","1990","09","19","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó: in the upper part of the valley of Ribeirao Soberbo, 1.5 km. SSE Pensao Chapeu-de-Sol (NNE Cardeal Mota), 38 km. E-ESE Baldim","-43.58","-19.32",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222377' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080908","NY01080908_01","South America","sheet",NA,"Magnoliophyta","Laurales","1050","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00454353","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins","G. G. Hatschbach",NA,NA,NA,"J. M. Silva",NA,"1996","09","07","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, subida ao Pico Paraná","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454353","NY00454353_01","South America","sheet",NA,"Magnoliophyta","Laurales","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1551125","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins","A. L. Peixoto",NA,NA,NA,"J. M. A. Braga","2090","1995","02","17","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Estrada para Mirantão.","-44.65833","-22.35833",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911860' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551125","NY01551125_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01091774","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins","A. L. Peixoto",NA,NA,NA,"J. G. Jardim","1232",NA,NA,NA,"Brazil","Bahia","Almadina","Rod. Almadina/Ibitupã, entrada ca. 5 km W da sede do município. Fazenda Cruzeiro do Sul. Serra do Sete-paus; ca. 8 km da entrada. Área do Inventário Florestal e Fitossociológico.","-39.6961","-14.735",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619070' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091774","NY01091774_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2422657","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins",NA,NA,NA,NA,"J. R. Pirani","CFSC13066","1993","05","01","Brazil","Minas Gerais","Santana do Riacho","Santana do Riacho, Serra do Cipó, Rodovia Belo Horizonte-Conceiçao do Mato Dentro, Vale da Mae d'Agua","-43.7142","-19.1692",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669914' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422657","NY02422657_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1181811","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins","W. Morawetz",NA,NA,NA,"W. Morawetz","25-7281","1981","02","07","Brazil","Minas Gerais",NA,"Serra do Cipó, on the way from Belo Horizonte to Conceição do Mato Dentro to Serro, km 124.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387502' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181811","NY01181811_01","South America","sheet",NA,"Magnoliophyta","Laurales","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03044772","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins",NA,NA,NA,NA,"E. M. Saddi","572","2011","11","17","Brazil","Minas Gerais","Itatiaiuçu","Parcela P12 dos estudos para o EIA do Complexo Serra Azul.","-44.4813889","-20.1955555",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3281608' target='other'> <mi>dwc_moreinfo</mi></a>","NY03044772","NY03044772_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:11-03","UNESP-IBB","BOTU","8416","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","argyrogyna","Mollinedia argyrogyna","Perkins","Peixoto, A.L.","1998",NA,NA,"Ehrendorfer, F.","2","1973","08","20","Brasil","São Paulo","Botucatu",NA,NA,NA,"9999","9999",NA,"BOTU008416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
