"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","930553","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","C. Kameyama","D. C. Zappi","CFCR8336","1985","09","03","South America","Brazil","Minas Gerais","Grão Mogol","Grão Mogol. Córrego das Mortes.","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930553","NY00930553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","930555","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","D. C. Wasshausen","A. M. V. de Carvalho","6520","1998","08","02","South America","Brazil","Minas Gerais","Grão Mogol","Campo rupestre, atrás da cidade. Trilha do Barão.","-42.8897018432617","-16.5594005584717","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930555","NY00930555_01","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","930554","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","C. Kameyama","I. Cordeiro","CFCR9993","1986","09","02","South America","Brazil","Minas Gerais",NA,"Grão Mogol. Rib. dos Bois.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930554","NY00930554_01",NA,NA,"850","850",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039495","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","C. Kameyama","J. R. Pirani","CFCR8322","1985","09","03","South America","Brazil","Minas Gerais","Grão Mogol","Córrego das Mortes.","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039495","NY01039495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:58:47-03","ESALQ","ESA","73970","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","Colletta, G.D.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.; Elias, S.I.","25719.0","2001","07","11",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada Grão Mogol - Montes Claros, ca. 6 km de Grão Mogol. 16o35'33,0S, 42o54'50,4W. Campo rupestre com elementos de caatinga.","-42.8897018432617","-16.5594005584717",NA,"Subarbusto; corola com tubo e lábio superior vinho, lábio inferior alvo.","ESA073970",NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:21:11-03","UNICAMP","UEC","203004","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.",NA,"Scatigna, AV; Carmo, JAM","1051","2016","01","21",NA,"Brazil","Minas Gerais","Cristália","Vale do Itacambiruçu. Areal próx a afloramento quartzítico.","-42.914722","-16.6075",NA,"Arbusto, ca. 30 cm. Corola branca com lábio superior roxo.","UEC190277","UEC190277",NA,NA,NA,NA,"-42.914722","-16.6075",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:11:09-03","MBM","MBM","62298","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.",NA,"Hatschbach, G.; Kasper, A.; Kasper, A.","41640","1978","10","22","Southern America","Brazil","Minas Gerais","Grão Mogol","10km NO de Grão Mogol.","-42.8897018432617","-16.5594005584717",NA,"Subarbusto 50cm, flor púrpurea, ápice alvo.; Afloramentos rochosos.","MBM062298","MBM062298","67219","auto",NA,NA,NA,NA,"PARATYPE",NA,NA,NA,NA,NA
"8","2020-12-21 16:11:09-03","MBM","MBM","59739","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","Kameyama, C.","Hatschbach, G.","41518","1978","07","24","Southern America","Brazil","Minas Gerais","Grão Mogol","Arredores.","-42.8897018432617","-16.5594005584717",NA,"Erva vinosa.; Do topo rochoso do morro.","MBM059739","MBM059739","67219","auto",NA,NA,NA,NA,"HOLOTYPE",NA,NA,NA,NA,NA
"9","2020-12-21 16:11:09-03","MBM","MBM","295906","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","Kameyama, C.","Cordeiro, I.; Mello-Silva, R.; Mello-Silva, R.","44458","1986","09","02","Southern America","Brazil","Minas Gerais","Grão Mogol","Rib. dos Bois.","-42.8897018432617","-16.5594005584717",NA,"subarbusto 40cm, corola com parte superior cor de vinho, inferior alva na porção externa e com estrias cor de vinho na porção interna.","MBM295906","MBM295906","67219","auto",NA,NA,NA,NA,NA,"1988",NA,NA,NA,NA
"10","2020-12-22 12:08:14-03","JBB","HEPH","37246","S","Plantae","Dicotyledon","Lamiales","Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","Zanatta, MRV","Faria, JEQ; Zanatta, MRV; Kuhlmann, MP","8393","2017","11","18","Southern America","Brasil","Minas Gerais","Cristália","Margem da estrada sentido Grão Mogol/Cristália, ca. 800 m depois da ponte do rio Itacambiruçu","-42.895556","-16.593889",NA,NA,NA,NA,NA,NA,"660","660","-42.895556","-16.593889",NA,"2017","11",NA,NA,NA
"11","2020-12-11 11:31:16-03","UFMG","BHCB","109693","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.",NA,"Marino, F; Cheib, A; Anselmo, L; Gonçalves, PO","250","2007","07","05","Southern America","Brasil","Minas Gerais","Grão Mogol","Trevo para Cristália. Rio Itacambiruçu.","-42.9","-16.551111",NA,"Erva, flores lilases claras.; Beira do rio.","BHCB053652",NA,NA,NA,"659","659","-42.9","-16.551111",NA,"2007","10",NA,NA,NA
"12","2020-12-11 11:31:16-03","UFMG","BHCB","6714","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.",NA,"Martinelli, G; et al.","11294","1985","07","25","Southern America","Brasil","Minas Gerais","Juramento","6 km antes de Juramento. Na margem da estrada.","-43.5868988037109","-16.8481006622314",NA,"Heliófila, flores cáilice verde, corola rósea, frutos imaturos de cor verde.; Cerrado c/ plantação de Eucaliptus.","BHCB054174","BHCB054174","19357","auto",NA,NA,NA,NA,NA,"1992",NA,NA,NA,NA
"13","2021-03-09 10:46:51-03","ICAUFMG","MCCA","1587","S","Plantae",NA,NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii","Wassh.","IGLESIAS, D.T.",NA,NA,"2017","08","19",NA,"Brasil","Minas Gerais","Grão Mogol","Trilha do Barão.","-42.8897018432617","-16.5594005584717",NA,NA,"MCCA01644","MCCA01644","67219","auto",NA,NA,NA,NA,NA,"2017","09","05",NA,NA
"14","2019-06-10 10:10:01-03","FZB-BH","BHZB","12478","S","Plantae",NA,NA,"Acanthaceae","Stenandrium","hatschbachii","Stenandrium hatschbachii",NA,NA,"Ferreira Junior, C.A. et al.","1674","2019","02","16",NA,"Brasil","MG","Grão Mogol","Parque Estadual de Grão Mogol, trilha subindo a serra próxima a sede.","-42.8897018432617","-16.5594005584717",NA,"Com duplicata.Ameaçada ( EM",NA,NA,"67219","auto","817","817","42°56'54.1","16°36'33.2",NA,NA,NA,NA,NA,NA
