"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01251503","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","S. A. Mori","20531","1989","06","26","South America","Brazil","Amazonas","Manaus. Distrito Agropecuário, Reserva 1501 (Km 41) of the WWF/INPA MCS Project","-59.75","-2.416667","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328909' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251503","NY01251503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01251505","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","77","1941","05","29","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468797' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251505","NY01251505_01 NY01251505_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01251498","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","76","1941","05","29","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468794' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251498","NY01251498_01 NY01251498_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01251495","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","A. A. de Oliveira","270","1991","12","07","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468792' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251495","NY01251495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01251497","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","A. P. da Silva","s.n.","1989","10","25","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468793' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251497","NY01251497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01251493","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","A. P. da Silva","s.n.","1989","11","09","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251493","NY01251493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01251492","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","A. P. da Silva","s.n.","1989","10","28","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251492","NY01251492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01251502","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.",NA,"G. T. Prance","3252","1966","11","24","South America","Brazil","Amazonas","Road Humaita to Labrea, km 80. Between Rios Ipixuna and Itaparana","-63.7027216","-7.4932816",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330424' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251502","NY01251502_01","Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01251494","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","C. A. Sothers","380","1995","03","29","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","-60.0250015258789","-3.10193991661072",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328250' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251494","NY01251494_01","Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01251499","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vernicosa","Pouteria vernicosa","T.D.Penn.","T. D. Pennington","P. A. C. L. Assunção","669","1997","09","21","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","-60.0250015258789","-3.10193991661072",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328264' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251499","NY01251499_01","Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
