"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","579820","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","compactiflora","Eugenia compactiflora","(Vell.) Spring","G. M. Barroso","J. P. P. Carauta","3702","1981","04","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Pas de Açúcar, no cume.","-43.2075","-22.9031","390","390","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579820","NY00579820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1183880","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","M. Sobral","C. N. Fraga","2860","2010","02","08","South America","Brazil","Rio de Janeiro","Niterói","Alto Mourão, final da trilha para o cume e início da via de ecalada da face sudoeste. Inselberg granítico.","-43.0203","-22.9728","414","414","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457649' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183880","NY01183880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-25 16:51:17-03","UFBA","ALCB","138329","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Stadnik, A","Stadnik, A; Vasconcelos, T; Faria, J","379","2016","07","13","Southern America","Brasil","Rio de Janeiro","Paraty","Margem da BR101 entre Paraty e Ubatuba. Serra do Mar.","-44.903611","-23.33","24","24",NA,"ca. 3m. Tronco rugoso. Folhas discolores sésseis. Frutos vermelhos imaturos, atropurpureos maduros.","ALCB069168","ALCB069168","2016","07","-44.903611","-23.33",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:06:08-03","NBC","NL-BOTANY","U.1442722","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","compactiflora","Eugenia compactiflora","Spring ex Mart.",NA,"Riedel L",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Brasilia: Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442722 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442722","NL-U1442722",NA,NA,NA,NA,"Magnoliopsidae","U 0258563",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:34-03","ESALQ","ESA","114820","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","linguaeformis","Eugenia linguaeformis",NA,NA,"Campos, M.C.R.","436.0","2006","05","08",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA114820","ESA114820",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"6","2020-11-04 11:14:34-03","ESALQ","ESA","68760","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, M.L.","Oliveira, A.A.; Baptista, V.R.; Forster, W.; Ferreira, L.; Cielo Filho, R.; Zidko, A.; Mendonça, C.G.","3653.0","2000","04","23",NA,"Brasil","São Paulo","São Sebastião","Praia da Baleia. R. Olavo Pazzanesi, 100 m da antiga Rio-Santos, remanescente margeando loteamentos. Interior de Floresta de Restinga - Caixetal, com perturbação.","-453.954","-234.627","10","10",NA,"Árvore ca. 4 m alt. frutos imaturos verde claro, flores velhas.","ESA068760","ESA068760",NA,NA,"-453,954","-234,627",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:34-03","ESALQ","ESA","68338","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, M.L.","Franco, G.A.D.C.; Fonseca, M.G.; Matteo, B.C.; Passold, A.J.; Nogueira, L.; Giarola, N.; Rodrigues, R.R.; Tamashiro, J.Y.; Souza, V.C.","2994.0","2000","04","23",NA,"Brasil","São Paulo","São Sebastião","Praia da Baleia, rua Olavo Pazzanesi, 100 m da antiga Rio-Santos, remanescente margeando loteamentos. 10 m.s.m. Caxetal com perturbação. Borda de estrada","-45.39","-23.46",NA,NA,NA,"Árvore com aproximadamente 3 m de altura. Frutos imaturos verdes.","ESA068338","ESA068338",NA,NA,"-45.39","-23.46",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 10:56:24-03","ESALQ","ESA","134465","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Aguiar, O.T.",NA,"849.0","2013","06","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 19981. Altura: 10m","ESA134465",NA,"2014",NA,"23.38.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:34-03","ESALQ","ESA","68759","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Kawasaki, M.L.","Oliveira, A.A.; Baptista, V.R.; Forster, W.; Ferreira, L.; Cielo Filho, R.; Zidko, A.; Mendonça, C.G.","3671.0","2000","04","23",NA,"Brasil","São Paulo","São Sebastião","Praia da Baleia. R. Olavo Pazzanesi, 100 m da antiga Rio-Santos, remanescente margeando loteamentos. Interior de Floresta de Restinga - Caixetal, com perturbação.","-453.954","-234.627","10","10",NA,"Árvore ca. 5m alt.; fruto verde imaturo.","ESA068759","ESA068759",NA,NA,"-453,954","-234,627",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:34-03","ESALQ","ESA","41671","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma",NA,NA,"Kirizawa, M. et al.","3188.0","1995","08","22",NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,NA,NA,NA,"ESA041671",NA,NA,NA,NA,NA,NA,NA,"37616","auto",NA,NA,NA,NA
"11","2020-11-04 11:14:34-03","ESALQ","ESA","108670","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma",NA,"Kawasaki, M.L.","Martins, S.E.","397.0","1999","03","02",NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,NA,NA,NA,"ESA108670","ESA108670","1999",NA,NA,NA,NA,NA,"37616","auto",NA,NA,NA,NA
"12","2020-11-04 10:56:24-03","ESALQ","ESA","135855","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma",NA,"C.P. Caliari","C.P. Caliari","2519.0","2009","07","09",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"ESA135855",NA,NA,NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA
"13","2020-11-04 11:14:34-03","ESALQ","ESA","76176","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Sztutman, M. ; Valmir","314.0","1999","06","12",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA076176","ESA076176",NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"14","2020-11-04 11:14:34-03","ESALQ","ESA","36403","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Furlan, A.","781.0","1989","03","12",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA036403","ESA036403",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"15","2020-11-04 11:14:34-03","ESALQ","ESA","36401","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Furlan, A. et al.","663.0","1989","03","10",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA036401","ESA036401",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"16","2020-11-04 11:14:34-03","ESALQ","ESA","36400","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Ribeiro, J.E.L.S. et al.","231.0","1988","02","06",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA036400","ESA036400",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"17","2020-11-04 11:14:34-03","ESALQ","ESA","10783","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","monosperma","Eugenia monosperma","Vell.","Mazine, F.F.","Catharino, E.L.M.",NA,"1985","12","11",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"ESA010783","ESA010783",NA,NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA
