"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","class","order","individualCount","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","fieldNumber","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:24:46-03","UNESC","CRI","12643","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum","(Lam.) Moore","Aline Votri Guislon & Peterson T. Padilha","2017","09","18","Alexandre Medeiros","528","2017","07","17","Brasil","Santa Catarina","Balneário Camboriú","Barra / São Judas","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Flor vermelha.","CRI010857","CRI010857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","1720","S","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum","(Lam.) Moore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 07:55:00-03","NY","NYBG","565072","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum",NA,"J. H. A. Dutilh",NA,NA,NA,"Á. L. Cabrera","13633","1960","11","01","Uruguay","Colonia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565072",NA,NA,NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565069","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum","(Lam.) H.E.Moore","J. H. A. Dutilh",NA,NA,NA,"G. G. Hatschbach","40209","1977","10","04","Brazil","Paraná",NA,"Tunas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565069","NY00565069_01","Magnoliophyta",NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","565071","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum","(Lam.) H.E.Moore","R. E. Gereau",NA,NA,NA,"G. L. Smith","963","1980","09","27","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Abrigo Reboucas","-44.678895","-22.385269",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565071","NY00565071_01","Magnoliophyta",NA,"Asparagales",NA,"South America","sheet","2350","2350",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565070","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum","(Lam.) H.E.Moore","R. E. Gereau",NA,NA,NA,"G. L. Smith","962","1980","09","27","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Abrigo Reboucas","-44.678895","-22.385269",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565070","NY00565070_01","Magnoliophyta",NA,"Asparagales",NA,"South America","sheet","2350","2350",NA,NA,NA,NA,NA,NA
"7","2013-08-01 15:28:00-03","NY","NYBG","565068","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum",NA,"J. H. A. Dutilh",NA,NA,NA,"F. C. Hoehne","30996","1933","09","25","Brazil","São Paulo","Santo André","Alto da Serra","-46.5297","-23.66",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565068","NY00565068_01",NA,NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:28:45-03","UFRJ","RFA","31590","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","rutilum","Hippeastrum rutilum","Sprenger","R. S. Candido","2005","09","24","A. C. G. Ramos","13","2005","09","24","Brasil","Rio de Janeiro","Rio de Janeiro","Praia de Grumari","-43.2075004577637","-22.9027996063232",NA,NA,"Erva com flores de pétalas alaranjadas com base amarelada; frutos verdes. escapo oco","RFA52275",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"9","2020-11-13 09:18:46-03","UFRJ","RFA","39696","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum","(Lam.) Moore","R.S Candito","2007","09","30","R.C. Lopes; R.S Candito","309","2007","09","29","Brasil","Rio de Janeiro","Macaé","Restinga de Jurubatiba","-41.7868995666504","-22.3708000183105",NA,NA,"Erva,sem folhas,escapo ca.1,20m com com 4flores,flor laranja com base esverdeada.Moira de cactos.Ciófila.","RFA24730",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA
"10","2020-11-13 09:18:46-03","UFRJ","RFA","33358","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","striatum","Hippeastrum striatum","(Lam.) Moore","R.S. Candido","2008","02","20","R.S. Candido","s.n.","2007","09","05","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA)","-43.2075004577637","-22.9027996063232",NA,NA,"Erva ca.0,50m de altura,folhas com base arroxeada,escapo com 4 flores laranja com a base interna esverdeada,estigma trifido,sem corona,fruto verde e imaturo.","RFA21834",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
