"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:25:36-03","UNESC","CRI","11982","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.","Rafael Martins","2011","12","07","Peterson Teodoro Padilha; Thiago Disner & Rafael Martins","2011","12","07","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","PAP 53,5 cm Habito: Árvore","CRI010128","CRI010128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1146394","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.",NA,NA,NA,NA,"H. C. de Lima","1994","01","19","Brazil","Rio de Janeiro","Silva Jardim","-42.3917","-22.6508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339393' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146394","NY01146394_01","Magnoliophyta","Rosales","4877","South America","Reserva Biológica de Poço das Antas.","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","565837","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.","C. C. Berg",NA,NA,NA,"M. Kuhlmann","1950","10","17","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565837","NY00565837_01","Magnoliophyta","Rosales","3324","South America","Nativa no Jardim Botânico","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565838","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.","C. C. Berg",NA,NA,NA,"A. F. M. Glaziou","1878","06","10","Brazil","Rio de Janeiro","Rio de Janeiro","-43.274528","-22.95583",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565838","NY00565838_01","Magnoliophyta","Rosales","8087","South America","Tijuca","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:32-03","UFRJ","RFA","20398","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.",NA,NA,NA,NA,"Pessoal do Horto Florestal","1973","08","16","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Árvore de 10 a 12 m de altura","RFA46044",NA,NA,NA,NA,NA,"Cachoeira, Rumo ao Horto Florestal",NA,"57442","auto",NA,NA,NA,NA,NA
"6","2021-03-30 12:45:15-03","EAO","IAN","93830","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.",NA,NA,NA,NA,"Glaziou, AFM",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"BERG (1972:188) citou: LECTOTYPE. Glaziou 13496, Brazil, near Rio de Janeiro, between Palmeiras and macaco (B).","IAN093830",NA,"Dicotiledônea",NA,"13496","Southern America",NA,NA,NA,NA,"isolectotipo",NA,NA,NA,NA
"7","2020-01-20 14:40:39-03","UPM","MACK","885","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.",NA,NA,NA,NA,NA,"2009","12","16","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbário Municipal.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:22:19-03","NBC","NL-BOTANY","L.1071513","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1966","08","06","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1071513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1071513","NL-L1071513",NA,"Rosales",NA,"Southern America","E of Cêrro Azul",NA,NA,NA,NA,"Magnoliopsidae","Uw13491",NA,NA
"9","2020-02-08 10:22:19-03","NBC","NL-BOTANY","L.1071514","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1966","08","06","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1071514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1071514","NL-L1071514",NA,"Rosales",NA,"Southern America","E of Cêrro Azul",NA,NA,NA,NA,"Magnoliopsidae","Uw13491",NA,NA
"10","2020-02-08 10:22:19-03","NBC","NL-BOTANY","L.1071515","PreservedSpecimen","Plantae","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1966","08","06","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1071515 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1071515","NL-L1071515",NA,"Rosales",NA,"Southern America","E of Cêrro Azul",NA,NA,NA,NA,"Magnoliopsidae","Uw13491",NA,NA
