"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","class","order","continentOcean","typeStatus","fieldNumber","preparationType","individualCount"
"1","2021-04-05 14:25:26-03","UNESC","CRI","9497","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. A. de Oliveira","2010","09","21","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","5026","2010","06","15","Brasil","Santa Catarina","São Martinho","Hoepers/Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.","-48.979444","-28.164722","48º58'46''W","28º9'53''S","517","517","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arbórea","CRI003703","CRI003703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:37-03","UNESC","CRI","9512","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. A. de Oliveira","2010","09","21","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","5000","2010","06","15","Brasil","Santa Catarina","São Martinho","Hoepers/Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.","-48.979444","-28.164722","48º58'46''W","28º9'53''S","65","65","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arbórea","CRI003699","CRI003699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:26-03","UNESC","CRI","9614","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","A. Korte; A. Kniess","3411","2010","05","21","Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí.","-49.230833","-27.09","49º13'51''W","27º5'24''S","601","601","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003727","CRI003727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:26-03","UNESC","CRI","9619","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2531","2010","04","24","Brasil","Santa Catarina","Angelina","Barra Clara.","-49.077778","-27.504722","49º4'40''W","27º30'17''S","382","382","Floresta Ombrófila Densa Habitat: beira de estrada Habito: arbórea","CRI003728","CRI003728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:25-03","UNESC","CRI","9479","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. A. de Oliveira","2010","09","21","A. Korte; A. Kniess","4044","2010","07","14","Brasil","Santa Catarina","Nova Trento","Valsugana.","-49.050556","-27.358611","49º3'2''W","27º21'31''S","307","307","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arbórea","CRI003704","CRI003704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:37-03","UNESC","CRI","9462","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos; D. Meyer & S. Silveira","2604","2010","04","20","Brasil","Santa Catarina","Major Gercino",NA,"-49.14","-27.449722","49º8'24''W","27º26'59''S","554","554","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003730","CRI003730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:25-03","UNESC","CRI","9450","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","M. Verdi; R. P. Hasckel & G. Klemz","2416","2009","06","30","Brasil","Santa Catarina","Botuverá","Localidade de '60'.","-49.051944","-27.268611","49º3'7''W","27º16'7''S","874","874","Floresta Ombrófila Densa","CRI003705","CRI003705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:26-03","UNESC","CRI","9510","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2814","2010","05","21","Brasil",NA,"Brasil","Parque Estadual do Tabuleiro.","-48.78","-27.72","48º46'48''W","27º43'12''S","612","612","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arvoreta","CRI003701","CRI003701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:02-03","UFRJ","RFA","6611","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","Ida de Vattino","1956",NA,NA,"Reitz; Klein","568","1953","04","23","Brasil","Santa Catarina","Blumenau","Morro Spitzkopf","-49.0661010742188","-26.9193992614746",NA,NA,"800","800","Arvoreta 6 m de altura; flor esverdeada","RFA26486",NA,"34291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:06-03","PUCPR","HUCP","22924","S","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil.","Brotto, M",NA,NA,NA,"Bonaldi, R","551","2012","10","10","Brasil","Santa Catarina","Garuva",NA,"-48.8549995422363","-26.0266990661621",NA,NA,NA,NA,NA,"HUCP00012969","HUCP00012969","22441","auto","Magnoliidae",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:36:36-03","NBC","NL-BOTANY","U.1402959","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1953","04","23","Brazil",NA,NA,"SANTA CATARINA. Morro Spitzkopf, Blumenau.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1402959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1402959","NL-U1402959",NA,NA,NA,"Magnoliopsidae","Laurales","Southern America",NA,NA,NA,NA
"12","2020-11-04 11:12:04-03","ESALQ","ESA","17332","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vatt.-Gil","Baitello, J.B.",NA,NA,NA,"Moraes, P.L.R.","1051.0","1994","09","06","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA017332",NA,"27904","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:12:04-03","ESALQ","ESA","73116","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","Baitello, J.B.","2003","01","01","Moraes, P.L.R.","1050.0","1994","09","07","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA073116",NA,"27904","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:12:04-03","ESALQ","ESA","89718","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra",NA,"Assis, L.C.S.","2006",NA,NA,"Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4180.0","2005","01","19","Brasil","Goiás","Pirenópolis","Serra dos Pireneus. 14km do trevo de Anápolis e Goiânia em direção ao Parque. Campo rupestre com cerrado adjacente","-48.9592018127441","-15.852499961853","-48,856,111","-15,801,667","1175","1175","Árvore entre rochas, ca. 4m alt. Botões creme","ESA089718",NA,"40887","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:12:04-03","ESALQ","ESA","75163","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","Baitello, J.B.",NA,NA,NA,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2340.0","2001","04","18","Brasil","São Paulo","Itanhaém","Loteamento Maramba II, 6km de Itanhaém em direção a Peruíbe. Floresta de restinga paludosa com predomínio de guanandi (Calophyllum brasiliense Cambess.) em alguns trechos. 24o13'51,1S; 46o55'20,3W. Ca. 5-10msm.","-469.222",NA,"-469,222","-24,230,861",NA,NA,"Árvore, 4m alt. Botões verdes.","ESA075163",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:12:04-03","ESALQ","ESA","104282","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra",NA,"Baitello, J.B.","2002","03","19","Aguiar, O.T.","1086.0","2002","03","13","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA104282",NA,"27904","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:02:31-03","JBP","HPL","3882","S","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo","J.B. Baitello","2007","05","10","H. Lorenzi","2963","2001","11","27","Brasil","PR","Guaraqueçaba","Coletado nas proximidades da cidade em mata de restinga.","-48.3289","-25.3067",NA,NA,NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-02-02 14:38:23-02","BGBM","B","B 10 0185454","S","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil",NA,NA,NA,NA,"R. Reitz & R. M. Klein","1.815",NA,NA,NA,"Brazil",NA,NA,"Santa Catarina, Morro da Fazenda, Itajaí, alt. 350 m.",NA,NA,NA,NA,"350","350","Plantas de Santa Catarina - Brasil, HBR 9.416 <a href=http://herbarium.bgbm.org/object/B100185454 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185454","B100185454 B100185454_1",NA,NA,NA,NA,NA,"Middle and South America","paratype",NA,NA,NA
"19","2016-02-02 14:38:23-02","BGBM","B","B 10 0185453","S","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil",NA,NA,NA,NA,"R. Reitz & R. M. Klein","568",NA,NA,NA,"Brazil",NA,NA,"Morro Spitzkopf, Blumenau.",NA,NA,NA,NA,NA,NA,"Plantas de Santa Catarina - Brasil, HBR 9.383 <a href=http://herbarium.bgbm.org/object/B100185453 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185453","B100185453 B100185453_1",NA,NA,NA,NA,NA,"Middle and South America","paratype",NA,NA,NA
"20","2019-02-15 11:40:58-02","IPA","IPA","13116","S","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","Teixeira, B.C.",NA,NA,NA,"Hoehne, F.C.","s.n.","1932","07","01","Brasil","São Paulo","São Paulo","Jardim Botânico, nativa.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Árvore.","IPA0013116",NA,"53584","auto","Plantae",NA,NA,"Southern America",NA,NA,NA,NA
"21","2019-08-27 13:30:43-03","IAP","PACA-AGP","36836","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","L.C.S. Assis","2005","03","03","Hatschbach, G.",NA,"1947","05","11","Brasil","PR","Piraquara","Florestal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Habitat: in silva Fenofase: flor","PACA036836",NA,"12577","auto","Magnoliophyta","Magnoliatae","Laurales",NA,NA,NA,NA,NA
"22","2019-08-27 13:30:43-03","IAP","PACA-AGP","110451","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos","2531","2010","04","24","Brasil","SC","Angelina","Barra Clara.","-49.077778","-27.504722","49°04'40W","27°30'17S","382","382","FURB 25932 Habitat: beira de estrada Hábito: arbórea Ecossistema: floresta ombrófila densa","PACA110451",NA,NA,NA,"Magnoliophyta","Magnoliatae","Laurales",NA,NA,NA,NA,NA
"23","2019-08-27 13:30:43-03","IAP","PACA-AGP","113790","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos","2604","2010","04","20","Brasil","SC","Major Gercino",NA,"-49.14","-27.449722","49°08'24,00W","27°26'59,00S","708","708","FURB 25903 Habitat: Interior de fragmento Ecossistema: floresta ombrófila densa","PACA113790",NA,NA,NA,"Magnoliophyta","Magnoliatae","Laurales",NA,NA,NA,NA,NA
"24","2019-08-27 13:30:43-03","IAP","PACA-AGP","113791","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchra","Ocotea pulchra","Vattimo-Gil","A. Quinet","2010","09","15","A. Stival-Santos","2814","2010","05","21","Brasil","SC","Santo Amaro da Imperatriz","Parque Estadual do Tabuleiro","-48.78","-27.72","48°46'48,00W","27°43'12,00S","612","612","FURB 25825 Habitat: Interior do fragmento Ecossistema: floresta ombrófila densa","PACA113791",NA,NA,NA,"Magnoliophyta","Magnoliatae","Laurales",NA,NA,NA,NA,NA
