"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","monthIdentified","dayIdentified"
"1","2020-12-21 16:16:13-03","MBM","MBM","212652","PreservedSpecimen","Plantae","Asteraceae","Hysterionica","pinnatiloba","Hysterionica pinnatiloba","Matzenb. & Sobral","ISOTYPE","Larocca, J.; Backes, P.; Backes, P.","9517","1995","10","12","Southern America","Brazil","Rio Grande do Sul","Candelária","Cerro da Boa Vista, Alto da Boa Vista","-52.7888984680176","-29.6692008972168","28166","Em fendas de penhascos basálticos; Em fendas de planaltos basálticos.","MBM212652","MBM212652","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-13 11:16:22-03","USP","SPF","214845","PreservedSpecimen","Plantae","Asteraceae","Hysterionica","pinnatiloba","Hysterionica pinnatiloba","Matzenb. & Sobral",NA,"Heiden, G","2149","2013","11","23",NA,"Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco, Rodovia SC-439, próximo da divisa Grão Pará/Urubici.","-49.366944","-28.056389",NA,NA,"SPF00214845",NA,NA,"Heiden, G","2013","-49.366944","-28.056389","1249","1249",NA,NA,NA
"3","2021-02-08 12:36:30-03","UFRGS","ICN","051191","S","Plantae","Asteraceae","Hysterionica","pinnatiloba","Hysterionica pinnatiloba","Matzenb. & Sobral","Paratypus","Bueno, RM","s.n.","1981","09","19","América do Sul","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203","55856","Espécie ameaçada de extinção (Criticamente em perigo).","ICN00000061","ICN00000061","auto","Matzenbacher, NI","1997",NA,NA,NA,NA,"Dicotyledon","07","01"
"4","2021-02-08 12:36:30-03","UFRGS","ICN","113074","S","Plantae","Asteraceae","Hysterionica","pinnatiloba","Hysterionica pinnatiloba","Matzenb. & Sobral","Holotypus","Larocca, J; Backes, P","95/17","1995","10","12","América do Sul","Brasil","RS","Candelária","Cerro da Boa Vista Alto da Boa Vista","-52.7888984680176","-29.6692008972168","28166","Em fenda de penhascos basálticos.","ICN00000059","ICN00000059","auto","Matzenbacher, NI",NA,NA,NA,NA,NA,"Dicotyledon",NA,NA
"5","2021-02-08 12:36:30-03","UFRGS","ICN","113071","S","Plantae","Asteraceae","Hysterionica","pinnatiloba","Hysterionica pinnatiloba","Matzenb. & Sobral","Paratypus","Sobral, M; et al.","7675",NA,NA,NA,"América do Sul","Brasil","RS","São José dos Ausentes",NA,"-50.0657997131348","-28.7483005523682","42598","PARATYPUS, arbusto 1-1,5m, em campo à beira do rio Silveira; lígulas brancas; flores do disco amarelas.","ICN00000060","ICN00000060","auto","Sobral; Matzenbacher",NA,NA,NA,NA,NA,"Dicotyledon",NA,NA
