"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","locality","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:43:19-03","E","E","100020","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109314","<a href=http://data.rbge.org.uk/herb/E00100020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","448262","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","G. Gardner","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448262","Magnoliophyta","Sapindales","Aubl.","T. D. Pennington","3074","Brasilia","NY00448262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01139219","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","R. de Lemos Fróes","1947","11","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482552' target='other'> <mi>dwc_moreinfo</mi></a>","NY01139219","Magnoliophyta","Sapindales","Aubl.","T. D. Pennington","22723","Rio Negro, Padauiry, Tapera.","NY01139219_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00995245","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","I. Cordeiro","1980","12","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995245","Magnoliophyta","Sapindales","Aubl.","P. Acevedo-Rodríguez","CFCR492","Estr. de Virgem da Lapa a Diamantina.","NY00995245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00995301","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","G. T. Prance","1973","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995301","Magnoliophyta","Sapindales","Aubl.","J. A. Kallunki","19173","Road behind Veu de Noiva. Chapada dos Guimarães.","NY00995301_01","Mato Grosso","-55.832445","-15.40761","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01139196","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","D. C. Daly","1981","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1477946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01139196","Magnoliophyta","Sapindales","Aubl.","P. Acevedo-Rodríguez","1118","Approx. 30-35 km from Tucurui; 25 km S on Old BR 422, then 5-10 km E on Old railroad bed.","NY01139196_01","Pará","-49.6735668","-3.9906516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","869663","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","C. A. Cid Ferreira","1989","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869663","Magnoliophyta","Sapindales","Aubl.","T. D. Pennington","10045B","Pé da Serra do Divisor, entre o lugar Pedernal e Fazenda Boa Vista.","NY00869663_01","Acre","-73.63","-7.42",NA,NA,"Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00995315","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","S. L. M. Moore","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995315","Magnoliophyta","Sapindales","Aubl.",NA,"765",NA,"NY00995315_01","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01139150","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis discolor","N. A. Rosa","1981","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1477674' target='other'> <mi>dwc_moreinfo</mi></a>","NY01139150","Magnoliophyta","Sapindales","(Radlk.) T.D.Penn.","T. D. Pennington","4053","Rodovia Tucurui, Km 26. Repartimento","NY01139150_01","Pará","-49.7293139","-3.9749607",NA,NA,NA,"discolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","448280","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","Fontellah","1986","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448280","Magnoliophyta","Sapindales","Aubl.","D. S. D. de Araújo","2288","Massambaba, a 40 km da praia de Iguaba e a 15 km do trevo de Cabo Frio.","NY00448280_01","Rio de Janeiro","-42.0183","-22.8794",NA,NA,"Cabo Frio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","448282","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","E. Pereira","1958","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448282","Magnoliophyta","Sapindales","Aubl.","T. D. Pennington","4433","Estado de Guanabara, entre Mesa do Imperador e Alto da Boa Vista, km 4-5.","NY00448282_01","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","448251","PreservedSpecimen","Plantae","Sapindaceae","Matayba","guianensis","Matayba guianensis","A. Peixoto","1985","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448251","Magnoliophyta","Sapindales","Aubl.",NA,"3026","Reserva Florestal da CVRD. Estrada 243.","NY00448251_01","Espírito Santo","-40.0719","-19.3911",NA,NA,"Linhares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
