"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:25:14-03","UNESC","CRI","9044","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","A. L. de Gasper","2009","05","05","M. Verdi; B. Grosch & G. Klemz","984","2008","11","19","Brasil","Santa Catarina","Campos Novos","Florão da Serra.","-51.526111","-27.32","51º31'34''W","27º19'12''S","Floresta Ombrófila Densa","CRI002458","CRI002458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","2010","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","L. B. Smith",NA,NA,NA,"R. M. Klein",NA,"1962","12","07","Brasil","Santa Catarina","Caçador","Fazenda Carneiros.","-51.015278","-26.775833","51º0'55''W","26º46'33''S",NA,"CRI002460","CRI002460","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:14-03","UNESC","CRI","8748","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","A. L. de Gasper","2009","01","24","S. Dreveck; A.L. de Gasper & F.E. Carneiro","538","2009","01","21","Brasil","Santa Catarina","Ipumirim","Linha Silvano.","-52.2","-27","52º12'0''W","27º0'0''S","Floresta Ombrófila Mista","CRI002455","CRI002455","874","874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:14-03","UNESC","CRI","12086","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","Martins, MLL","2011","09","27","Dreveck, S.; Carneiro, F.E.","422","2008","11","25","Brasil","Santa Catarina","Concórdia","Lageado Cascudo.","-51.975","-27.135","51º58'30''W","27º8'6''S","Florística IFFSC 2088 Habitat: Floresta Estacional Decidual; Estágio Inicial a Médio; entorno do fragmento Habito: flor bordô","CRI010264","CRI010264","633","633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","640404","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","D. J. Rogers; S. G. Appan",NA,NA,NA,"L. B. Smith",NA,"1957","02","23","Brazil","Santa Catarina","Dionísio Cerqueira","41 km South of Dionísio Cerqueira","-53.6394","-26.255",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640404","NY00640404_01","700","800","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","640403","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","D. J. Rogers; S. G. Appan",NA,NA,NA,"P. K. H. Dusén","7812","1909","02","28","Brazil","Paraná",NA,"Iraty","-50.653284","-25.478315",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640403","NY00640403_01",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1065502","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","M. L. L. Martins",NA,NA,NA,"H. de F. Leitão Filho","1091","1970","10","26","Brazil","São Paulo",NA,"Rodovia Piedade-Tapirai km. 131",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237918' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065502","NY01065502_01",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","640409","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","M. L. L. Martins",NA,NA,NA,"G. G. Hatschbach","42587","1979","11","23","Brazil","Paraná","Cerro Azul","Cab. Rib. do Tigre","-49.2608","-24.8236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640409","NY00640409_01",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","640393","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","S. F. Smith",NA,NA,NA,"R. A. Wasum","5175","1989","01","18","Brazil","Rio Grande do Sul","Farroupilha","Farroupilha, Sao Roque","-51.339909","-29.218747",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640393","NY00640393_01","700","700","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1065513","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","grahamii","Manihot grahamii","Hook.","M. L. L. Martins",NA,NA,NA,"P. E. Gibbs","3249","1979","10","26","Brazil","São Paulo",NA,"ca. 50 km S de Itapetininga, estrada a Registro. Reserva Florestal de Carlos Botelho.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237934' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065513","NY01065513_01",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
