"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2016-09-29 11:05:00-03","NY","NYBG","402745","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","A. H. Gentry","D. A. Folli","404","1982","11","09","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. PELADA, Km 0,247, lado direito.","-40.0719","-19.3911","sheet","Obs.: Matriz N°. 09 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402745","NY00402745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 11:05:00-03","NY","NYBG","402746","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","A. H. Gentry","H. N. Whitford","59","1918","07","03","South America","Brazil","Espírito Santo",NA,"Rio Doce",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402746","NY00402746_01","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:35:39-03","EAO","IAN","99600","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Sandwith, NY","Fróes, RL","33370","1957","08","28","Southern America","Brasil","Minas Gerais",NA,"Coronel Fabriciano, região do Rio Piracicaba.",NA,NA,NA,"Árvore, 30m; 2m, D.A.P., mata virgem da Reserva Florestal do Estado.","IAN099600",NA,NA,NA,"(Record) Kuhlm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:39-03","EAO","IAN","99606","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Pires, JM","Fróes, RL","33377","1957","08","28","Southern America","Brasil","Minas Gerais",NA,"Coronel Fabriciano, região do Rio Piracicaba.",NA,NA,NA,NA,"IAN099606",NA,NA,NA,"(Record) Kuhlm.","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:35:39-03","EAO","IAN","82938","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Barreto, M","Oliveira, EJ de","351","1941","05","09","Southern America","Brasil","Minas Gerais","Tombos","Fazenda das Antilhas, restos de mata.","-42.0228004455566","-20.9046993255615",NA,"Árvore de 10m.","IAN082938",NA,NA,NA,"(Record) Kuhlm.",NA,"16749","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:36-03","EAO","IAN","15109","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Barreto, M","Oliveira, EJ de","351","1941","05","09","Southern America","Brasil","Minas Gerais","Tombos","Fazenda das Antilhas, restos de mata.","-42.0228004455566","-20.9046993255615",NA,"Árvore de 10m.","IAN015109","IAN015109 IAN015109_e",NA,NA,"(Record) Kuhlm.",NA,"16749","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:30:46-03","NBC","NL-BOTANY","L.4300666","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Paratecoma","peroba","Paratecoma peroba",NA,"Unknown",NA,"1956","01","06","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4300666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4300666","NL-L4300666",NA,NA,"(Record) Kuhlm.",NA,NA,NA,"Magnoliopsidae","Dw2780",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:30:46-03","NBC","NL-BOTANY","L.4300667","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Paratecoma","peroba","Paratecoma peroba",NA,"Unknown",NA,"1956","01","06","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4300667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4300667","NL-L4300667",NA,NA,"(Record) Kuhlm.",NA,NA,NA,"Magnoliopsidae","Dw2781",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:30:46-03","NBC","NL-BOTANY","U 0261036","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Paratecoma","peroba","Paratecoma peroba",NA,"Viçosa via Ramalho",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200261036 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0261036",NA,NA,NA,"(Record) Kuhlm.",NA,NA,NA,"Magnoliopsidae","Uw30756",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:03:27-03","ESALQ","ESA","72922","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Mello Barreto","Mello Barreto","5114.0","1936","01","03",NA,"Brasil","Minas Gerais?","Tombos",NA,"-42.0228004455566","-20.9046993255615",NA,NA,"ESA072922","ESA072922",NA,NA,"(Record) Kuhlm.",NA,"16749","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:32:29-03","UFJF","CESJ","X-011","PreservedSpecimen","Plantae","Angiosperma",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba",NA,"?","s.n.",NA,NA,NA,"América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Nome vulgar:Ipêperoba,peroba do campo.Arvore grande chegando a 40m e atingindo 2m de diâmetro.Madeira dura,pesada e resistente ao apodrecimento.","CESJ00X011",NA,NA,NA,"(Record & Mell) Kuhln",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-27 13:46:28-03","UFS","ASE","33302","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Santos, E","Gomes, C","ASE33302","2008","11","24","Southern America","Brasil","Sergipe","Indiaroba","P.A. SEPÉ-TIARAJU II","-37.344713","-11.304369",NA,"Mata Atlântica.","ASE0005408","ASE0005408",NA,NA,"(Record) Kuhlm.","2016",NA,NA,NA,NA,"03","18","-37.344713","-11.304369",NA,NA,NA
"13","2021-03-01 16:26:38-03","UNICAMP","UEC","65977","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Menandro, MS","Folli, DA","537","1984","11","08",NA,"Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, est. Acero Antonio Spelta, km 0,383, lado direito","-40.0722007751465","-19.3910999298096",NA,"árvore ca. 32m, fuste 23m, flor branca e botão verde. Fuste cilíndrico e casca áspera","UEC140746","UEC140746",NA,NA,"(Record & Mell) Kuhlm.","1984","48094","auto",NA,NA,"11","09",NA,NA,NA,NA,NA
"14","2021-03-01 16:26:38-03","UNICAMP","UEC","66035","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Paratecoma","peroba","Paratecoma peroba","Folli, DA","Souza, V","182","1991","08","26",NA,"Brazil","Espírito Santo","Santa Teresa","S. João de Petrópolis","-40.6002998352051","-19.9356002807617",NA,"árvore 22m, fuste ca. 8m, fruto maduro marrom, fuste cilíndrico e casca sulcada; pasto","UEC140747","UEC140747",NA,NA,"(Record & Mell) Kuhlm.","1991","23813","auto",NA,NA,"08","26",NA,NA,NA,NA,NA
