"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","coordinatePrecision","geoFlag","typeStatus","order","continentOcean","individualCount","class"
"1","2021-04-05 14:34:13-03","UNESC","CRI","11092","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","A. L. de Gasper","2011","09","23","A. Stival-Santos; E. Legal & S. Silveira","1238","2009","12","17","Brasil","Santa Catarina","Brusque","Barracão.","-48.917778","-27.098611","48º55'4''W","27º5'55''S","19","19","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI007846","CRI007846",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-24 17:11:07-03","UTFPR","DVPR","3171","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Brotto, ML","2014","09","09","Brotto, ML; Silva, JM; Mello, MCH","1781","2014","08","28","Brasil","Paraná","Adrianópolis","Parque Estadual das Lauráceas, estrada","-48.4143","-24.511","-48.4143","-24.511","883","883","Árvore 4 m, frutos imaturos verdes.; Floresta Ombrófila Densa Montana, vegetação secundária","DVPR003171",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:11:07-03","UTFPR","DVPR","3139","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Brotto, ML","2014","08","04","Brotto, ML","1616","2014","04","21","Brasil","Paraná","Piraquara","Recreio da Serra","-49.0056","-25.2651","-49.0056","-25.2651","990","990","Árvore 3 m, flores brancas.; Transição entre Floresta Ombrófila Densa e Floresta Ombr[ofila Mista","DVPR003139",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-24 17:11:07-03","UTFPR","DVPR","3091","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Brotto, ML","2014","07","28","Silva, JM; Motta, JT; Barboza, E","8556","2014","05","20","Brasil","Paraná","São José dos Pinhais","Estrada entre colônia Castelhanos e usina de Chaminé","-48.5854","-25.4629","-48.5854","-25.4629","755","755","Arbusto 3 m, flores cremes.; Floresta Ombrófila Densa","DVPR003091",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:25:54-03","PUCPR","HUCP","23402","S","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha.","Brotto, M",NA,NA,NA,"Silva, JM","8556","2014","05","20","Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00023822","HUCP00023822","Eudicotiledonea","45291","auto",NA,NA,NA,NA,NA
"6","2020-02-18 09:36:28-03","UNICAMP","UEC","97889","S","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Brotto, ML","2017","08","15","Torezan, JMD; Rodrigues, RR; Arima, LIA; Pimenta, JA; Resende, JCF; Sifuentes, DVO","620","1997","12","13","Brazil","São Paulo","Apiaí","Estrada para Pinhalzinho/Apiaí, 11km de","-49.736111","-24.352778","-49.736111","-24.352778",NA,NA,"fruto, Arvoreta com 3m alt., fruto imaturo verde. Floreta Ombrófila Mista, borda da mata.","UEC141167","UEC141167","Magnoliopsida",NA,NA,"paratypus",NA,NA,NA,NA
"7","2020-10-14 10:06:50-03","FURB","FURB","18419","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Gasper, AL de","2011","08","23","Stival-Santos, A.; Legal, E. & Silveira, S.","1238","2009","11","17","Brasil","Santa Catarina","Brusque","Barracão.","-48.8697223","-27.0055556","-48.8697223","-27.0055556","45","45","Florística IFFSC 639 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arvoreta; Fruto verde;","FURB44835","FURB44835",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-10-14 10:06:50-03","FURB","FURB","18468","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Gasper, AL de","2011","08","23","Dreveck, S.; Carneiro, F.E.","1199","2009","10","31","Brasil","Santa Catarina","São Francisco do Sul","Itapema.","-48.6","-26.28","-48.6000000","-26.2800000","3","3","Florística IFFSC 1031 (Arbusto) Habitat: Floresta Ombrófila Densa de Terras Baixas; entorno do fragmento Habito: arvoreta;","FURB44837","FURB44837",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-08 08:56:42-03","FURB","FURB","33975","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Gasper, AL de","2011","08","23","Uller, H.F.; Brogni, E.","191","2011","01","26","Brasil","Santa Catarina","Brusque","Fundos da empresa Benetex.","-48.9713889","-27.1491666","-48.9713889","-27.1491666","68","68",NA,"FURB44836","FURB44836",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-08 08:56:42-03","FURB","FURB","38939","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pustulosa","Symplocos pustulosa","Aranha","Funez, L.A.","2014","08","07","Funez, L.A.","774","2012","08","23","Brasil","Santa Catarina","Blumenau","Rua Pastor Osvaldo Hesse.","-49.0488889","-26.9286111","-49.0488889","-26.9286111","37","37",NA,"FURB44829","FURB44829",NA,NA,NA,NA,NA,NA,NA,NA
