"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","502627","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","S. F. Smith; L. B. Smith","G. G. Hatschbach","15269","1966","11","23","South America","Brazil","Paraná","Campina Grande do Sul","Camino ao Morro Cerro Verde","-49.0553","-25.3058","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502627","NY00502627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687120","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.",NA,"G. K. Gottsberger","12-191066","1966","10","19","South America","Brazil","São Paulo","Sao Paulo","Parque do Estado, Instituto de Botanica","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687120","NY00687120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","502625","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","D. C. Zappi","G. G. Hatschbach","16223?","1967","03","30","South America","Brazil","Paraná","Morretes","Serra do Mar, above old road Curitiba-Morretes, near Upper Rio do Corvo","-48.906339","-25.339275","1000","1000","sheet","wood sample no. U 14378 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502625","NY00502625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","502626","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","P. C. Standley","F. C. Hoehne","26663","1930","10","20","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502626","NY00502626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502628","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","J. R. Mattos","A. Rodrigues","s.n.","1968","12","12","South America","Brazil","São Paulo","Sao Paulo","Serra da Cantareira. Pinheirinho","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502628","NY00502628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","502629","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","J. H. Kirkbride Jr.","H. S. Irwin","30586","1971","01","17","South America","Brazil","Minas Gerais",NA,"Ca. 55 km E of Belo Horizonte, road (BR-31) to Antonio dos Santos",NA,NA,"1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502629","NY00502629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:48:19-03","EAO","IAN","131799","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","Forr, D","Rodrigues, IA","19","1968","12","12","Southern America","Brasil",NA,NA,"Pinherinho. L-2-3.",NA,NA,NA,NA,NA,NA,"IAN131799",NA,"1995","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:50-03","UFABC","HUFABC","001245","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","Su.","Amaral, B","s.n.","2018","05","14",NA,"Brasil","São Paulo","Cotia","Viveiro de Cotia","-46.9099998474121","-23.6000003814697",NA,NA,NA,"Doação do herbário municipal (Pq do Ibirapuera).; árvore 5m","HUFABC001245",NA,"2018","05","23869","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:09:37-03","CPAN-UFMS","COR","12574","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.","J.H. Kirkbride Jr.","O.S.Ribas & J.M.Silva","13","1988","11","23",NA,"Brasil","Paraná","Curitiba","Morro Mãe Catira. Mata pluvial encosta do morro.; ;.","-49.2731018066406","-25.4277992248535","1000","1000",NA,"Com Flor: Creme",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:27:59-03","NBC","NL-BOTANY","L.2955212","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Rudgea","gardenioides","Rudgea gardenioides","(Cham.) Müll.Arg.",NA,"Hatschbach GG",NA,"1956","11","23","Southern America","Brazil",NA,NA,"Est Parana, Campina Gde do Sul. Caminho ao Morro Cerro Verde.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955212 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955212","NL-L2955212",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
