"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00749936","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","serraegrandis","Eugenia serraegrandis","Sobral","isotype","J. G. Jardim","4103","2003","01","08","South America","Brazil","Bahia","Uruçuca","Rod. Uruçuca/Serra Grande. 28,3 km E. entorno do Parque Estadual Serra do Conduru","-39.1277778","-14.4813889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749936","NY00749936_01",NA,NA,NA,NA,NA,NA,NA
"2","2019-08-15 09:04:06-03","UESC","UESC","14311","S","Plantae","Angiospermae","Florideophycidae","Myrtaceae","Eugenia","serraegrandis","Eugenia serraegrandis","Sobral",NA,"Nascimento, Francisca das C.G,","4","2013","03","09",NA,"Brasil","Bahia","Uruçuca",NA,"-39.034167","-14.340278",NA,"Região de Mata Higrófila Sul-baiana; Arbustiva, ca. De 2,5m de altura.","UESC0014311",NA,"Dicotyledoneae","39W2'3''","14S20'25''","60","500",NA,NA
"3","2020-07-23 12:15:54-03","CEPLAC","CEPEC","103849","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","serraegrandis","Eugenia serraegrandis",NA,"Holótipo","J. G. Jardim","4103","2003","01","08",NA,"Brasil","Bahia","URUÇUCA","Rod. Uruçuca/Serra Grande, 28,3Km a E, entorno do Parque Estadual Serra do Condurú.","-39.116667","-14.466667",NA,NA,NA,NA,NA,"39W7'","14S28'",NA,NA,"M. Sobral","30/12/2012"
