"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:38:39-03","E","E","316432","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","Sano, P.T.","1992","02","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:323466","<a href=http://data.rbge.org.uk/herb/E00316432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00316432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:39-03","E","E","161791","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","J.H.Kirkbride","1981","02","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169985","<a href=http://data.rbge.org.uk/herb/E00161791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161791","3847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","602305","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","T. M. Koyama","1970","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602305","13811","Magnoliophyta","Poales","(Retz.) Link","R. Kral","Paraná","Between Imbituva and Caetano, at Km 25, near Rio Tibagi.","-50.397328","-25.075409","NY00602305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00925757","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","H. S. Irwin","1966","04","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925757","14398","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Goiás","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","NY00925757_01","Posse","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00925768","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","W. R. Anderson","1973","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925768","7742","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Goiás","3 km NE of São João da Aliança. Serra Geral do Paraná.","-47.5142","-14.681","NY00925768_01","São João d'Aliança","1070","1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","602310","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","J. Vidal","1952","12",NA,"South America","Brazil","sheet",NA,"Cat. geral N.° 107815 Museu Nacional Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602310","II.5825","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Rio de Janeiro","Parque Nacional Serra dos Orgaos.","-43.066681","-22.51107","NY00602310_01",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","602697","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","A. M. Amorim","1995","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602697","1761","Magnoliophyta","Poales","(Retz.) Link","W. W. Thomas","Bahia","Entrada que liga Jacobina a Morro do Chapéu, ca. de 1 Km de Jacobina. Ramal que leva a Cachoeira do Alves, ca. 10 Km da estrada principal.","-40.5181","-11.1808","NY00602697_01","Jacobina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 11:55:00-02","NY","NYBG","602301","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. Davidse","1976","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602301","11350","Magnoliophyta","Poales",NA,NA,"Paraná","Ca. 25 km W of Ponta Grossa, just W of the intersection of Highway BR-373 and Rio Tibagi.","-50.391338","-25.076397","NY00602301_01",NA,"740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-28 15:21:00-02","NY","NYBG","00925784","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","J. R. Pirani","1988","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925784","2223","Magnoliophyta","Poales",NA,"A. P. do N. Prata","Minas Gerais","Serra do Cabral. Descida da Serra.","-44.23","-17.7","NY00925784_01","Joaquim Felício","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-28 15:21:00-02","NY","NYBG","00925777","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. Pereira-Silva","1996","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925777","3382","Magnoliophyta","Poales",NA,"F. A. Vitta","Goiás","Alternativa 4 regua de leitura de Vazao da Hidrometria.","-48.55","-17.93","NY00925777_01","Caldas Novas","660","660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00925785","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","J. R. Pirani","1988","11","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925785","2245","Magnoliophyta","Poales","(Retz.) Link","R. Kral","Minas Gerais","Serra de Itacambira, a 45 km de Juramento.","-43.33","-17.07","NY00925785_01","Itacambira","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00925763","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","H. S. Irwin","1971","02","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925763","29568","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Minas Gerais","Serra do Espinhaço. Steep rocky lower slopes of Pico de Itacolomí, ca. 3 km S. of Ouro Preto","-43.473094","-20.427823","NY00925763_01",NA,"1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","602308","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","S. A. Mori","1981","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602308","14488","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Bahia","BR052, vicinity of bridge over Rio Ferro Doido, ca 18 km E of Morro do Chapeu.","-41.1558","-11.5503","NY00602308_01","Morro do Chapéu","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00925770","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","W. R. Anderson","1973","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925770","8884","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Minas Gerais","Serra do Espinhaço, 9 km by road SW of Mendanha and the Rio Jequití on road to Diamantina","-43.56013","-18.1575","NY00925770_01",NA,"1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","602307","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. G. Hatschbach","1970","03","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602307","23968","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Paraná","Pinhaes.","-49.157618","-25.419851","NY00602307_01","Piraquara","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-10-28 15:21:00-02","NY","NYBG","00925776","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","F. A. Vitta","1990","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925776","11741","Magnoliophyta","Poales",NA,"A. P. do N. Prata","Minas Gerais","Estrada Belo Horizonte - Conceição do Matro Dentro, próximo à bifurcação para Morro do Pilar. Lado direito da estrada.","-43.7142","-19.1692","NY00925776_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00925780","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. Davidse","1976","03","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925780","11524","Magnoliophyta","Poales","(Retz.) Link",NA,"Minas Gerais","ca. 22 km S of Padre Paraíso along Highway BR-116.","-41.48439","-17.2729889","NY00925780_01",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-11-01 11:56:00-02","NY","NYBG","568886","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","J. Semir","1977","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568886","4909","Magnoliophyta","Poales",NA,"A. P. do N. Prata","São Paulo","Estrada de Souzas-Pedreira, km 10.","-46.925263","-22.808996","NY00568886_01","Campinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-11-01 11:25:00-02","NY","NYBG","885947","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","O. T. Moura","1987","09","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885947","324","Magnoliophyta","Poales",NA,"A. P. do N. Prata","Rio de Janeiro","Mamgabeira - l - João Pessoa",NA,NA,"NY00885947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","636947","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","B. Øllgaard","1980","07","30","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636947","35527","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Pastaza","C. 5 km E of Mera, on road to Shell Mera.","-78.08","-1.47",NA,NA,"1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","777664","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. Eiten","1960","04","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777664","1966","Magnoliophyta","Poales","(Retz.) Link","A. P. do N. Prata","São Paulo","Campos das Sete Lagoas. fazenda Campininha, just north of Rio Moji-Guaçu. 3.7 km NNW of Padua Sales. About 27 km NW of city of Moji-Mirim",NA,NA,"NY00777664_01","Moji-Guaçu","575","625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00925772","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","T. M. Koyama","1970","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925772","13172","Magnoliophyta","Poales","(Retz.) Link","R. Kral","Minas Gerais","Road between Varginha to Elóu Mendes.",NA,NA,"NY00925772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-11-01 11:55:00-02","NY","NYBG","602302","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. Davidse","1976","04","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602302","12099","Magnoliophyta","Poales",NA,NA,"Bahia","At the intersection of the Rio do Bora and Hwy. BR-020.",NA,NA,"NY00602302_01",NA,"760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00925783","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","F. C. Hoehne","1926","04","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925783","17513","Magnoliophyta","Poales","(Retz.) Link",NA,"Minas Gerais","Turvo.","-44.3093939","-21.7406431","NY00925783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01091871","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","F. C. Hoehne","1926","05","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264611' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091871","s.n.","Magnoliophyta","Poales","(Retz.) Link","R. Kral","São Paulo",NA,"-44.5697","-22.64","NY01091871_01","Sao José do Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","602306","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","complanata","Fimbristylis complanata","G. G. Hatschbach","1965","01","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602306","12301","Magnoliophyta","Poales","(Retz.) Link","T. M. Koyama","Paraná","Rio Jaguariaiva, Barra do Mortes.","-49.7056","-24.2511","NY00602306_01","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
