"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039518","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","riodocensis","Handroanthus riodocensis","(A.H.Gentry) S.O.Grose","A. R. Zuntini","A. R. Zuntini","115","2007","09","18","South America","Brazil","Espírito Santo","Sooretama","Reserva Natural da Comhania Vale do Rio Doce (Reserva de Linhares). Estrada da Gávea, km 14.5, lado esquerdo, 200 m antes da estrada do Parajú.","-39.961174","-19.138199","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487862' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039518","NY01039518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","328953","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","riodocensis","Tabebuia riodocensis","A.H.Gentry",NA,"I. A. Silva","63","1979","08","28","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. GAVEA, ant. X-2, Km. 7,810, lado esquerdo","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00328953","NY00328953_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1039519","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","riodocensis","Tabebuia riodocensis","A.H.Gentry","A. R. Zuntini","A. R. Zuntini","116","2007","09","18","South America","Brazil","Espírito Santo","Sooretama","Reserva Natural da Comhania Vale do Rio Doce (Reserva de Linhares). Estrada Ipê amarelo, km 0.46, lado direito.","-39.961174","-19.138199","sheet","Coleta IAS-063 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487864' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039519","NY01039519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:01:11-03","JBP","HPL","4657","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","riodocensis","Handroanthus riodocensis","(A.H. Gentry) S.O. Grose","H. Lorenzi","J.A. Lombardi, H. Lorenzi, R. Tsuji et al.","7126","2008","01","23",NA,"Brasil","ES","Linhares","Coletado na Reserva Natural da Companhia Vale do Rio Doce (CVRD), em área de Mata Atlântica degradada; cultivada no Arboreto, ca. 19° 08-15'S, 39° 58' -40°05'W","-40.0722","-19.3911",NA,NA,NA,NA,NA,"2008","01","23","48094","auto",NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:01:11-03","JBP","HPL","1867","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","riodocensis","Handroanthus riodocensis","(A.H. Gentry) S. Grose","V.C. Souza","H. Lorenzi","3356","2002","09","20",NA,"Brasil","ES","São Gabriel da Palha","Cultivada no Instituto Plantarum.","-40.5356","-19.0175",NA,NA,NA,NA,NA,"2013","05","14","24907","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:17-03","UFV","VIC","18097","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","riodocensis","Tabebuia riodocensis","A.H. Gentry",NA,"Luiza, A.","s.n.","1995","08","14",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"Altura de 29 metros, P4 nº 93.","VIC018097","VIC018097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-24 17:08:44-03","UFES","SAMES","855","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","riodocensis","Tabebuia riodocensis","A.H.Gentry","Ribeiro,M.","Ribeiro,M.; Penha,J.S.","663","2011","11","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floreta de tabuleiro.","-39.7322006225586","-18.5932998657227",NA,"Árvore de 5,5m de altura, fruto e cálice verde claro.","SAMES00855",NA,NA,"2012",NA,NA,"41644","auto","-398050000.0","-182625000.0",NA,NA,NA,NA,NA
"8","2021-03-01 16:26:34-03","UNICAMP","UEC","158157","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Handroanthus","riodocensis","Handroanthus riodocensis","(A.H.Gentry) S.Grose","Zuntini, AR","Zuntini, AR; Souza, M; Siqueira, GS","115","2007","09","18",NA,"Brazil","Espírito Santo","Linhares","Reserva Natural da CVDR (Reserva de Linhares), Estrada da Gávea, km 14,5; lado esquerdo, 200m antes da estrada do Parajú.","-40.0722007751465","-19.3910999298096",NA,"Árvore, 25m. Cálice bege e corola amarela, muito delicada, estames com filetes e tecas brancas, ovário com glândulas arroxeadas. Frutos imaturos verdes.","UEC015175","UEC015175",NA,"2007","10",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:26:43-03","UNICAMP","UEC","65932","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Tabebuia","riodocensis","Tabebuia riodocensis","A.H.Gentry","Gentry, A","Folli, DA","322","1981","09","03",NA,"Brazil","Espírito Santo","Linhares","Est. MAC.-P.-DE-SAPO","-40.0722007751465","-19.3910999298096",NA,"árvore ca. 28m, flor amarela e botão verde. Fuste cilíndrico e casca áspera; floresta alta","UEC148570","UEC148570",NA,"1988","05","30","48094","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:26:43-03","UNICAMP","UEC","65885","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Tabebuia","riodocensis","Tabebuia riodocensis","A.H.Gentry","Menandro, MS","Folli, DA","1227","1990","10","12",NA,"Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Est. Flamengo","-40.0722007751465","-19.3910999298096",NA,"árvore 30m,fruto maduro de cor verde, fuste cilíndrico e casca áspera; floresta alta","UEC148571","UEC148571",NA,"1990","10","12","48094","auto",NA,NA,NA,NA,NA,NA,NA
