"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","infraspecificEpithet","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:21-03","UNESC","CRI","2821","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum","L.","C. Rodrigues J.","R. Reitz","1963","02","04","Brasil","Santa Catarina","São Joaquim","São Francisco Xavier.","-49.931944","-28.294444","49º55'55''W","28º17'40''S","Habito: erva","CRI003240","CRI003240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","477004","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum","L.","C. Vogel Ely","K. Mizoguchi","1978","12","25","Brazil","São Paulo","Sao Paulo","Santo Amaro, 45 km south from Sao Paulo City. Side of Santo Amaro Lake","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477004","NY00477004_01","Magnoliophyta","Malpighiales","892","South America","780","780","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476962","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum","L.","R. S. Cowan","G. Eiten","1960","10","24","Brazil","São Paulo","Atibaia","Along road to Bragança Paulista, about ½ km. north of turnoff to Atibaia","-46.5497","-23.1103",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476962","NY00476962_01","Magnoliophyta","Malpighiales","2408","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 01:36:00-03","NY","NYBG","476959","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum",NA,"T. M. Pedersen","T. M. Pedersen","1951","01","13","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa, on the bank of the Santa L",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476959",NA,"Magnoliophyta","Malpighiales","944","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 19:02:00-02","NY","NYBG","476958","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum mutilum","L.","N. K. B. Robson","V. Zak","1986","09","18","Ecuador","Pichincha",NA,"Reserva Floristica-Ecologica Rio Guajalito km 59 de la carretera antigua Quito-Sto. Domingo de los Colorados, a 3.5 km al NE de la carretera, estribaciones occidentales del Volcán Pichincha","-78.8","-0.22",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476958",NA,NA,"Malpighiales","1217","South America","1800","2200","sheet","mutilum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 04:06:00-03","NY","NYBG","476960","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum",NA,NA,"E. Hassler","1900","09",NA,"Paraguay",NA,NA,"Florula Cordillerae Centralis; in regione collium: Cerros de Tobaty",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476960",NA,"Magnoliophyta","Malpighiales","6228","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","476961","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum","L.","L. B. Smith","L. B. Smith","1957","02","11","Brazil","Santa Catarina","Lages","20 km east of Indios","-50.3258","-27.8161",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476961","NY00476961_01","Magnoliophyta","Malpighiales","11246","South America","800","900","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 14:04:00-03","NY","NYBG","41644","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum",NA,NA,"B. C. Bennett","1988","09","24","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais, 10km S Sucua, Rio Upano, chacra of J. Cristobal Antuash","-78.15","-2.52",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00041644",NA,"Magnoliophyta","Malpighiales","3419","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","476963","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum","L.",NA,"A. C. Brade","1948",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476963","NY00476963_01","Magnoliophyta","Malpighiales","s.n.","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 01:26:00-03","NY","NYBG","41643","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","mutilum","Hypericum mutilum",NA,"K. A. Vincent","P. Gómez Andrade","1988","09","25","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais, 10km S Sucua, right margin of Rio Upano","-78.15","-2.52",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00041643",NA,"Magnoliophyta","Malpighiales","478","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
