"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","monthIdentified","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","686831","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","T. S. dos Santos","3880","1983","10","18","South America","Brazil","Bahia","Una","Road from Sao Jose do Buararema to Una, 8 km E of turnoff from BR 101 near Buararema.","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686831","NY00686831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686829","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","A. M. Amorim","831","1992","10","08","South America","Brazil","Bahia","Una","Estrada São José-Una. Coletas efetuadas no km 9 a partir da BR. Fazenda Santa Rosa.","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686829","NY00686829_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686830","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","C. E. Calderón","2381","1976","04","21","South America","Brazil","Bahia","Una",NA,"-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686830","NY00686830_01",NA,"180","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:16:03-03","NBC","NL-BOTANY","U.1485698","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Amorim AM; et al.",NA,"1992","10","08","Southern America","Brazil",NA,NA,"Bahia. Municipio de Una. Estrada São José-Una. Coletas efetuadas no Km 9 a partir da BR. Fazenda Santa Rosa. Mata Higófila Sul Baiana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1485698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1485698","NL-U1485698",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-27 10:26:20-03","UFES","VIES","1157","S","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Santos, T.S. dos; Judziewicz, E.J.","4266","1986","03","12",NA,"Brasil","Bahia","Una","Rodovia São José/ Una - Km 15.6.","-39.0752983093262","-15.2932996749878",NA,NA,"VIES001157","VIES001157","Santos, T.S. dos",NA,NA,NA,"1986","36070","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:39:59-03","MBM","MBM","157045","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brong.","Amorim, A.M.; et al.; et al.","831",NA,NA,NA,"Southern America","Brazil","Bahia","Una","Estrada São José - Una","-39.0752983093262","-15.2932996749878",NA,NA,"MBM157045","MBM157045","Amorim, A.M.",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:39:59-03","MBM","MBM","144521","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brong.","Carvalho, A.M. de; et al.; et al.","3335",NA,NA,NA,"Southern America","Brazil","Bahia","Una","Una","-39.0752983093262","-15.2932996749878",NA,NA,"MBM144521","MBM144521","Kobayashi, M.",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"8","2015-03-20 00:00:00-03","MNHN","RECOLNAT_MNHN_P","P00642235","PreservedSpecimen",NA,NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","s.c.",NA,"1842",NA,NA,NA,"Brésil",NA,NA,"Rio de janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642235' target='other'> <mi>dwc_moreinfo</mi></a>","P00642235","P00642235_01","Judziewicz",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA
"9","2012-10-17 05:07:00-03","MO","MOBOT","1011670","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Talmon S. dos Santos","Santos 3236","1978","6","11","South America","Brazil","Bahia",NA,"Rod. São José/Núcleo Colonial de Una, Km 9. Regiao de Mata Higrófila Sul Baiana.",NA,NA,NA,NA,NA,NA,"G. Davidse (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2012-10-17 05:07:00-03","MO","MOBOT","1775699","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Cleofé E. Calderón|Talmon S. dos Santos|L.B. de Oliveira","Calderón 2381","1976","4","21","South America","Brazil","Bahia",NA,"Mun. de Una. Dark, humid forest on steep, rocky slope of mixed, rich soil. Very large trees and abundant Marantaceae, Rutaceae, and many ferns in the understory. Also common a smal Olyra sp (CEC et al. 2382), Pharus sp., etc",NA,NA,NA,NA,NA,NA,NA,"180.00000000","190.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2013-08-23 04:12:00-03","MO","MOBOT","233221","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","André M. Amorim|et al.","Amorim 831","1992","10","8","South America","Brazil","Bahia",NA,"Mpio. of Una. Estrada Sao Jose-Una. Coletas efetuadas no km 9 a partir da BR. Fazenda Santa Rosa. Mata Higrofila Sul Baiana",NA,NA,NA,NA,NA,NA,"G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-08-31 09:21:06-03","INPA","INPA","165127","S","Plantae","Monocotyledon","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Hollowell, VC","3002","1982","01","20","Southern America","Brasil","Bahia","Una","9 Km S of São José on BR 101, approx. 50 Km NW of Una on the old dirt road to Una. In a sunny location in disturbed rain forest above an old cacao plantation. Robust clump on steep 40º ENE rocky slope with Rutaceae & Myrtaceae overhead.","-39.0752983093262","-15.2932996749878",NA,NA,"INPA0165127","INPA0165127 INPA0165127_e INPA0165127_e1 INPA0165127_e2",NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-08-31 09:21:06-03","INPA","INPA","105144","S","Plantae","Monocotyledon","Poales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","Calderón, CE","2381","1976","04","21","Southern America","Brasil","Bahia","Una","Dark, humid forest on steep, rocky slope of mixed, rich soil. Very large trees and abundant Marantaceae, Rutaceae, and many ferns in the understory. Also common a small Olyra sp. (CEC et at, 2382), &nf;Pharus sp, etc. Forming thick, large clumps, matur","-39.0752983093262","-15.2932996749878",NA,NA,"INPA0105144","INPA0105144 INPA0105144_e INPA0105144_e1",NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2925786","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","C. E. Calderón","2381","1976","4","21","South America - Neotropics","Brazil","Bahia",NA,"Una",NA,NA,NA,NA,"US00029990","US00029990_01 US00029990_02","Judziewicz, E. J.","180","190","Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","96064","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","F. Morel","s.n.","1848","8",NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,"Sheet mounted with photo & fragmentary material of type specimen ex herb. Paris. Specimen made from cultivated plant?","US00902213","US00902213_01","Soreng, R. J., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,NA,"Monocotyledonae",NA,NA,NA,"Isotype","1",NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3129984","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","C. E. Calderón & T. S. Santos","2489","1979","2","28","South America - Neotropics","Brazil","Bahia","Una","On road sao jose de macuco +/-8.8 km from br101","-39.0752983093262","-15.2932996749878",NA,NA,"US00290657","US00290657_01 US00290657_02",NA,NA,NA,"Monocotyledonae",NA,"36070","auto",NA,"1",NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3090783","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Anomochloa","marantoidea","Anomochloa marantoidea","Brongn.","T. S. Santos & E. J. Judziewicz","4111","1986","2","21","South America - Neotropics","Brazil","Bahia",NA,"Una mun., 15.6 km rodovia sao/una, 10 km se of sao jose,",NA,NA,NA,NA,"US00072337","US00072337_01 US00072337_02",NA,"160","160","Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
