"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","locality","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","verbatimLongitude","verbatimLatitude","relatedCatalogItem","imagecode","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","preparationType"
"1","2021-03-30 12:54:17-03","EAO","IAN","67852","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Sacciolepis","indica","Sacciolepis indica","Chase","Jansen, P","Calida, R","1524","1894","07","21","Sumatra Occidental","In faucibus dictis, Aneh ad pedem montis Singalang.","Lacis humilis.","IAN067852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:54:17-03","EAO","IAN","159000","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Sacciolepis","indica","Sacciolepis indica","Chase","Dias, KNL","Neves, MP das; Rodrigues, IA","132","1982","10","23","Brasil","Joanes, Próximo ao porto da balsa de Salvaterra.",NA,"IAN159000","2018","05","30","Southern America","Pará","Salvaterra","-48.5167007446289","-0.75333297252655","52029","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:20:03-03","NBC","NL-BOTANY","U.1525792","PreservedSpecimen","Plantae",NA,"Gramineae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Judziewicz EJ","Jansen-Jacobs MJ; Welle BJH ter; James V; Andrew R",NA,"1995","09","02","Guyana",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1525792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1525792",NA,NA,NA,"Southern America","Rupununi District",NA,"-59.083333","2.833333",NA,NA,"Magnoliopsidae","Poales","-59.083333","2.833333","U 0156603","NL-U1525792",NA,NA,NA,NA,NA
"4","2020-02-08 10:20:03-03","NBC","NL-BOTANY","U.1525791","PreservedSpecimen","Plantae",NA,"Gramineae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Riet BP van de","Ek RC; Riet BP van de; Doomen MC",NA,"2003","01","30","French Guiana","French Guiana, Mts. de Kaw, Trésor Reserve, near main trail, third tree after big Ficus.","Near main Carbet, open area, laterite.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1525791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1525791",NA,NA,NA,"Southern America","Cayenne",NA,"-52.266667","4.583333",NA,NA,"Magnoliopsidae","Poales","-52.266667","4.583333","U 0226102","NL-U1525791",NA,NA,NA,NA,NA
"5","2021-03-01 16:20:39-03","UNICAMP","UEC","136624","S","Plantae","Liliopsida","Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Rodrigues, RS","Prado, AL","3145","1991","08","29","Brazil","Proximidades da Rod. Transpantaneira, Km 22, Campo limpo sazonalmente alagável.","Erva, 50 a 60cm de altura; flores amarelo-esverdeadas. Forrageira na seca.","UEC092945","2012","03","13",NA,"Mato Grosso","Poconé","-56.6227989196777","-16.2567005157471","200792","auto",NA,NA,NA,NA,NA,"UEC092945",NA,NA,NA,NA,NA
"6","2020-10-14 10:05:03-03","FURB","FURB","37154","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Funez, L.A.","Funez, L.A.","86","2011","12","03","Brasil","Rua Barãoi do Rio Branco.",NA,"FURB39402","2016",NA,NA,NA,"Santa Catarina","Rodeio","-49.3719445","-26.9277778",NA,NA,NA,NA,"-49.3719445","-26.9277778",NA,"FURB39402","79","79",NA,NA,NA
"7","2019-11-08 08:55:10-03","FURB","FURB","37828","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Funez, L.A.","Sevegnani, L.; Passos, S.","31","2012","01","03","Brasil","Rua Amazonas 1120, ao lado do Condomio Bavaria - Garcia.",NA,"FURB39550","2016",NA,NA,NA,"Santa Catarina","Blumenau","-49.06","-26.9325",NA,NA,NA,NA,"-49.0600000","-26.9325000",NA,"FURB39550","13","13",NA,NA,NA
"8","2019-11-08 08:55:10-03","FURB","FURB","37896","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Funez, L.A.","Funez, L.A.","382","2012","02","27","Brasil","Centro de Rodeio.",NA,"FURB39375","2016",NA,NA,NA,"Santa Catarina","Rodeio","-49.3711111","-26.9244445",NA,NA,NA,NA,"-49.3711111","-26.9244445",NA,"FURB39375","239","239",NA,NA,NA
"9","2020-10-14 10:05:03-03","FURB","FURB","47169","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Funez, L.A.","Funez, L.A.","4238","2015","03","18","Brasil","Abissínia.",NA,"FURB39405","2016",NA,NA,NA,"Santa Catarina","Rodeio","-49.3622222","-26.8625",NA,NA,NA,NA,"-49.3622222","-26.8625000",NA,"FURB39405","538","538",NA,NA,NA
"10","2019-11-08 08:55:10-03","FURB","FURB","50154","PreservedSpecimen","Plantae",NA,"Poaceae","Sacciolepis","indica","Sacciolepis indica","(L.) Chase","Funez, L.A.","Funez, L.A.","4875","2016","02","06","Brasil","Centro.",NA,"FURB50154","2016",NA,NA,NA,"Santa Catarina","Rodeio","-49.3702778","-26.9247223",NA,NA,NA,NA,"-49.3702778","-26.9247223",NA,"FURB50154","81","81",NA,NA,NA
