"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032893","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & H.R.Sweet","E. A. Christenson","W. W. Thomas","9116","1992","05","05","South America","Brazil","Bahia","Ilhéus","Rd from Ilhéus to Serra Grande, 11.3 km N of the Itaipe bridge leaving Ilhéus. 200 m from beach.","-39.15","-14.68","sheet","See pickled collection. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207589' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032893","NY01032893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","468215","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & H.R.Sweet","E. A. Christenson","W. W. Thomas","9116","1992","05","05","South America","Brazil","Bahia",NA,"Mun. Ilhéus. Rd from Ilhéus to serra Grande, 11.3 km N of the Itaipe bridge leaving Ilhéus. Disturbed restinga forest ca. 200m from beach.","-39.15","-14.68","fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00468215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:28:36-03","UFBA","ALCB","027998","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & Sweet","Smidth, E","Stradmann, MTS","s/n","1994","03","28","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Rio Ribeirão","-41.383333","-12.566667",NA,"folhas membranáceas discolores. Flor rósea com manchas verdes.","ALCB008404","ALCB008404","-41.383333","-12.566667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:28:36-03","UFBA","ALCB","106193","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & Sweet","Batista, JAN","Texeira, SR; Queiroz, EP; Mattos Andrade, PE de; Oliveira, D","95","2012","09","20","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Ilha dos Frades, Subfragmento Coqueiro","-38.5","-12.966667",NA,"de ca 0,8 m. Folhas levemente discolores. Frutos verdes.","ALCB008402","ALCB008402","-38.5","-12.966667","2018","05","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:36-03","UFBA","ALCB","106950","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & Sweet","Batista, JAN","Gomes, FS; Guedes, ML","1221","2013","01","12","Southern America","Brasil","Bahia","Mata de São João","Litoral Norte","-38.0125","-12.576667",NA,"Raízes fasciculadas. Folha radical única. Frutos cápsulas.","ALCB009027",NA,"-38.0125","-12.576667","2018","05","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:36-03","UFBA","ALCB","125861","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & Sweet","Barberena, FFVA","Barberena, FFVA; Sousa, TS; Jesus, FLB; Silva, MS","375","2016","09","16","Southern America","Brasil","Bahia","Mata de São João","Parque Natural Municipal da Restinga de Praia do Forte.","-38.009444","-12.574167",NA,"Terrícola; Folhas verdes; Sépalas e pétalas alvo-esverdeadas na base e alvas para o ápice; labelo alvo. Frutos verdes, imaturos. Datum: WGS-84.&nf;; Mata de restinga","ALCB030292","ALCB030292","-38.009444","-12.574167","2016","09",NA,"6","6",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:36-03","UFBA","ALCB","125862","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & Sweet","Barberena, FFVA","Barberena, FFVA; Sousa, TS; Jesus, FLB; Silva, MS","376","2016","09","16","Southern America","Brasil","Bahia","Mata de São João","Parque Natural Municipal da Restinga de Praia do Forte","-38.009444","-12.574167",NA,"Terrícola; Folhas verdes; Sépalas e pétalas alvo-esverdeadas na base e alvas para o ápice; labelo alvo. Frutos verdes, imaturos. Datum: WGS-84&nf;; Mata de restinga","ALCB030293",NA,"-38.009444","-12.574167","2016","09",NA,"6","6",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:36-03","UFBA","ALCB","126733","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata","(Sw.) Garay & Sweet","Barberena, FFVA","Barberena, FFVA; Sousa, TS","402","2016","09","23","Southern America","Brasil","Bahia","Salvador","Parque Municipal das Dunas, Lagoa do Urubu.","-38.339444","-12.924167",NA,"Terrícola; Folhas: verdes; Sépalas e pétalas alvo-esverdeadas na base e alvas para o ápice; labelo alvo; Frutos verdes, imaturos.Datum: WGS-84. &nf;; Restinga arbórea.","ALCB039455","ALCB039455","-38.339444","-12.924167","2016","09",NA,"31","31",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:30-03","ESALQ","ESA","114995","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata",NA,NA,"Morokawa, R.","368.0","2011","04","17",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA114995","ESA114995",NA,NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA
"10","2020-11-04 12:17:30-03","ESALQ","ESA","115418","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Eltroplectris","calcarata","Eltroplectris calcarata",NA,"Lima, D.F.","Lima, D.F.","183.0","2011","04","15",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA115418","ESA115418",NA,NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA
