"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","identifiedBy","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","county","scientificNameAuthorship","typeStatus","imagecode","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber"
"1","2020-09-23 10:35:42-03","E","E","106365","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","tweediana","Dicliptera tweediana","Balfour Gourlay, William","95","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:116694","<a href=http://data.rbge.org.uk/herb/E00106365 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:42-03","E","E","106364","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","tweediana","Dicliptera tweediana","Pedersen, Troels Myndel","1197","Temperate South America","AR","herbarium specimen of unspecif","BGBASE:116689","<a href=http://data.rbge.org.uk/herb/E00106364 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106364","1951","09","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-21 18:46:00-02","NY","NYBG","01009208","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","pohliana","Dicliptera pohliana","F. W. Pennell","4037","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009208","1918","01","25","Magnoliophyta","Lamiales","E. C. Leonard","Bolívar","Edge of Thicket","200","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 18:46:00-02","NY","NYBG","01009211","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","pohliana","Dicliptera pohliana","F. W. Pennell","4779","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521098' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009211","1918",NA,NA,"Magnoliophyta","Lamiales","E. C. Leonard","Valle del Cauca","Rio Sinu",NA,NA,"Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 18:46:00-02","NY","NYBG","01009209","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","pohliana","Dicliptera pohliana","H. H. Smith","1488","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521095' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009209","1899","02","06","Magnoliophyta","Lamiales","E. C. Leonard","Boyacá","Collected in a ravine 3 miles from the sea at Plaia Brava.","305",NA,"Santa María",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-21 18:46:00-02","NY","NYBG","01009210","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","pohliana","Dicliptera pohliana","F. W. Pennell","4750","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521096' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009210","1918","03","27","Magnoliophyta","Lamiales","E. C. Leonard","Bolívar","Thin soil over white rock.","150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","311926","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","sericea","Dicliptera sericea","L. Riedel","1984","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00311926","1833",NA,NA,"Magnoliophyta","Lamiales",NA,"São Paulo","Prope Sarocaba",NA,NA,NA,"Nees","syntype","NY00311926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","948618","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","squarrosa","Dicliptera squarrosa","H. S. Irwin","6273","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948618","1964","09","19","Magnoliophyta","Lamiales","D. C. Wasshausen","Distrito Federal","Cia. Fercal, ca. 20 km. E. of Brasília.","700","1000","Brasília","Nees",NA,"NY00948618_01","-47.88","-15.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","484229","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","squarrosa","Dicliptera squarrosa","A. Schinini","6847","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484229","1973","08","03","Magnoliophyta","Lamiales","M. H. Nee","Corrientes","Puente Pesoa, Ayo. Riachuelo.",NA,NA,"Capital","Nees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","484227","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","squarrosa","Dicliptera squarrosa","E. Barbosa","70","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484227","1997","04","17","Magnoliophyta","Lamiales","M. H. Nee","Paraná","Rio Capivari. Próximo ao rio.",NA,NA,"Campina Grande do Sul","Nees",NA,"NY00484227_01","-49.0553","-25.3058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","484228","PreservedSpecimen","Plantae","Acanthaceae","Dicliptera","squarrosa","Dicliptera squarrosa","J. F. Widgren",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484228","1845",NA,NA,"Magnoliophyta","Lamiales","M. H. Nee","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,"Nees",NA,"NY00484228_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
