"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","1703","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","excoriata","Myrcia excoriata","(Mart.) E.Lucas & C.E.Wilson","Marcos Sobral","Vanilde Citadini Zanette; R. dos Santos","1685","1992","10","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arvoreta","CRI005252","CRI005252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","898","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","excoriata","Myrcia excoriata","(Mart.) E.Lucas & C.E.Wilson","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; F. M. Bastos","789","1987","12","21","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI005253","CRI005253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:47-03","E","E","433027","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata",NA,NA,"Martius","59",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00433027 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433027",NA,"unspecified kind of","E. Tropical South America","herbarium specimen of unspecif","BGBASE:456810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1738067","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","L.A. Gomes","L.A. Gomes","120","2011","04","19","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4247","-11.3983",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1952880' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738067","NY01738067_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1738055","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","L.A. Gomes","L.A. Gomes","73","2011","03","03","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto. Trilha.","-37.4208","-11.3933",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1952864' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738055","NY01738055_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01788365","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","L.A. Gomes","L.A. Gomes","303","2012","01","24","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto: Borda de mata.","-37.41839","-11.4003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2057712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01788365","NY01788365_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02499267","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","V. G. Staggemeier","W. W. Thomas","12074","1999","02","06","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, 3 km S of entrance along road on N side of park.","-39.4133","-16.8633333",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623633' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499267","NY02499267_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02641236","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.",NA,"B. S. Amorim","516","2010","01","07","Brazil","Pernambuco","Tamandaré","Restinga. Beira da estrada. Via Litorânea de Carneiros.","-35.0908","-8.7119",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2894046' target='other'> <mi>dwc_moreinfo</mi></a>","NY02641236","NY02641236_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02499278","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","M. Sobral","W. W. Thomas","12341","2001","03","18","Brazil","Bahia","Itanhém","Fazenda Pedra Grande, 16.2 km west of Itanhém on road to Batinga, then 0.6 km north to Fazenda (owner Otevaldo Resende da Silva)","-40.4214","-17.1325",NA,NA,"260","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622946' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499278","NY02499278_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615457","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","C. M. D. E. Legrand","P. Rosa","s.n.","1936","01","16","Brazil","Rio de Janeiro",NA,"Guanabara; Horto Florestal, Gávea",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615457","NY00615457_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","615458","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","C. M. D. E. Legrand","R. M. Klein","2274","1957","11","27","Brazil","Santa Catarina","Vidal Ramos","Sabiá","-49.3556","-27.3919",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615458","NY00615458_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","615575","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","M. Sobral","A. M. V. de Carvalho","1128","1982","01","08","Brazil","Bahia","Valença","Estrada Valença/Guaibim, km. 10 ap","-39.0731","-13.3706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615575","NY00615575_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01067171","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","V. G. Staggemeier","S. A. Mori","14024","1981","05","14","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 136-C","-39.1202492","-15.1148921",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205880' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067171","NY01067171_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
