"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","previousCatalogNumber","typeStatus"
"1","2016-09-27 07:08:00-03","NY","NYBG","424069","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","caroliniana","caroliniana","Cabomba caroliniana caroliniana","A.Gray","M. Orgaard","J. Irigoyen","25","1971","10","12","South America","Argentina","Corrientes","Dep: San Martín. Carlos Pellegrini, Estero Mirinay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424067","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","caroliniana","caroliniana","Cabomba caroliniana caroliniana","A.Gray","M. Orgaard","L. Camargo de Abreu","266","1975","05","13","South America","Brazil","São Paulo","Sao Paulo. Reserva Biológica, Parque Estadual das Fontes do Ipiranga, Instituto Astronômico e Geofísico da USP","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424067","Sao Paulo","-46.63","-23.5403","NY00424067_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00859406","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","caroliniana",NA,"Cabomba caroliniana","A.Gray","J. A. Kallunki","C. da Silva","172","1980","09","12","South America","Brazil","Mato Grosso","Estação Ecológica de Taimã. Cáceres.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859406","Cáceres","-57.6789","-16.0708","NY00859406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00859407","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","caroliniana",NA,"Cabomba caroliniana","A.Gray","J. A. Kallunki","C. da Silva","113","1979","06","03","South America","Brazil","Mato Grosso","Estação Ecológica de Taimã. Cáceres.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859407","Cáceres","-57.6789","-16.0708","NY00859407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00859408","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","caroliniana",NA,"Cabomba caroliniana","A.Gray","J. A. Kallunki","C. da Silva","611","1983","07","01","South America","Brazil","Mato Grosso","Baía Novato - Estação Ecológica de Taimã. Cáceres.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859408","Cáceres","-57.6789","-16.0708","NY00859408_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","424068","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","caroliniana","caroliniana","Cabomba caroliniana caroliniana","A.Gray","M. Orgaard","L. Camargo de Abreu","266","1975","05","13","South America","Brazil","São Paulo","Sao Paulo. Reserva Biológica, Parque Estadual das Fontes do Ipiranga, Instituto Astronômico e Geofísico da USP","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424068","Sao Paulo","-46.63","-23.5403","NY00424068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","33268","PreservedSpecimen","Plantae",NA,NA,"Cabombaceae","Cabomba","caroliniana",NA,"Cabomba caroliniana","A.Gray",NA,"Gissi, D.S.","397","2018","05","13",NA,"Brasil","São Paulo","Sítio Americana, estrada municipal Domingos Waldemar Bellucci km 10, s/n, zona rural pasto",NA,NA,"BOTU033268","Boituva","-47.751944","-23.3225",NA,"47°45'07w","23°19'21s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","15735","PreservedSpecimen","Plantae",NA,NA,"Cabombaceae","Cabomba","caroliniana",NA,"Cabomba caroliniana","A.Gray","Camargo de Abreu, L.","Janssen, A.","535","1980","08","20",NA,"Brasil","Amazonas","lagoa permanente. 500m. Ao noroeste de BR 230 km 7",NA,NA,"BOTU015735","Humaitá","-63.166667","-7.516667",NA,"63º10'w","07°31's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 21:31:57-03","UFBA","ALCB","118039","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cabombaceae","Cabomba","caroliniana",NA,"Cabomba caroliniana","A. Gray","Guedes, ML","Guedes, ML; Medeiros, A; Alunos de Microbiologia","23100","2014","11","14","Southern America","Brasil","Bahia","Chapada Diamantina, Marimbus.",NA,"rizomatosa. Folhas opostas, multipartidas, flutuantes. Flores solitárias, emersas, vistosas. Fruto esquizocarpo, com frutículos deiscentes.","ALCB002103","Andaraí","-41.525278","-13.275","ALCB002103","-41.525278","-13.275","2015","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 21:31:57-03","UFBA","ALCB","040059","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cabombaceae","Cabomba","caroliniana",NA,"Cabomba caroliniana","A. Gray","Lima, CT de","Arbo, MM; Schinini, A; Marunak, V; Paniagua Risueno, E","7886","1998","08","24","Southern America","Argentina","Corrientes","Estancia Rincon del Diablo. Macrosistema Ibera. Canal de accesso a Laguna Yacare. En el canal",NA,"Sumergida. Flores amarillas emergentes, erguidas, con flotadores.","ALCB002104","Mercedes","-58.016667","-28.7","ALCB002104","-58.016667","-28.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
