"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00555158","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","A. P. Duarte","3059","1950","08","30","South America","Brazil","Minas Gerais","Patos de Minas","Mata da Corda, Patos de Minas","-46.5181","-18.5792","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","555157","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","R. Reitz","4591","1957","07","26","South America","Brazil","Santa Catarina","Garuva","Três Barras, Garuva, Sao Francisco do Sul","-48.8547","-26.0269","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555157","NY00555157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","555156","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","R. Kummrow","1939","1982","06","03","South America","Brazil","Paraná","Morretes","Rio dos Padres","-48.8342","-25.4769",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555156","NY00555156_01","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","250618","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","C. A. W. Schwacke","13173","1897","09","19","South America","Brazil","Santa Catarina",NA,"Rio Pirahy",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250618","NY00250618_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","776821","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","M. Borgo","351","1998","11","28","South America","Brazil","Paraná","Morretes","Serra da Graciosa","-48.67","-25.47",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776821","NY00776821_01","M. Borgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:18:04-03","ESALQ","ESA","21228","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","Barreto, K.D. et al.","3000.0","1994","08","23",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA021228",NA,"Marcussio, G.M.",NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:37:49-03","UNICAMP","UEC","76219","S","Plantae","Magnoliopsida",NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","A.DC.","Miyagi, PH; et al.","474","1995","02","15",NA,"Brazil","São Paulo",NA,"Município de Mamparra. Reserva Florestal Carlos Botelho, a 2km da sedinha.",NA,NA,NA,NA,NA,"Erva, ca. 10cm alt. Inflorescência verde no ápice, verde amarelado em direção a base.; Beira de estrada","UEC149558","UEC149558","Carvalho-Silva, M",NA,NA,NA,"2006","06","08",NA,NA,NA,NA
"8","2021-03-01 16:37:49-03","UNICAMP","UEC","71608","S","Plantae","Magnoliopsida",NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","A.DC.","Pirani, JR; Garcia, RF","3110","1994","04","19",NA,"Brazil","São Paulo","Miracatu","Fazenda Itereí. Serra de Paranapiacaba. Trilha Capoeirinha.","-47.4599990844727","-24.2800006866455","550","550",NA,"Epífitas à sombra. Caule, pecíolo e lâmina subcarnosos, a face inferior das folhas vináceas. Inflorescências eretas verdes com pedúnculos vináceos.; Floresta tropical pluvial atlântica de encosta.","UEC149559","UEC149559","Carvalho-Silva, M",NA,"43974","auto","2006","06","08",NA,NA,NA,NA
"9","2019-08-16 08:40:30-03","UTFPR","HCF","14943","S","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C.DC.","M.G. Caxambu","5521","2014","09","05",NA,"Brasil","PR","Tuneiras do Oeste","Reserva Biológica Das Perobas - Palmital","-52.737389","-23.845639","443","443",NA,"erva rupícola, epífita, ripária, ca. 0,20 m. Folhas roxas na face abaxial e roxas na adaxial. Espigas esverdeadas.",NA,NA,"G.A. Dettke",NA,NA,NA,"2015","10",NA,"52°44'14,6 W","23°50'44,3 S",NA,NA
"10","2020-12-21 16:39:34-03","MBM","MBM","76448","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","schwackei","Peperomia schwackei","C. DC.","Kummrow, R.","1939",NA,NA,NA,"Southern America","Brazil","Paraná","Morretes","Rio dos Padres","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM076448","MBM076448","Callejas, R.",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
