"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2016-09-28 15:58:00-03","NY","NYBG","00644696","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","O. Huber","7417","1983","03","07","South America","Venezuela","Bolívar","Roscio","Vegetación ribereña de la orilla del Rio Aponwao, a la altura del paso hacia el Salto Aponwao. (sector norte de la Gran Sabana)","-61.5","5.58","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 15:58:00-03","NY","NYBG","00644699","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","A. L. Stoffers","146","1982","10","30","South America","Guyana",NA,NA,"Near Mabura Hill sawmill, along logging road (under construction)","-58.63","5.32",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02282523","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","G. T. Prance","P24856","1977","11","05","South America","Brazil","Pará",NA,"Serra do Cachimbo, BR 163, Cuiabá-Santarém Highway, Cachoeira de Curuá; north slope of Serra Cachimbo.","-54.9644","-8.7367","300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1757643' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282523","(Eichler) Kuijt","C. S. Caires","NY02282523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00644695","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","J. G. Jardim","909","1996","08","10","South America","Brazil","Bahia","Correntina","Ca. de 17 km a W da sede do município, na Rod. BA 349 no sentido Correntina/Brasília","-44.73","-13.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644695","(Eichler) Kuijt",NA,"NY00644695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01022204","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","W. R. Anderson","10369","1973","05","15","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 10 km (straight line) NE of Corumbá de Goiás; at base of waterfall on Rio Corumbá","-48.74256","-15.8597","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138949' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022204","(Eichler) Kuijt",NA,"NY01022204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02220298","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","J. L. Zarucchi","2815","1979","10","28","South America","Brazil","Rondônia",NA,"Road Vilhena to Colorado, 28 Km from Vilhena (20 Km from BR 364)","-60.2","-12.87",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2373491' target='other'> <mi>dwc_moreinfo</mi></a>","NY02220298","(Eichler) Kuijt",NA,"NY02220298_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00645010","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","H. S. Irwin","14827","1966","04","14","South America","Brazil","Bahia",NA,"(Drainage of the Rio Corrente, western Bahia) Near Rio Piau, ca. 150 km, SW of Barreiras",NA,NA,"850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645010","(Eichler) Kuijt",NA,"NY00645010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02220299","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","S. R. Lowrie","102","1980","09","19","South America","Brazil","Amazonas",NA,"Km 672 on Manaus-Humaitá road.","-63.0780995","-7.5675549",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2373492' target='other'> <mi>dwc_moreinfo</mi></a>","NY02220299","(Eichler) Kuijt",NA,"NY02220299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 15:58:00-03","NY","NYBG","00644697","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","R. E. Schultes","16637","1952","06","08","South America","Colombia","Amazonas",NA,"Rio Apaporis: Jinogojé (at mouth of Rio Piraparaná) and vicinity","-70.5","-0.25","213","213","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00644698","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Dendrophthora","warmingii","Dendrophthora warmingii","B. Nelson","309","1979","10","26","South America","Brazil","Rondônia",NA,"28 km SW of Vilhena on road to Colorado; near Rio Vermelho","-60","-13",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644698","(Eichler) Kuijt",NA,"NY00644698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
