"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","402773","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S.O.Grose","J. G. Kuhlmann","1932","11","25","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Vista Chinesa.","-43.249313","-22.973268","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402773","NY00402773_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00402774","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S.O.Grose","R. C. Laroche","1971","11","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Vista Chinesa a uns 400 m do Mirante.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402774","NY00402774_01","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402772","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S.O.Grose","G. G. Hatschbach","1985","11","20","South America","Brazil","Espírito Santo","Conceiçao do Castelo","Venda Nova, torre Telest.","-41.2439","-20.3683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402772","NY00402772_01","49983","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:12-03","UFV","VIC","30369","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S. O. Grose","Araújo, R.S. de; et al.","2006","07","28",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Trilha da Torre. Floresta Estacional Semidecídua.","-43.5080986022949","-20.2875003814697",NA,"Arbórea com cerca de 4,0 metros de altura; cálice densamente piloso, flores amarelo ouro.","VIC030369","VIC030369","08",NA,NA,"Araújo, R.S. de","2006","07","12","44599","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:12-03","UFV","VIC","29442","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S. O. Grose","Araújo, R.S. de; et al.","2008","01","15",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Trilha da Estrada de Baixo. Floresta Estacaional Semidecidual.","-43.5080986022949","-20.2875003814697",NA,"Arbórea com c.a. de 5,0 metros de altura; folhas 5-folioladas, serredas com domáceas pilosas na face abaxial; cálice amarelado, corola amarelo brilhante.","VIC029442","VIC029442","161",NA,NA,"Araújo, R.S. de","2008","01","15","44599","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:12-03","UFV","VIC","30366","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S. O. Grose","Araújo, R.S. de; et al.","2006","10","16",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Trilha da Estrada de Baixo. Floresta Estacional Semidecídua.","-43.5080986022949","-20.2875003814697",NA,"Arbórea com cerca de 12 metros de altura; cálice densamente piloso; flores amarelo ouro.","VIC030366","VIC030366","31",NA,NA,"Araújo, R.S. de","2007","04","15","44599","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:12-03","UFV","VIC","30368","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S. O. Grose","Araújo, R.S. de; et al.","2006","08","31",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Trilha da Estrada de Baixo. Floresta Estacional Semidecídua.","-43.5080986022949","-20.2875003814697",NA,"Arbórea cerca de 6,0 metros de altura; folíolos serreados; cálice densamente piloso, flores amarelo ouro.","VIC030368","VIC030368","23",NA,NA,"Araújo, R.S. de","2007","02","10","44599","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:12-03","UFV","VIC","30367","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S. O. Grose","Araújo, R.S. de; et al.","2006","09","26",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Trilha da Torre. Floresta Estacional Semidecídua.","-43.5080986022949","-20.2875003814697",NA,"Arbórea com cerca de 2,5 metros de altura; folíolos serreados; cálice piloso, flores amarela ouro.","VIC030367","VIC030367","30",NA,NA,"Araújo, R.S. de","2006","08","12","44599","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 09:29:48-03","UFRRJ","RBR","43167","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","bureavii","Handroanthus bureavii","(Sandwith) S.Grose","T.P.P. Alverga","2015","06","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar F57/44.","-43.206944","-22.938611",NA,NA,"RBR00043167","RBR00043167",NA,NA,NA,"T.P.P. Alverga",NA,NA,NA,NA,NA,"43º12'25''W","22º56'19''S",NA,NA,NA,NA,NA
"10","2018-01-03 13:59:02-02","MNHN","RECOLNAT_MNHN_P","P03586123","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Tabebuia","bureavii","Tabebuia bureavii","Sandwith","Burchell",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03586123' target='other'> <mi>dwc_moreinfo</mi></a>","P03586123","P03586123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1384",NA,NA,NA,NA
