"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","year","month","day","verbatimLongitude","verbatimLatitude","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","fieldNumber","preparationType"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2153","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Heterotaxis","valenzuelana","Heterotaxis valenzuelana","(A.Rich.) Ojeda & Carnevali.","Rubens Custódio Mota","2008","04","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9171","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Heterotaxis","valenzuelana","Heterotaxis valenzuelana","(A.Rich.) Ojeda & Carnevali","Lourenço, R.A.","1997","10","Amaral Jr., A.","Brasil","São Paulo","Botucatu","Próximo a Usina Indiana, dsitante + - 7 km de Botucatu",NA,NA,NA,NA,NA,NA,"10","924","1972","08","10","9999","9999","BOTU009171",NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","28398","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Heterotaxis","valenzuelana","Heterotaxis valenzuelana","(A. Rich) Ojeda & Carnevali","Marcusso, G.M.","2012","05","Marcusso, G.M.","Brasil","São Paulo","Botucatu","Escola do Meio Ambiente",NA,NA,NA,NA,NA,NA,"23","62","2012","05","08","9999","9999","BOTU028398",NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:08-03","MN","R","221464","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Marsupiaria","iridifolia","Marsupiaria iridifolia","(Bateman ex Rchb. f.) Hoehne","Henrique, P.",NA,NA,"Henrique, P.","Brasil","Rio de Janeiro","Petrópolis","Correas","-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto",NA,"2","1976","02","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:08-03","MN","R","221460","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Marsupiaria","iridifolia","Marsupiaria iridifolia","(Bateman ex Rchb. f.) Hoehne","Barcia, J.C.C.",NA,NA,"Henriques, R.","Brasil","Rio de Janeiro","Petrópolis","Correas","-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto",NA,"17","1971","12","29",NA,NA,NA,"1300","1300",NA,NA,NA,NA
"6","2021-03-31 13:41:09-03","MN","R","24870","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","valenzuelana","Maxillaria valenzuelana","(A. Rich.) Nash","Carnevali, G.","1991",NA,"Brade, A.C.","Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto",NA,NA,"1929","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:09-03","MN","R","35707","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","valenzuelana","Maxillaria valenzuelana","(A. Rich.) Nash","Pabst, G.F.J.","1966","08","Brade, A.C.; Santos Lima","Brasil","Rio de Janeiro","Santa Maria Madalena","Santo Antônio do Imbé","-42.0080986022949","-21.9552993774414","30526",NA,NA,"auto","27",NA,"1932","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1178","S","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","valenzuelana","Maxillaria valenzuelana","(A.Rich.) Nash.","E.R. Pansarin",NA,NA,"E.R.Pansarin","Brasil","Santa Catarina","Blumenau",NA,"-49.066667","-26.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49°04'W","26°54'S",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:53-03","UNICAMP","UEC","86507","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Heterotaxis","valenzuelana","Heterotaxis valenzuelana","(A.Rich.) F.Barros","Barros, F","2005","01","Leitão Filho, HF; Rodrigues, RR; et al.","Brazil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Próximo à Caverna do Diabo.","-48.392083","-24.646639",NA,NA,"Epífita. Flores creme com labelo amarelo. Frutos verdes imaturos.",NA,NA,"32894","1995","02","09","-48.392083","-24.646639","UEC034843",NA,NA,"UEC034843",NA,NA,NA
"10","2019-08-20 10:00:53-03","UNICAMP","UEC","153146","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Heterotaxis","valenzuelana","Heterotaxis valenzuelana","(A.Rich.) F.Barros",NA,NA,NA,"Targa, H","Brazil","Rio de Janeiro","Serra dos Órgãos","perto deTeresopolis.",NA,NA,NA,NA,NA,NA,NA,"IB3177","1963","07","01",NA,NA,"UEC034842",NA,NA,"UEC034842",NA,NA,NA
