"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","imagecode","fieldNumber","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","565114","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Worsleya","rayneri","Worsleya rayneri","(Hook.f.) Traub & Moldenke","G. Martinelli","G. Martinelli","9010","1983","01","27","South America","Brazil","Rio de Janeiro","Petrópolis","Morro do Cuca, entre Vale das Videiras e Araras","-43.1783","-22.505","1600","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565114",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565115","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Worsleya","rayneri","Worsleya rayneri","(Hook.f.) Traub & Moldenke","J. H. A. Dutilh","F. C. Hoehne","30011","1933","01","26","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico. Cult. proc. de Petropolis","-46.6300010681152","-23.5400009155273",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565115","53584","auto",NA,NA,NA,NA,NA
"3","2019-06-27 10:23:50-03","UFES","VIES","35307","S","Plantae",NA,NA,"Amaryllidaceae","Worsleya","procera","Worsleya procera","(Lem.) Traub",NA,"Borges, W.S.; Armengol, J.B.","6","2014","07","20",NA,"Brasil","Rio de Janeiro","Petrópolis","Área de Proteção Ambiental Petrópolis.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"VIES035307","36524","auto","VIES035307",NA,NA,NA,NA
"4","2015-09-03 20:23:44-03","MNHN","RECOLNAT_MNHN_P","P01855708","PreservedSpecimen",NA,NA,NA,"Amaryllidaceae","Hippeastrum","procerum","Hippeastrum procerum","(Duch.) Lem.",NA,"Glaziou",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","Donné par Mme Simard sa file, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01855708' target='other'> <mi>dwc_moreinfo</mi></a>","P01855708",NA,NA,"P01855708_01","8992 a",NA,NA,NA
"5","2015-09-03 20:12:40-03","MNHN","RECOLNAT_MNHN_P","P02055595","PreservedSpecimen",NA,NA,NA,"Amaryllidaceae","Hippeastrum","procerum","Hippeastrum procerum","(Duch.) Lem.",NA,"Glaziou, A.",NA,"1876","1","1",NA,"Brasil","Rio de Janeiro","Petrópolis","Brésil. RJ. Petropolis (Retiro)","-43.1786003112793","-22.5049991607666",NA,NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02055595' target='other'> <mi>dwc_moreinfo</mi></a>","P02055595","36524","auto","P02055595_01","8992 A",NA,NA,NA
"6","2019-11-21 09:58:09-03","IBt","SP","30011","S","Plantae",NA,NA,"Amaryllidaceae","Worsleya","raynerii","Worsleya raynerii","(Hook.f.) Traub & Moldenke","Ravenna, P","Hoehne, FC","s.n.","1933","01","26",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,"36524","auto",NA,NA,"1966","03","26"
