"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00934606","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","villosum","Stryphnodendron polyphyllum villosum","Benth.","V. R. Scalon","H. S. Irwin","17787","1966","06","26","South America","Brazil","Goiás","Caiapônia","Ca. 40 km. S. of Caiapônia. Serra do Caiapó.","-51.8","-17.25","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934606","NY00934606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00934632","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","villosum","Stryphnodendron polyphyllum villosum","Benth.","V. R. Scalon","R. Goodland","446","1966","07","05","South America","Brazil","Goiás","Guapó","3 km E de Guapo, near Goiania, N side of road","-49.5317","-16.8308",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934632","NY00934632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00934605","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","villosum","Stryphnodendron polyphyllum villosum","Benth.","V. R. Scalon","H. S. Irwin","16872","1966","06","10","South America","Brazil","Mato Grosso",NA,"Ca. 15 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.82","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934605","NY00934605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00934629","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","villosum","Stryphnodendron polyphyllum villosum","Benth.","V. R. Scalon","A. Macedo","528","1946","12","14","South America","Brazil","Minas Gerais","Ituiutaba","Ituiutaba","-49.465","-18.9692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934629","NY00934629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","459684","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","polyphyllum","Stryphnodendron polyphyllum polyphyllum","Mart.","E. Forero","H. S. Irwin","22306","1969","01","20","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Ca. 20km SW of Diamantina.",NA,NA,"1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459684","NY00459684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00934611","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","villosum","Stryphnodendron polyphyllum villosum","Benth.","V. R. Scalon","D. Alvarenga","1220","1998","06","24","South America","Brazil","Goiás","Nova Iguaçu de Goiás","Fazenda Barro Vermelho, (Sr. José G. Vieira Filho). Folha Uruaçú SD-22-Z-B","-49.1986","-14.1881","470","470","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934611","NY00934611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885769","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","polyphyllum","Stryphnodendron polyphyllum polyphyllum","Mart.","M. P. M. de Lima","H. C. de Lima","1716",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poços das Antas, caminho da Faz. Portuense.","-42.3917","-22.6508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885769","NY00885769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1015038","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum",NA,"Stryphnodendron polyphyllum","Mart.",NA,"C. Luchiari","284","1994","02","08","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Estr. Juturnaiba, esquerda - Km 7.","-42.3917","-22.6508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098862' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015038","NY01015038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00934602","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","polyphyllum","Stryphnodendron polyphyllum polyphyllum","Mart.","V. R. Scalon","G. G. Hatschbach","52955","1989","05","19","South America","Brazil","Minas Gerais","Congonhas do Norte","Alves","-43.6814","-18.8072","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=942067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934602","NY00934602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00934447","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stryphnodendron","polyphyllum","polyphyllum","Stryphnodendron polyphyllum polyphyllum","Mart.","V. R. Scalon","A. P. Duarte","8742","1965","01","10","South America","Brazil","Minas Gerais",NA,"BR 3, km. 216, Morro Juiz de Fora",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934447","NY00934447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
