"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","stateProvince","month","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","class","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02554787","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","Collector unspecified","s.n.","South America","Brazil","Corcovado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2820312' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554787","NY02554787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","812766","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","D. Howard","s.n.","South America","Brazil",NA,"sheet","Comm. amic. Walker-Arnott. Glasgow. Sept. 1850. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812766","NY00812766_01","J. Prado","1850","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02474201","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","C. M. Mynssen","1440","South America","Brazil","Mata de encosta do Jardim botânico do Rio de Janeiro, nos arredores da Pedra do Marinheiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685745' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474201","NY02474201_01",NA,"2014","Rio de Janeiro","09","09","-43.2311","-22.9661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","812763","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","A. F. M. Glaziou","s.n.","South America","Brazil",NA,"sheet","Ex Fée <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812763","NY00812763_01","J. Prado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","812762","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","L. B. Smith","1353","South America","Brazil","Southern slope of Pedra Dois Irmãos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812762","NY00812762_01","J. Prado","1928","Rio de Janeiro","11","26","-43.25","-22.98","100","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03941166","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","J. Miers","Fil.130","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4228756' target='other'> <mi>dwc_moreinfo</mi></a>","NY03941166",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03941165","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","Collector unknown","s.n.","South America","Brazil","Rio de Janero.","sheet","ex herb. Cunningham [James Cunningham] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4228755' target='other'> <mi>dwc_moreinfo</mi></a>","NY03941165",NA,NA,"1815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03941167","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","J. J. Linden","s.n.","South America","Venezuela",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4228757' target='other'> <mi>dwc_moreinfo</mi></a>","NY03941167",NA,NA,"1844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","812764","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","C. Spannagel","384","South America","Brazil","Corcovado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812764","NY00812764_01","J. Prado","1925","Rio de Janeiro",NA,NA,"-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","812765","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","congesta","Pteris congesta","E.J.Prado","J. N. Rose","20173","South America","Brazil","On Corcovado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812765","NY00812765_01","J. Prado","1915","Rio de Janeiro","07","08","-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
