"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","minimumElevationInMeters","maximumElevationInMeters","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1043643","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","tarodae","Cordia tarodae","M.Stapf","M. N. Sánchez de Stapf","isotype","N. T. Ranga","s.n.","2003","02","21","South America","Brazil","São Paulo","Paulo de Faria","Estaçao Ecolólogica.","-49.38","-20.0303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043643","NY01043643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1043644","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","tarodae","Cordia tarodae","M.Stapf","M. N. Sánchez de Stapf","isotype","N. T. Ranga","s.n.","2003","02","21","South America","Brazil","São Paulo","Paulo de Faria","Estaçao Ecolólogica.","-49.38","-20.0303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043644","NY01043644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:10:33-03","UTFPR","DVPR","844","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae","M.Stapf","Stapf, M","parátipo","Chagas-e-Silva, F; et al.","1477","1991","12","18",NA,"Brasil","Paraná","Ibiporã","Fazenda Doralice","-51.0480995178223","-23.2691993713379",NA,"Árvore 15 m, botões florais esverdeados, flores brancas, bastante melíferas, pouco frequente.","DVPR000844","DVPR000844","20625","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:03:30-03","ESALQ","ESA","15168","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae",NA,"Ranga, N.T.",NA,"Barreto, K.D. et al.","563.0","1993","05","26",NA,"Brasil","São Paulo","Charqueada",NA,"-47.7700004577637","-22.5100002288818",NA,NA,"ESA015168",NA,"12465","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:30-03","ESALQ","ESA","15684","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae",NA,"Ranga, N.T.",NA,"Souza, V.C. et al.","5749.0","1994","04","15",NA,"Brasil","São Paulo","Pindorama",NA,"-48.9000015258789","-21.1800003051758",NA,NA,"ESA015684",NA,"14884","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:03:30-03","ESALQ","ESA","15268","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae",NA,"Ranga, N.T.",NA,"Barreto, K.D. et al.","425.0","1993","05","21",NA,"Brasil","São Paulo","Charqueda",NA,NA,NA,NA,NA,"ESA015268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:30-03","ESALQ","ESA","10301","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae",NA,"Ranga, N.T.",NA,"Barreto, K.D. et al.","152.0","1993","03","24",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,"ESA010301",NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:41:54-03","UFMS","CGMS","63845","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae","M.Stapf","M. Stapf","PARATYPE","F. de Chagas e Silva; et al.","1477","1991","12","18",NA,"Brasil","Paraná","Ibiporã","Fazenda Doralice.","-51.0480995178223","-23.2691993713379",NA,"Flores brancas.Botões florais esverdeados. Bastante meliferas, pouco frequente.","CGMS1096813",NA,"20625","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:27:02-03","UNICAMP","UEC","181568","S","Plantae","Magnoliopsida",NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae","M.Stapf",NA,NA,"Souza, VC; Moraes, PLR; Vitti, FX","5749","1994","04","15",NA,"Brazil","São Paulo","Pindorama","Estação do IAC.","-48.924444","-21.223611",NA,"Arvore, ca. 12m alt.; frutos imaturos verde-claros, passando a creme-amarelados.; Mata mesófila semidecídua, secundária.","UEC078757","UEC078757",NA,NA,"-48.924444","-21.223611",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:27:02-03","UNICAMP","UEC","71231","S","Plantae","Magnoliopsida",NA,"Boraginaceae","Cordia","tarodae","Cordia tarodae","M.Stapf",NA,NA,"Durigan, G","30707","1992","05","18",NA,"Brazil","Amazonas","Tarumã","Fazenda Berrante, Tarum.",NA,NA,NA,"Arvore de grande porte.; Mata ciliar.","UEC078765","UEC078765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
