"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","442011","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chautems","A. Chautems","J. R. Pirani","1380","1985","11","20","South America","Brazil","São Paulo","Campos do Jordao","Campos do Jordao, Parque Estadual. Caminho para Sao José dos Alpes","-45.59","-22.73","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442011","NY00442011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-20 14:40:30-03","UPM","MACK","1043","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chantems","F. O. Souza","O. A. Fávero","CJ053","2008","01","03",NA,"Brasil","SP","Campos do Jordão","Colônia Umuarama. Trilha sete quedas.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"2008","02","08","S","W","21048","auto",NA,NA,NA,NA
"3","2020-01-20 14:40:30-03","UPM","MACK","1042","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chantems","F. O. Souza","O. A. Fávero","CJ053","2008","01","03",NA,"Brasil","SP","Campos do Jordão","Colônia Umuarama. Trilha sete quedas.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"2008","01","03","S","W","21048","auto",NA,NA,NA,NA
"4","2019-12-12 15:31:44-03","UFABC","HUFABC","000189","PreservedSpecimen","Plantae","Angiospermas",NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chautems.",NA,"Ferreira, GE; Chautems, A; Perret, M; Peixoto. M","283","2014","10","04",NA,"Brasil","Rio de Janeiro","Petrópolis","Parque Nacional Serra dos Órgãos, trilha da Pedra do Sino, em substrato rochoso.","-43.028972","-22.750278","1620","1620",NA,"Erva rupícola pendente, flores vermelho-alaranjadas.","HUFABC000189","HUFABC000189",NA,NA,NA,"-43.028972","-22.750278",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:11:09-03","ESALQ","ESA","19696","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chantems","Chautems, A.","Barreto, K.D. et al.","2695.0","1994","06","29",NA,"Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"ESA019696",NA,NA,NA,NA,NA,NA,"30784","auto",NA,NA,NA,NA
"6","2020-11-04 10:55:50-03","ESALQ","ESA","141782","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chautems",NA,"T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2167.0","2015","11","27",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Campo de altitude, próximo a torre de transmissão.","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Epífita, flores alaranjadas.","ESA141782",NA,NA,NA,NA,NA,NA,"34470","auto",NA,NA,NA,NA
"7","2020-11-04 10:55:50-03","ESALQ","ESA","142077","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chautems","Rodrigues, M.V.","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","249.0","2015","09","09",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","-44.813889","-23.140278","1800","1800",NA,"Erva, ca. 0,6 m alt., flores vermelhas, cálice verde.","ESA142077",NA,NA,NA,NA,"44°48'50W","23°08'25S",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:11:09-03","ESALQ","ESA","25707","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chantems","Chautems, A.","Barreto, K.D.; Fernandes, G.D.; Vitti, F.X.","1073.0","1993","08","25",NA,"Brasil","São Paulo","Campos do Jordão","Salto. Mata ripária.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"Epífita; botões verdes. Subosque.","ESA025707",NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"9","2020-11-04 11:11:09-03","ESALQ","ESA","34182","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chantems","Chautems, A.","Bertoncini, A.P. et al.","780.0","1996","12","14",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034182",NA,NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA
"10","2020-11-04 11:11:09-03","ESALQ","ESA","34223","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chantems","Chautems, A.","Bertoncini, A.P. et al.","749.0","1996","12","13",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034223","ESA034223",NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA
"11","2020-11-04 10:55:50-03","ESALQ","ESA","142078","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chautems","Rodrigues, M.V.","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","258.0","2015","09","09",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","-44.813889","-23.140278","1800","1800",NA,"Erva, ca. 0,8 m alt., flores vermelhas, cálice verde.","ESA142078",NA,NA,NA,NA,"44°48'50W","23°08'25S",NA,NA,NA,NA,NA,NA
