"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","monthIdentified","dayIdentified","day","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","fieldNumber","preparationType","class","order","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus"
"1","2019-12-12 15:31:44-03","UFABC","HUFABC","000219","PreservedSpecimen","Plantae","Angiospermas","Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Bugoni, JV","s.n.","Brasil","São Paulo","São Luiz do Paraitinga","Erva rupícola, cálice verde, corola vermelha","HUFABC000219","HUFABC000219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:31:10-03","MN","R","96935","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Glaziou, A.F.M.; Schwacke, C.A.W.",NA,"Brasil","São Paulo",NA,NA,"R000096935","R000096935_001 R000096935_002 R000096935_003 R000096935_004","Chautems, A.","1990","1879","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:02:15-03","JBP","HPL","3072","S","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) A. Chautems","H. Lorenzi","2932","Brasil",NA,NA,NA,NA,NA,"H. Lorenzi","2001","2001","11","11","05","05","Parque da Serra da Bocaina, nas proximidades de um córrego.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:15:43-03","UNICAMP","UEC","103399","S","Plantae","Magnoliopsida","Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Freitas, L","256","Brazil","Minas Gerais","São Roque de Minas","flor, Erva de 15-20 cm de altura. Flores de corola vermelha. Localizada entre rochas no leito do Rio Mambucaba. Floresta mista aluvial.","UEC141458","UEC141458","Chautems, A","1998","1998","02",NA,NA,"12","São José do Barreiro","-46.3657989501953","-20.2453002929688","57119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:15:43-03","UNICAMP","UEC","85934","S","Plantae","Magnoliopsida","Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Shirasuna, RT; Catharino, ELM; Esteves, GL; Rodrigues, EA","75","Brazil","São Paulo","Bananal","flor, Herbácea bulbosa, sobre rocha no Rio Pacas. Pedicelo e cálice vináceos e corola vermelho intenso.","UEC141460","UEC141460","Chautems, A","1998","1994","09","01",NA,"29","Serra da Bocaina, Alto Vale do Rio Paca (Bracuí).","-44.3199996948242","-22.6800003051758","26795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:15:43-03","UNICAMP","UEC","103400","S","Plantae","Magnoliopsida","Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Freitas, L","300","Brazil","São Paulo","São José do Barreiro","flor, Erva de 50 cm, flores vermelhas. Beira de floresta ombrófila altomontana.","UEC141459","UEC141459","Chautems, A","1998","1997","09",NA,NA,"21","Parque Nacional da Bocaina","-44.5699996948242","-22.6399993896484","30784","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:29:10-03","MBM","MBM","22134","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","Brade, A.C.","20652","Brazil","São Paulo",NA,NA,"MBM022134","MBM022134","Chautems, A.",NA,NA,NA,NA,NA,NA,"Serra da Bocaina",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-19 20:07:07-03","MNHN","RECOLNAT_MNHN_P","P00587363","PreservedSpecimen",NA,NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","Chautems","Glaziou, A.",NA,"Brésil",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00587363' target='other'> <mi>dwc_moreinfo</mi></a>","P00587363","P00587363_01","Chautems",NA,"1879","7",NA,NA,"9","S. Paulo. [Campos do Bocaina, sur les rochers du Rio Mambucaba]",NA,NA,NA,NA,NA,"11590","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1989022","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","A. P. Chautems","114","Brazil","São Paulo",NA,"Received as: cutting","US02996039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Scrophulariales","1800","1800","1",NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3348937","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","glazioviana","Sinningia glazioviana","(Fritsch) Chautems","L. E. Skog","7694","Brazil",NA,NA,NA,"US00590893","US00590893_01",NA,NA,"1995","6",NA,NA,"17","Grown in the Smithsonian's Dept. of Botany greenhouses, Suitland, Maryland, U.S.A.",NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Scrophulariales",NA,NA,"1",NA,NA,NA,NA
