"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","monthIdentified","coordinatePrecision","individualCount","geoFlag","infraspecificEpithet","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","typeStatus"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2603","PreservedSpecimen","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","R. Reitz","1975","R. Reitz","1975","04","10","Brasil","Rio de Janeiro","Nova Iguaçu","Represa Rio d#?# Ouro.","-43.451389","-22.759722","43º27'5''W","22º45'35''S","Habito: epífita","CRI001908","CRI001908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","367","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Carlos Frederico (Fred-VERJ);","1996","05",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08","32988","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","406","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Elton M. C. Leme; H. Luther; D. Benzing; L. Correia de Araújo; Luiz Felipe Nevares de Carvalho","1996","12","13","Brasil","Rio de Janeiro","Mangaratiba","Sertão do Rio Claro","-44.040599822998","-22.9596996307373",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08","17272","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","364","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Pedro Nahoum;","1996","04",NA,"Brasil","Rio de Janeiro","Barra de São João","Morro de São João",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","297","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Rafael de Oliveira;",NA,NA,NA,"Brasil","Rio de Janeiro","Parati","Estrada Parati-Cunha","-44.7131004333496","-23.2178001403809",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08","34470","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","642","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Raymundo Fernandes Reis Junior;",NA,NA,NA,"Brasil","Bahia","Rio de Contas","Povoado de Marion","-41.8114013671875","-13.5789003372192",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08","49773","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","414","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Elton M. C. Leme; H. Luther; D. Benzing; L. Correia de Araújo; Luiz Felipe Nevares de Carvalho","1996","12","13","Brasil","Rio de Janeiro","Mangaratiba","Fazenda Três Orelhas","-44.040599822998","-22.9596996307373",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08","17272","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","313","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Elton M. C. Leme;","1995","04","24","Brasil","Rio de Janeiro","Casimiro de Abreu","Fazenda União da RFFSA","-42.2042007446289","-22.4806003570557",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08","24732","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","89","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps forma azurea","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Roberto Menescal;","1985",NA,NA,"Brasil","Rio de Janeiro","Distrito de Mambucaba, em Angra dos Reis",NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08",NA,"1",NA,"forma azurea",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","97","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps forma microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Gustavo Martinelli;",NA,NA,NA,"Brasil","Rio de Janeiro","Alto Macaé",NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08",NA,"1",NA,"forma microps","Martinelli11827",NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","61","S","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps forma microps","(E.Morren ex Mez) Leme","Elton. C. M. Leme","2011","Elton M. C. Leme;","1985","10","20","Brasil","Rio de Janeiro","Rio de Janeiro","Pedra Bonita, Parque Nacional da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","08","57442","1","auto","forma microps",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","376795","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","microps","Nidularium microps","E.Morren ex Mez","E. Pereira",NA,"E. Pereira","1967","10","09","Brazil","Rio de Janeiro","Petrópolis","Serra Estrella","-43.1783","-22.505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376795","NY00376795_01","Magnoliophyta","Poales",NA,NA,NA,NA,NA,"10631","South America","sheet",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1182120","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","microps","Nidularium microps microps","E.Morren ex Mez","G. Martinelli",NA,"T. Fontoura","1991","11","22","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Caminho para o MOrro do Pirulito. Área FP04.","-42.88333","-22.48333",NA,NA,"Indivíduo F0159. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397315' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182120","NY01182120_01","Magnoliophyta","Poales",NA,NA,NA,NA,"microps","248","South America","sheet",NA,NA,NA,NA,NA
"14","2020-06-29 11:29:38-03","UFRJ","RFA","31086","PreservedSpecimen","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme",NA,NA,"T. Wendt; L.O.F. Sousa; G.K. Brown","2003","10","15","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Trilha da Jararaca","-44.3180999755859","-23.0067005157471",NA,NA,"Epífita. Brácteas primárias de cor vermelha. Flores em botão. Fotografia, 2 mudas para exsicata, que vão aguardar a flor abrir para por no álcool","RFA20450",NA,NA,NA,NA,"32988",NA,"auto",NA,"496",NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:29:38-03","UFRJ","RFA","28595","PreservedSpecimen","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps","(E.Morren ex Mez) Leme",NA,NA,"T. Wendt; L.O.F. Sousa; G.K. Brown","2003","10","15","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, vila Dois Rios, Trilhas da Jararaca","-44.3180999755859","-23.0067005157471",NA,NA,"Epífita. Brácteas primárias de cor vermelha. Flores em botão. Fotografada (2 mudas para exsicata)","RFA52120",NA,NA,NA,NA,"32988",NA,"auto",NA,"496",NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:44:51-03","EAO","IAN","9572","PreservedSpecimen","Plantae","Bromeliaceae","Aregelia","microps","Aregelia microps","(Morr.) Mez",NA,NA,"Ule, EHG",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN009572","IAN009572_f","Monocotiledônea",NA,NA,NA,NA,NA,NA,"4037","Southern America",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:03:43-03","ESALQ","ESA","75826","PreservedSpecimen","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps",NA,NA,NA,"Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2001","04","12","Brasil","São Paulo","São Paulo","BLOQUEADO","-46.6300010681152","-23.5400009155273",NA,NA,"Epífita. Folhas com face adaxial verde, abaxial arroxeada, brácteas vermelhas com base alva, flores alvas. Mata de encosta.","ESA075826",NA,"Magnoliophyta",NA,NA,"53584",NA,"auto",NA,"120.0",NA,NA,"700","700",NA,NA,NA
"18","2020-11-04 10:55:09-03","ESALQ","ESA","135979","PreservedSpecimen","Plantae","Bromeliaceae","Canistropsis","microps","Canistropsis microps",NA,"E.Leme","2000","G.Martinelli","1984","11","22","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232",NA,NA,NA,"ESA135979","ESA135979",NA,NA,NA,"20531",NA,"auto",NA,"10379.0",NA,NA,NA,NA,NA,NA,NA
