"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","typeStatus","fieldNumber","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","478285","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","J. J. Wurdack","R. Reitz","13361","1962","10","24","South America","Brazil","Santa Catarina","Curitibanos","Ponte Alto do Sul","-50.5842","-27.2831","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478285","NY00478285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02098769","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","M. Reginato","M. Reginato","1070","2010","01","04","South America","Brazil","Rio Grande do Sul","São Francisco de Paula","Parque das 8 Cachoeiras","-50.5835990905762","-29.4480991363525",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084684' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098769","NY02098769_01","76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02098744","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","M. Reginato","M. Reginato","1062","2010","01","02","South America","Brazil","Rio Grande do Sul","Sao José dos Ausentes","Estrada para Cambará do Sul","-50.0657997131348","-28.7483005523682",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084676' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098744","NY02098744_01","42598","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","478286","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","J. J. Wurdack","L. B. Smith","13780","1964","12","07","South America","Brazil","Santa Catarina","Campo Erê","8 km west of Campo Erê","-53.1","-26.37","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478286","NY00478286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522805","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","M. Reginato","B. Rambo","49370","1950","12","18","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Taimbesinho p. Sao Francisco de Paula","-50.63711","-28.650038",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522805","NY00522805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1015426","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","R. Goldenberg","R. Goldenberg","922","2007","10","01","South America","Brazil","Paraná","Curitiba","UFPR - Centro Politécnico, Capão do Tigre.","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105624' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015426","NY01015426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478287","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","J. J. Wurdack","R. Reitz","5476","1957","10","26","South America","Brazil","Santa Catarina","Bom Retiro","Bom Retiro","-49.4892","-27.7972","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478287","NY00478287_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03287745","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.",NA,"M. Reginato","1509","2016","01","06","South America","Brazil","Santa Catarina","Bom Jardim da Serra","Rodovia Bom Jardim-São José dos Ausentes","-28.45861","-49.72497",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581192' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","520840","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","M. Reginato","R. A. Wasum","HCS10346","1994","12","16","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Floresta Nacional !","-50.395632","-29.433343","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520840","NY00520840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02098763","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","catharinensis","Leandra catharinensis","Cogn.","M. Reginato","M. Reginato","1075","2010","01","04","South America","Brazil","Rio Grande do Sul","São Francisco de Paula","Parque das 8 Cachoeiras","-50.5835990905762","-29.4480991363525",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084689' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098763","NY02098763_01","76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
