"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","county","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem"
"1","2017-02-27 13:40:00-03","NY","NYBG","2422913","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","C. N. Fraga","3278","2011","05","12","South America","Brazil","Bahia","BA-099, ca. 1 km após o rio Imbassaí, sentido Mata de São João-Conde","-37.9447","-12.4344","11","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675019' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422913","NY02422913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01132123","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","A. M. V. de Carvalho","695","1981","05","22","South America","Brazil","Bahia","Ca. 30 km a N do centro da cidade. Dunas nos arredores da lagoa de Abaeté","-38.352556","-12.93708",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1290008' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132123","NY01132123_01","Mattos","L. R. Landrum","Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1181963","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","T. C. Plowman","12777","1983","01","27","South America","Brazil","Bahia","Salvador. Along road (Av. Otávio Mangabeira = BA-033) from Itapua to Aeroporto 2 de Julho at first large traffic circle (intersection with Av. Luiz Viana Filho)","-38.35","-12.92",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1316616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181963","NY01181963_01","Mattos","L. R. Landrum","Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1546323","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","P. A. Athayde","s.n.",NA,NA,NA,"South America","Brazil","Bahia","Itapuã, região da Duna","-38.510799407959","-12.9710998535156",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834990' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546323","NY01546323_01","Mattos",NA,"Salvador","paratype","26018","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","561525","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","A. M. Amorim","1513","1993","11","28","South America","Brazil","Sergipe","Cerca de 19,4 km da BR 101 em direçao à Praia do Abais.","-37.4381","-11.2683",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561525","NY00561525_01","Mattos","M. Sobral","Estância",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:51-03","UTFPR","DVPR","4642","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","Farinaccio, MA; Souza, CA; Conceição, GG; , Santos, LR","808","2011","02","18",NA,"Brasil","Sergipe","Mata Samanbaia: Área aberta, trilha para se chegar na mata.","-36.8379","-10.62",NA,NA,"Arbusto, ca. de 2 m alt. Flores alvas, anteras marrons, perfumadas até as 12 h.; Tabuleiro. Solo: Arenoso.","DVPR004642",NA,"Mattos","Proença, C","Japaratuba",NA,NA,NA,"2011","07","-36.8379","-10.62",NA,NA,NA,NA,NA,NA
"7","2020-11-24 17:10:51-03","UTFPR","DVPR","3996","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","Santana, JP; Silvestre, SMS; Albuquerque, NM","308","2015","03","07",NA,"Brasil","Sergipe","Fazenda Rio Fundo.","-37.1944","-11.0429",NA,NA,"Arbusto, 4 m, folhas opostas simples, frutos imaturos verdes, e maduros pretos com calice e brácteas presentes.; Mata Atlântica","DVPR003996",NA,"Mattos","Proença, C","Itaporanga D'Ajuda",NA,NA,NA,NA,NA,"-37.1944","-11.0429",NA,NA,NA,NA,NA,NA
"8","2019-11-19 15:44:39-03","UNEB","HUNEB","4307","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","Fonseca, M.R.","97","2001","01","12",NA,"Brasil","Bahia","Restinga de Massarandupió.",NA,"-12.329167",NA,NA,"Restinga interna, solos de areias brancas, após o rio.","HUNEB0004307",NA,NA,NA,"Entre Rios",NA,NA,NA,NA,NA,"37W52'84''","12S19'45''","Dicotyledoneae",NA,NA,NA,NA,NA
"9","2019-11-19 15:44:39-03","UNEB","HUNEB","7935","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","Guedes, M.L.","9569","2002","04","20",NA,"Brasil","Bahia","Subauma","-38.083333","-11.933333",NA,NA,NA,"HUNEB0007935",NA,"Mattos",NA,"Entre Rios",NA,NA,NA,NA,NA,"38W5'0''","11S56'0''","Dicotyledoneae",NA,NA,NA,NA,NA
"10","2019-11-19 15:44:39-03","UNEB","HUNEB","4975","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Myrtaceae","Calycolpus","legrandii","Calycolpus legrandii","Jesus, N.G.","Pc5621398","2001","11","28",NA,"Brasil","Bahia","Campus II / UNEB","-38.4192008972168","-12.1356000900269",NA,NA,NA,"HUNEB0004975",NA,"Mattos",NA,"Alagoinhas",NA,"24621","auto",NA,NA,"38W24'81''","12S10'68''","Dicotyledoneae",NA,NA,NA,NA,NA
