"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","stateProvince","locality","decimalLongitude","decimalLatitude","day","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","921385","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis","(Hook.) Holub","Mrs. Walter H. Webb","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00921385","NY00921385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788830","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis","(Hook.) Holub","A. Löfgren","7640","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788830","NY00788830_01","B. Øllgaard; P. G. Windisch","1894","04","São Paulo","Serra da Bocaina.","-44.684548","-23.029725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018344","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","C. M. Mynssen","1107","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1255712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018344","NY01018344_01","W. L. Testo","2008","03","Rio de Janeiro","Parque Nacional da Serra dos Orgãos. Trilha para a Pedra do Sino.","-43.013889","-22.449167","13","Teresópolis","1200","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788831","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","C. Dala Rosa","31","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788831","NY00788831_01","W. L. Testo","1999","08","Paraná","Morro do Facãozinho, Parque Estadual Pico do Marumbi.","-48.9","-25.43","24","Morretes","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02479089","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","H. P. Baustista","245","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2693179' target='other'> <mi>dwc_moreinfo</mi></a>","NY02479089","NY02479089_01",NA,"1975","11","São Paulo","Parque Estadual, São José dos Alpes.","-45.5900001525879","-22.7299995422363","22","Campos do Jordao","1900",NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:00-03","UNESP-IBB","BOTU","19056","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook) B.Øllg.","Amaral Jr., A.","230",NA,"Brasil",NA,NA,"BOTU019056",NA,"Gissi, D.S.","1993","03","São Paulo","Caminho de São José dos Alpes",NA,NA,"19","Campos do Jordão",NA,NA,NA,NA,"2017","11","9999","9999",NA,NA,NA,NA,NA
"7","2021-02-18 09:30:00-03","UNESP-IBB","BOTU","17306","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook) B.Øllg.","Silva, E.M.J.","86",NA,"Brasil",NA,NA,"BOTU017306",NA,"Gissi, D.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","11","9999","9999",NA,NA,NA,NA,NA
"8","2021-02-18 09:30:00-03","UNESP-IBB","BOTU","16547","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook) B.Øllg.",NA,"86/9",NA,"Brasil",NA,NA,"BOTU016547",NA,"Gissi, D.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","11","9999","9999",NA,NA,NA,NA,NA
"9","2020-06-29 11:31:06-03","UFRJ","RFA","42475","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","biformis","Huperzia biformis","(Hook.) Holub","L.S. Sylvestre; J. Condack; R.L. Cordero; A.V. Couto","2114",NA,"Brasil",NA,"Erva epífita em arvoreta a ca. de 1 m do solo","RFA36844",NA,NA,"2007","09","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. trilha para Pedra do Sino","-42.9655990600586","-22.4122009277344","12","Teresópolis","2000","2000","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","06437","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","biformis","Huperzia biformis",NA,"P.G. Windisch","6866","América do Sul","Brasil",NA,"GEOGRAFIA: epífita, pendente na mata;",NA,NA,NA,"1992","03","São Paulo","serra do mar",NA,NA,"04","Campos da Bocaina",NA,NA,NA,NA,NA,NA,NA,NA,"Lycopodiopsida",NA,NA,NA,NA
