"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","recordNumber","fieldNumber","preparationType","county","minimumElevationInMeters","individualCount","coordinatePrecision","geoFlag","phylum","yearIdentified"
"1","2020-02-08 09:09:48-03","NBC","NL-BOTANY","U 0008092","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Mim.","Inga","santaremnensis","Inga santaremnensis","Ducke","Pennington TD","isolectotype","Ducke A","1923","09","05","Southern America","Brazil","Pará","Santarem (civ. Pará) loco Ipanema","64214","silva humiliore<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0008092","NL-U0008092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:09:48-03","NBC","NL-BOTANY","U.1304325","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Mim.","Inga","santaremnensis","Inga santaremnensis","Ducke","Pennington TD",NA,"Ducke A","1927","07","29","Southern America","Brazil","Pará",NA,"U 0136886","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304325","NL-U1304325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:09:48-03","NBC","NL-BOTANY","U.1310771","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Mim.","Inga","santaremnensis","Inga santaremnensis","Ducke",NA,NA,"Smith DN; Buddensiek M; García V","1989","06","20","Southern America","Bolivia",NA,"Beni: Ballivian Province. Km 35, carretera Yucumo-Rurrenabeque, Colegio Técnico Agropecuario Rio Colorado.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1310771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1310771","NL-U1310771","-67.083333","-14.833333","-67.083333","-14.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:26:45-03","MBM","MBM","145063","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","santaremnensis","Inga santaremnensis","Ducke","R.E. Gereau",NA,"Neill, D.N.; et al.; et al.",NA,NA,NA,"Southern America","Bolivia",NA,NA,NA,NA,"MBM145063","MBM145063",NA,NA,NA,NA,"13581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 02:22:16-03","MNHN","RECOLNAT_MNHN_P","P02941122","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","santaremnensis","Inga santaremnensis","Ducke",NA,"isotype","Ducke, A.","1923","9","5",NA,"Brésil",NA,"Etat de Para. Santarem, circa locum Spanema, silvia secundaria non inundabili",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02941122' target='other'> <mi>dwc_moreinfo</mi></a>","P02941122","P02941122_01 P02941122_02",NA,NA,NA,NA,NA,"16738","hb",NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","1525774","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","santaremnensis","Inga santaremnensis","Ducke","J. Grimes",NA,"Michael H. Nee","1991","6","12","South America","Bolivia","Santa Cruz","Parque Nacional Amboró, along Quebrada Yapojé and Quebrada Esperanza, 2 km. upstream from confluence with Río Saguayo. Tropical evergreen forest with Iraiartea exorrhiza, Scheelea princeps, steep slopes on poorly consolidated reddish Teritary sandstone and mudstone, easternmost Andean foothills.",NA,NA,NA,NA,"-63.75","-17.58333",NA,NA,"Nee 40934",NA,NA,"Ichilo","375.00000000",NA,NA,NA,NA,NA
"7","2014-04-04 05:41:00-03","MO","MOBOT","80993","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","santaremnensis","Inga santaremnensis","Ducke","R.E. Gereau",NA,"Rodolfo Vásquez|et al.","1989","5","20","South America","Peru","Loreto","Santa María de Nanay, Quebrada Yarina. Bosque primario.",NA,NA,NA,NA,"-73.66666","-3.91666",NA,NA,"Vásquez Martínez 12189","96",NA,"Maynas","150.00000000","8",NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","94586","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","santaremnensis","Inga santaremnensis","Ducke","R.E. Gereau",NA,"Alwyn H. Gentry","1984","11","13","South America","Brazil","Pará","MOCAMBO: Embrapa Forest Reserve, ca. 10 km from Belem, alt. near sea level. Transect 1",NA,NA,NA,NA,"-47.98333","-1.5",NA,NA,"Gentry 48954","84-329",NA,NA,NA,"2",NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","94600","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","santaremnensis","Inga santaremnensis","Ducke","R.E. Gereau",NA,"Alwyn H. Gentry","1984","11","14","South America","Brazil","Pará","MOCAMBO: Embrapa Forest Reserve, ca. 10 km from Belem. altitud near sea level. Transect 3",NA,NA,NA,NA,"-47.98333","-1.5",NA,NA,"Gentry 48965","84-330",NA,NA,NA,"2",NA,NA,NA,NA
"10","2020-07-02 10:34:00-03","MO","MOBOT","2908064","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","santaremnensis","Inga santaremnensis","Ducke",NA,"Lectotype","A. Ducke","1923","9","5","South America","Brazil","Pará","Santarem in silvis secandaris Siccionis. Estrada do Ipanema ao Trumangal.",NA,NA,NA,NA,"-54.7083015441895","-2.44305992126465",NA,NA,"Ducke 16738",NA,NA,"Santarém",NA,"1","205258","auto",NA,NA
