"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00804727","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz. ex B.L.Rob.) R.M.King & H.Rob.","W. A. Egler","63","1955","01","14","South America","Brazil","São Paulo","Serra da Bocaina","-44.684548","-23.029725","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804727","NY00804727_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:37:05-03","EAO","IAN","76897","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","parvulum","Eupatorium parvulum","Glaz.","Glaziou, AFM","15150",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN076897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-22 17:47:43-03","UFJF","CESJ","1803","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz.) R.M.King & H.Rob.","L. Roth","CESJ1803","1957","02","14","América do Sul","Brasil","Minas Gerais","Serra do Curral, BR 3, Km 435.","-43.937801361084","-19.9207992553711",NA,"Herbácea no campo. Flores roxas.","CESJ001803","CESJ001803","G.M.Barroso","Belo Horizonte","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-22 17:47:43-03","UFJF","CESJ","8627","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz.) R.M.King & H.Rob.","L. Krieger; U.C. Câmara","CESJ8627","1970","05","15","América do Sul","Brasil","Minas Gerais","Serra de Ibitipoca","-43.793098449707","-21.8425006866455",NA,"No alto da serra, campo seco.","CESJ008627","CESJ008627","R.L.Esteves","Lima Duarte","30417","auto","2004","09","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:23:39-03","UNICAMP","UEC","108814","S","Plantae","Magnoliopsida",NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz. ex B.Robinson) R.M.King & H.Rob.","Freitas, L; Ramos, RM","541","1999","01","21",NA,"Brazil","São Paulo",NA,"-44.5699996948242","-22.6399993896484",NA,"Erva/ca. 40 cm, flores corola púrpura, folhas com secreção; Campo de altitude","UEC123776","UEC123776","Esteves, RL","São José do Barreiro","30784","auto","2000","05","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:15:20-03","MBM","MBM","256593","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaziou) R.M. King & H. Rob.","Roth, L.","1803","1957","02","14","Southern America","Brazil","Minas Gerais","Serra do Curral, Rod. BR-3, km 435","-43.937801361084","-19.9207992553711",NA,NA,"MBM256593","MBM256593","Barroso, G.M.","Belo Horizonte","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-10-06 01:15:34-03","MNHN","RECOLNAT_MNHN_P","P00742583","PreservedSpecimen",NA,NA,NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz. ex Robinson) R.M.King & H.Rob.","Glaziou, A.",NA,"1884","3",NA,NA,"Brésil",NA,"(Minas) Entre Ouro Preto et Queluz",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00742583' target='other'> <mi>dwc_moreinfo</mi></a>","P00742583","P00742583_01","Nakajima",NA,NA,NA,NA,NA,NA,"15150",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-10-04 18:38:30-03","MNHN","RECOLNAT_MNHN_P","P00742584","PreservedSpecimen",NA,NA,NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz. ex Robinson) R.M.King & H.Rob.","Glaziou, A.",NA,"1884","3",NA,NA,"Brésil",NA,"(Minas) Entre Ouro Preto et Queluz",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00742584' target='other'> <mi>dwc_moreinfo</mi></a>","P00742584","P00742584_01","Nakajima",NA,NA,NA,NA,NA,NA,"15150",NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 06:04:49-03","MNHN","RECOLNAT_MNHN_P","P02410265","PreservedSpecimen",NA,NA,NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz. ex Robinson) R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Minas Gerais","Brésil, Province Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voyage d' Auguste de Saint-Hilaire, de 1816 à 1821. s.d. No 784 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410265' target='other'> <mi>dwc_moreinfo</mi></a>","P02410265","P02410265_01","Nakijima",NA,NA,NA,NA,NA,NA,"D 532",NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 06:04:49-03","MNHN","RECOLNAT_MNHN_P","P02410266","PreservedSpecimen",NA,NA,NA,"Asteraceae","Campuloclinium","parvulum","Campuloclinium parvulum","(Glaz. ex Robinson) R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais","Brésil. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. . No. 784 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410266' target='other'> <mi>dwc_moreinfo</mi></a>","P02410266","P02410266_01","Nakijima",NA,NA,NA,NA,NA,NA,"Catal D 532",NA,NA,NA,NA,NA,NA,NA,NA
