"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","individualCount","continentOcean","preparationType","barcode","imagecode","class","fieldNumber"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2389","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.","Carlos A. Ferreira Jr.","2012","08","22","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandez, Fernando Araujo","CAF528","2012","07","10","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328","19º 02' 07S","43º 41' 41W","26557","1233","1233","254","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4444","S","Plantae",NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae",NA,"Carlos Alberto Ferreira Júnior","2018","07","15","Carlos Alberto Ferreira Junior; Lucas Assis e Kelen Soares","CAF1678","2018","07","15","Brasil","MG","Santana do Riacho","Serra do Cipó, próximo ao Juquinha","-43.7144012451172","-19.1688995361328","43°33'43","19°16'46","26557","1095","1095","254","auto","2",NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4323","S","Plantae",NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae",NA,"Carlos Alberto Ferreira Júnior","2018","01","28","Carlos Alberto Ferreira Junior; Lucas Assis e Kelen Soares","CAF1648","2018","01","27","Brasil","MG","Santana do Riacho","Serra do Cipó, Fazenda Alto Palácio","-43.7144012451172","-19.1688995361328","43º33'35.3","19º17'11.5","26557","1185","1185","254","auto","1",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","899004","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.","R. de Mello-Silva",NA,NA,NA,"N. L. de Menezes","539","1975","12","12","Brazil","Minas Gerais",NA,"estrada Conceição do Mato Dentro-Datas",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978749' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00899004","NY00899004_01",NA,NA
"5","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1752348","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.",NA,NA,NA,NA,"Menezes NL",NA,"1975","12","12","Brazil",NA,NA,"Minas Gerais: estrada Conceicao de Mato Dentro- Datas.",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752348 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U1752348","NL-U1752348","Magnoliopsidae",NA
"6","2021-01-14 15:33:52-03","MN","R","54379","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B. Sm.","Mello-Silva, R.","1986","06","20","Palacio, M.A. 3504; Balegno, B. & Cuezzo, A.R.",NA,"1948","12","22","Brasil","Minas Gerais","Conceição","Serra do Cipó",NA,NA,NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA,"R010059144","R010059144",NA,NA
"7","2019-08-20 10:01:53-03","UNICAMP","UEC","17569","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm. & Ayensu","Mello-Silva, R","1987","12",NA,"Semir, J; Sazima, M","4746","1973","10","31","Brazil","Minas Gerais","Jaboticatubas","Campo próximo da mata ciliar, flores rox","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor, Campo próximo da mata ciliar, flores","auto",NA,NA,NA,"UEC000724","UEC000724",NA,NA
"8","2019-08-20 10:01:53-03","UNICAMP","UEC","17600","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Sazima, M","8532","1973","12","12","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor","auto",NA,NA,NA,"UEC000726","UEC000726",NA,NA
"9","2019-08-20 10:01:53-03","UNICAMP","UEC","17601","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Sazima, M","8530","1972","11","03","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor","auto",NA,NA,NA,"UEC000723","UEC000723",NA,NA
"10","2019-08-20 10:01:53-03","UNICAMP","UEC","17597","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Sazima, M","8531","1973","12","12","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor","auto",NA,NA,NA,"UEC000725","UEC000725",NA,NA
"11","2019-11-06 09:57:51-03","UFOP","OUPR","14257","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.","Mello-Silva, R.","2000","11",NA,"s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,"Campo. Sub-arbusto. Flores violaceas",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:46:51-03","MBM","MBM","410118","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B. Sm.","Mello-Silva, R.","2016","11",NA,"Martinelli, G.; Lima, T.; Moraes, L.; Lima, T.; Moraes, L.","18999","2016","03","18","Brazil","Minas Gerais","Diamantina","Parque Estadual do Rio Preto. Pico Dois Irmãos.","-43.3125","-18.232222","-43.3125","-18.232222",NA,"1605","1605","Saxícola, heliófila, frequente; folhas verdes concolores com pelos alvacentos; inflorescência com escapo verde na base e atropurpúreo para o ápice; ovário atropurpúreo, tépalos roxos os externos roxo-nigrescentes na face dorsal, esti",NA,NA,"Southern America",NA,"MBM410118","MBM410118",NA,NA
"13","2015-09-03 19:25:25-03","MNHN","RECOLNAT_MNHN_P","P02075455","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.",NA,NA,NA,NA,"Maguire, B.|Pires, J.M.|Maguire, C.K.",NA,"1959","12","20","Brasil","Minas Gerais",NA,"Serra do Cipó, between km 111 and 128",NA,NA,NA,NA,NA,NA,"3800","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02075455' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P02075455","P02075455_01",NA,"44694"
"14","2020-12-11 11:45:30-03","UFMG","BHCB","111763","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.",NA,"2010",NA,NA,"Mota, NFO; Giorni, VT; Pivari, MOD; Marino, F","864","2007","08","31","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.335278","-18.213861","-43.335278","-18.213861",NA,"1581","1581","Erva terrestre em campo limpo.",NA,NA,"Southern America",NA,"BHCB048046",NA,NA,NA
"15","2020-12-11 11:45:30-03","UFMG","BHCB","24025","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-11 11:45:30-03","UFMG","BHCB","92752","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.",NA,NA,NA,NA,"Mello-Silva, R de","2873","2002","11","16","Brasil","Minas Gerais","Serro","Milho Verde","-43.3793983459473","-18.604700088501",NA,NA,"37754",NA,NA,"Planta coletada em campo limpo arenoso; perianto arroxeado.","auto",NA,"Southern America",NA,NA,NA,NA,NA
"17","2020-12-11 11:45:30-03","UFMG","BHCB","5193","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.",NA,NA,NA,NA,"Andrade, PM de","11","1983","04","27","Brasil","Minas Gerais","Nova Lima","Morro do Chapéu","-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,"Campo;herbáceo;","auto",NA,"Southern America",NA,NA,NA,NA,NA
"18","2020-12-11 11:45:30-03","UFMG","BHCB","28043","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B.Sm.",NA,"2014","09","08","Braga, MMN","390","1991","11","28","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,"Herbáceo.; Campo rupestre.","auto",NA,"Southern America",NA,"BHCB018640",NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","3036079","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B. Sm.","R. Mello-Silva VII-",NA,NA,NA,"MENEZES","MENEZES 96","1970","6","6","Brazil","Minas Gerais",NA,"Santana do Riacho: Serra do Cipo, km 118-119 da estrada Lagos Santa-Conceicão do Mato Dentro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","3036146","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","metzgerae","Vellozia metzgerae","L.B. Sm.","R. Mello-Silva X.",NA,NA,NA,"MENEZES","MENEZES 539","1975","12","12","Brazil","Minas Gerais",NA,"Estrada Conceicão do Mato Dentro-Dates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA
