"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","424563","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","M. L. Kawasaki","R. M. Harley","26298","1988","11","26","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente norte. Area de campos e mata, noroeste do Campo do Queiroz","-41.97","-13.52","1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424563","NY00424563_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424561","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi pubescens","Stafleu","R. M. Harley; S. M. Cooper","R. M. Harley","22655","1980","05","26","South America","Brazil","Bahia","Palmeiras","Serras dos Lençois. Lower slopes of Morro do Pai Inacio, ca. 14.5 km N.W. of Lençois just N. of the main Seabra-Itaberaba road","-41.47","-12.45","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424561","NY00424561_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","424559","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi selloi","Warm.","F. A. Stafleu","F. C. Hoehne","28397","1931","10","26","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=430328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424559","NY00424559_01","selloi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00424564","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi pubescens","Stafleu","H. Balslev","H. S. Irwin","30427","1971","01","15","South America","Brazil","Minas Gerais",NA,"Ca. 35 km E. of Belo Horizonte, near BR-31. Upper shrub covered slopes of Serra da Piedade",NA,NA,"1850","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424564","NY00424564_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","823351","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","F. França","A. M. V. de Carvalho","4201","1993","02","20","South America","Brazil","Bahia","Jacobina","Monte Tambor. Hotel Serra do Ouro. Vegetação nos arredores do hotel, campos com afloramentos de arenito. Serra do Ouro.","-40.5181","-11.1808","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823351","NY00823351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","584306","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","F. França","F. C. Hoehne","s.n.","1931","10","26","South America","Brazil","São Paulo",NA,"Capital, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584306","NY00584306_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","584305","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","W. Hoehne","W. Hoehne","13277","1946","11","30","South America","Brazil","São Paulo","Caieiras","Caieiras","-46.740798","-23.374672",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584305","NY00584305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","823352","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","F. França","A. M. V. de Carvalho","4173","1993","02","20","South America","Brazil","Bahia","Jacobina","Serra do Tombador. Ca. 25 km na estrada Jacobina/Morro do Chapéu.","-40.5181","-11.1808","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823352","NY00823352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","424558","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","M. L. Kawasaki","R. M. Harley","26298","1988","11","26","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. vertente N. Area de campos e mata, NO do Campo do Queiroz","-41.97","-13.52","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424558","NY00424558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424562","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi pubescens","Stafleu","R. M. Harley; S. M. Cooper","R. M. Harley","22473","1980","05","23","South America","Brazil","Bahia",NA,"Serras dos Lençois. Ca. 4 km. N.E. of Lençois by old road","-41.37","-12.53","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424562","NY00424562_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
