"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","previousCatalogNumber","typeStatus","eventTime","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01871278","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","J. Schöch","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125234' target='other'> <mi>dwc_moreinfo</mi></a>","NY01871278","NY01871278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00956803","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","G. M. Magalhaes","1384","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956803",NA,"H. L. de M. Barreto","1942","01","28","Minas Gerais","Ouro Preto","Base da Serra do Itatiaia.","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00956802","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","L. Riedel","2790","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956802","NY00956802_01",NA,"1834","11",NA,"Minas Gerais",NA,"St. Luzia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00956807","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","H. S. Irwin","30296","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956807","NY00956807_01","H. N. Moldenke","1971","01","13","Minas Gerais",NA,"Serra do Espinhaço, base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, road to Caeté","-43.676328","-19.820266","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00956806","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","H. S. Irwin","29195","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956806","NY00956806_01","H. N. Moldenke","1971","01","26","Minas Gerais",NA,"Serra do Espinhaço, base of Serra da Caraça, ca. 10 km W. of Barão de Cocais","-43.49265","-20.1263","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00956805","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","H. S. Irwin","19517","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956805","NY00956805_01","H. N. Moldenke","1968","02","07","Minas Gerais",NA,"Serra do Itabirito, ca. 45 km S.E. of Belo Horizonte.","-43.8","-20.2","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00956804","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","H. L. de M. Barreto","3271","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956804","NY00956804_01","P. C. Standley","1933","03","16","Minas Gerais","Belo Horizonte","Serra do Taquaril.","-43.9378","-19.9208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00956801","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","P. Clausen","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956801","NY00956801_01",NA,NA,NA,NA,"Minas Gerais",NA,"Minas Geraes Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01023532","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","H. S. Irwin","19517","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195209' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023532","NY01023532_01","H. N. Moldenke","1968","02","07","Minas Gerais",NA,"Serra do Itabirito, ca. 45 km S.E. of Belo Horizonte.","-43.8","-20.2","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00956808","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","sellowiana","Vitex sellowiana","Cham.","H. S. Irwin","30479","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956808","NY00956808_01","H. N. Moldenke","1971","01","16","Minas Gerais",NA,"Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","-43.67613","-19.82237","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
